actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-01-16T02:11:11.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-16T02:11:11Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-01-16T02:11:29.3Z,1,REGULAR,jumpball,recovered,[],1628420,,,1610612743,0,0,2022-01-16T02:11:29Z,40000,,,0,,Jump Ball N. Jokic vs. D. Howard: Tip to M. Morris,"[1628420, 203999, 2730]",1610612743.0,DEN,startperiod,M. Morris,1628420.0,Morris,M. Morris,Jokic,203999.0,Howard,2730.0,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2022-01-16T02:11:41.7Z,1,REGULAR,foul,personal,['2freethrow'],1628370,,,1610612743,0,0,2022-01-16T02:11:49Z,70000,,,0,,M. Monk shooting personal FOUL (1 PF) (Morris 2 FT),"[1628370, 1628420]",1610612747.0,LAL,shooting,,,Monk,M. Monk,,,,,203592.0,1.0,0.0,Morris,1628420.0,,,,,,,,,,,,,,,
9,PT11M46.00S,2022-01-16T02:12:04.7Z,1,REGULAR,freethrow,1 of 2,[],1628420,,,1610612743,1,0,2022-01-16T02:12:04Z,90000,,,0,,M. Morris Free Throw 1 of 2 (1 PTS),[1628420],1610612743.0,DEN,,,,Morris,M. Morris,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M46.00S,2022-01-16T02:12:18.8Z,1,REGULAR,freethrow,2 of 2,[],1628420,,,1610612743,2,0,2022-01-16T02:12:18Z,100000,,,0,,M. Morris Free Throw 2 of 2 (2 PTS),[1628420],1610612743.0,DEN,,,,Morris,M. Morris,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M28.00S,2022-01-16T02:12:38.5Z,1,REGULAR,2pt,Jump Shot,[],1628370,17.16491458607096,25.0,1610612747,2,0,2022-01-16T02:20:24Z,110000,125.0,109.0,1,left,MISS M. Monk 16' pullup Shot,[1628370],1610612747.0,LAL,pullup,,,Monk,M. Monk,,,,,,,,,,Missed,,16.58,,,,,,,,,,,,
12,PT11M24.00S,2022-01-16T02:12:42.5Z,1,REGULAR,rebound,defensive,[],201145,,,1610612743,2,0,2022-01-16T02:12:43Z,120000,,,0,,J. Green REBOUND (Off:0 Def:1),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,
13,PT11M10.00S,2022-01-16T02:12:55.6Z,1,REGULAR,2pt,Jump Shot,[],201145,89.56964520367937,14.705882352941178,1610612743,2,0,2022-01-16T02:13:02Z,130000,-176.0,46.0,1,right,MISS J. Green 18' Jump Shot,[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,Missed,,18.23,,,,,,,,,,,,
14,PT11M06.00S,2022-01-16T02:12:59.6Z,1,REGULAR,rebound,defensive,[],201566,,,1610612747,2,0,2022-01-16T02:13:02Z,140000,,,0,,R. Westbrook REBOUND (Off:0 Def:1),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,
15,PT10M47.00S,2022-01-16T02:13:19.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628370,8.623521681997373,57.59803921568627,1610612747,2,2,2022-01-16T02:13:23Z,150000,-38.0,29.0,1,left,M. Monk driving Layup (2 PTS),[1628370],1610612747.0,LAL,driving,,,Monk,M. Monk,,,,,,,,,,Made,2.0,4.76,,,,,,,,,,,,
16,PT10M29.00S,2022-01-16T02:13:36.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,89.43823915900131,53.67647058823529,1610612743,4,2,2022-01-16T02:13:41Z,160000,18.0,47.0,1,right,N. Jokic floating Jump Shot (2 PTS) (J. Green 1 AST),"[203999, 201145]",1610612743.0,DEN,floating,,,Jokic,N. Jokic,,,,,,,,,,Made,2.0,5.03,,,,,J. Green,201145.0,1.0,,,,,
18,PT10M07.00S,2022-01-16T02:13:58.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],2730,6.652431011826544,56.61764705882353,1610612747,4,4,2022-01-16T02:14:02Z,180000,-33.0,10.0,1,left,D. Howard driving Layup (2 PTS) (R. Westbrook 1 AST),"[2730, 201566]",1610612747.0,LAL,driving,,,Howard,D. Howard,,,,,,,,,,Made,2.0,3.46,,,,,R. Westbrook,201566.0,1.0,,,,,
20,PT09M49.00S,2022-01-16T02:14:18.6Z,1,REGULAR,foul,personal,[],2730,,,1610612743,4,4,2022-01-16T02:14:44Z,200000,,,0,,D. Howard personal FOUL (1 PF),"[2730, 203999]",1610612747.0,LAL,,,,Howard,D. Howard,,,,,203592.0,1.0,0.0,Jokic,203999.0,,,,,,,,,,,,,,,
22,PT09M41.00S,2022-01-16T02:14:40.3Z,1,REGULAR,2pt,Jump Shot,[],1628420,76.5604467805519,34.31372549019608,1610612743,4,4,2022-01-16T02:19:07Z,220000,-78.0,168.0,1,right,MISS M. Morris 18' step back Shot,[1628420],1610612743.0,DEN,step back,,,Morris,M. Morris,,,,,,,,,,Missed,,18.52,,,,,,,,,,,,
23,PT09M37.00S,2022-01-16T02:14:43.9Z,1,REGULAR,rebound,defensive,[],202340,,,1610612747,4,4,2022-01-16T02:14:43Z,230000,,,0,,A. Bradley REBOUND (Off:0 Def:1),[202340],1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,,,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,
24,PT09M31.00S,2022-01-16T02:14:50.2Z,1,REGULAR,2pt,Jump Shot,[],201566,16.63929040735874,25.735294117647058,1610612747,4,4,2022-01-16T02:14:55Z,240000,121.0,104.0,1,left,MISS R. Westbrook 15' turnaround fadeaway Shot,[201566],1610612747.0,LAL,turnaround fadeaway,,,Westbrook,R. Westbrook,,,,,,,,,,Missed,,15.97,,,,,,,,,,,,
