actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-02-06T20:41:01.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-06T20:41:01Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-02-06T20:41:04.1Z,1,REGULAR,jumpball,recovered,[],1628420,,,1610612743,0,0,2022-02-06T20:41:04Z,40000,,,0,,Jump Ball N. Jokic vs. B. Griffin: Tip to M. Morris,"[1628420, 203999, 201933]",1610612743.0,DEN,startperiod,M. Morris,1628420.0,Morris,M. Morris,Jokic,203999.0,Griffin,201933.0,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-02-06T20:41:18.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203115,94.30026281208936,55.14705882352941,1610612743,2,0,2022-02-06T20:41:23Z,70000,26.0,1.0,1,right,W. Barton cutting Layup (2 PTS) (N. Jokic 1 AST),"[203115, 203999]",1610612743.0,DEN,cutting,,,Barton,W. Barton,,,,,2.57,Made,2.0,N. Jokic,203999.0,1.0,,,,,,,,,,,,,,
9,PT11M17.00S,2022-02-06T20:41:45.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,2,0,2022-02-06T20:41:45Z,90000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M13.00S,2022-02-06T20:42:00.7Z,1,REGULAR,3pt,Jump Shot,[],201949,24.655059132720105,85.04901960784314,1610612751,2,0,2022-02-06T20:42:04Z,100000,-175.0,179.0,1,left,MISS J. Johnson 25' 3PT,[201949],1610612751.0,BKN,,,,Johnson,J. Johnson,,,,,25.07,Missed,,,,,,,,,,,,,,,,,,
11,PT11M10.00S,2022-02-06T20:42:03.4Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,2,0,2022-02-06T20:42:03Z,110000,,,0,,A. Gordon REBOUND (Off:0 Def:1),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT11M05.00S,2022-02-06T20:42:08.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203932,93.64323258869908,44.11764705882353,1610612743,4,0,2022-02-06T20:42:15Z,120000,-29.0,7.0,1,right,A. Gordon driving Layup (2 PTS),[203932],1610612743.0,DEN,driving,,,Gordon,A. Gordon,,,,,3.03,Made,2.0,,,,,,,,,,,,,,,,,
13,PT10M50.00S,2022-02-06T20:42:22.5Z,1,REGULAR,2pt,Jump Shot,[],202681,6.521024967148489,79.16666666666666,1610612751,4,0,2022-02-06T20:42:26Z,130000,-146.0,9.0,1,left,MISS K. Irving 14' turnaround Shot,[202681],1610612751.0,BKN,turnaround,,,Irving,K. Irving,,,,,14.61,Missed,,,,,,,,,,,,,,,,,,
14,PT10M48.00S,2022-02-06T20:42:24.5Z,1,REGULAR,rebound,defensive,[],201145,,,1610612743,4,0,2022-02-06T20:42:26Z,140000,,,0,,J. Green REBOUND (Off:0 Def:1),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
15,PT10M43.00S,2022-02-06T20:42:30.2Z,1,REGULAR,3pt,Jump Shot,[],203932,90.3580814717477,94.6078431372549,1610612743,4,0,2022-02-06T20:42:37Z,150000,223.0,38.0,1,right,MISS A. Gordon 3PT,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,22.62,Missed,,,,,,,,,,,,,,,,,,
