actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-01-17T01:11:12.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-17T01:11:12Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-01-17T01:11:15.1Z,1,REGULAR,jumpball,recovered,[],201145,,,1610612743,0,0,2022-01-17T01:11:15Z,40000,,,0,,Jump Ball N. Jokic vs. R. Gobert: Tip to J. Green,"[201145, 203999, 203497]",1610612743.0,DEN,startperiod,J. Green,201145.0,Green,J. Green,Jokic,203999.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2022-01-17T01:11:33.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203999,8.229303547963205,53.431372549019606,1610612743,2,0,2022-01-17T01:11:41Z,70000,-17.0,25.0,1,left,N. Jokic turnaround Hook (2 PTS),[203999],1610612743.0,DEN,turnaround,,,Jokic,N. Jokic,,,,,3.03,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M19.00S,2022-01-17T01:11:52.2Z,1,REGULAR,3pt,Jump Shot,[],201144,69.72733245729303,25.735294117647058,1610612762,2,0,2022-01-17T01:11:57Z,80000,-121.0,232.0,1,right,MISS M. Conley 26' step back 3PT,[201144],1610612762.0,UTA,step back,,,Conley,M. Conley,,,,,26.19,Missed,,,,,,,,,,,,,,,,,,
9,PT11M15.00S,2022-01-17T01:11:56.2Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,2,0,2022-01-17T01:11:57Z,90000,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M07.00S,2022-01-17T01:12:04.2Z,1,REGULAR,3pt,Jump Shot,[],203115,8.886333771353483,4.166666666666666,1610612743,2,0,2022-01-17T01:12:09Z,100000,229.0,31.0,1,left,MISS W. Barton 3PT,[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,23.13,Missed,,,,,,,,,,,,,,,,,,
11,PT11M04.00S,2022-01-17T01:12:07.2Z,1,REGULAR,rebound,defensive,[],202711,,,1610612762,2,0,2022-01-17T01:12:09Z,110000,,,0,,B. Bogdanovic REBOUND (Off:0 Def:1),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,
12,PT10M59.00S,2022-01-17T01:12:15.6Z,1,REGULAR,turnover,out-of-bounds,[],201144,,,1610612762,2,0,2022-01-17T01:12:26Z,120000,,,0,,M. Conley step out-of-bounds TURNOVER (1 TO),[201144],1610612762.0,UTA,step,,,Conley,M. Conley,,,,,,,,,,,,1628951.0,1.0,,,,,,,,,,,
13,PT10M39.00S,2022-01-17T01:12:43.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",201145,6.521024967148489,49.50980392156863,1610612743,4,0,2022-01-17T01:12:48Z,130000,2.0,9.0,1,left,J. Green cutting DUNK (2 PTS) (A. Gordon 1 AST),"[201145, 203932]",1610612743.0,DEN,cutting,,,Green,J. Green,,,,,0.91,Made,2.0,,,,,,,A. Gordon,203932.0,1.0,,,,,,,,
15,PT10M38.00S,2022-01-17T01:12:48.1Z,1,REGULAR,stoppage,other,[],0,,,1610612762,4,0,2022-01-17T01:15:06Z,150000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PT10M23.00S,2022-01-17T01:13:06.0Z,1,REGULAR,turnover,lost ball,[],1628378,,,1610612762,4,0,2022-01-17T01:13:13Z,160000,,,0,,D. Mitchell lost ball TURNOVER (1 TO),"[1628378, 203999]",1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,1.0,,,,Jokic,203999.0,,,,,,
17,PT10M23.00S,2022-01-17T01:13:06.0Z,1,REGULAR,steal,,[],203999,,,1610612743,4,0,2022-01-17T01:13:08Z,170000,,,0,,N. Jokic STEAL (1 STL),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,,,,,,
