actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,playerName,playerNameI,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,descriptor,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,jumpBallRecoveredName,jumpBallRecoverdPersonId,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId
2,PT12M00.00S,2021-11-09T02:11:13.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-09T02:11:13Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2021-11-09T02:11:26.3Z,1,REGULAR,violation,jumpball,[],203999,,,0,0,0,2021-11-09T02:11:40Z,40000,,,0,,N. Jokic jumpball VIOLATION,[203999],1610612743.0,DEN,1627519.0,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PT11M46.00S,2021-11-09T02:11:46.0Z,1,REGULAR,3pt,Jump Shot,[],1629130,30.831143232588698,75.0,1610612748,0,0,2021-11-09T02:11:50Z,50000,-125.0,237.0,1,left,MISS D. Robinson 26' 3PT,[1629130],1610612748.0,MIA,,Robinson,D. Robinson,26.82,Missed,,,,,,,,,,,,,,,,,,,,,,,,
6,PT11M43.00S,2021-11-09T02:11:49.0Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,0,0,2021-11-09T02:11:50Z,60000,,,0,,A. Gordon REBOUND (Off:0 Def:1),[203932],1610612743.0,DEN,,Gordon,A. Gordon,,,5.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,
7,PT11M27.00S,2021-11-09T02:12:05.2Z,1,REGULAR,3pt,Jump Shot,[],203115,71.82982917214193,77.94117647058823,1610612743,3,0,2021-11-09T02:12:10Z,70000,140.0,212.0,1,right,W. Barton 25' 3PT  (3 PTS) (M. Morris 1 AST),"[203115, 1628420]",1610612743.0,DEN,,Barton,W. Barton,25.41,Made,,,,,3.0,M. Morris,1628420.0,1.0,,,,,,,,,,,,,,,,
9,PT11M11.00S,2021-11-09T02:12:20.2Z,1,REGULAR,3pt,Jump Shot,[],1629130,6.652431011826544,95.83333333333334,1610612748,3,3,2021-11-09T02:12:24Z,90000,-229.0,10.0,1,left,D. Robinson 3PT  (3 PTS) (J. Butler 1 AST),"[1629130, 202710]",1610612748.0,MIA,,Robinson,D. Robinson,22.94,Made,,,,,3.0,J. Butler,202710.0,1.0,,,,,,,,,,,,,,,,
11,PT10M58.00S,2021-11-09T02:12:35.9Z,1,REGULAR,violation,kicked ball,[],200768,,,1610612743,3,3,2021-11-09T02:12:42Z,110000,,,0,,K. Lowry kicked ball VIOLATION,[200768],1610612748.0,MIA,1627519.0,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PT10M52.00S,2021-11-09T02:12:56.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201145,89.17542706964521,48.28431372549019,1610612743,3,3,2021-11-09T02:14:16Z,120000,-9.0,49.0,1,right,MISS J. Green Hook,[201145],1610612743.0,DEN,,Green,J. Green,5.0,Missed,,,,,,,,,,,,,,,,,,,,,,,,
13,PT10M50.00S,2021-11-09T02:12:58.5Z,1,REGULAR,rebound,defensive,[],200768,,,1610612748,3,3,2021-11-09T02:13:02Z,130000,,,0,,K. Lowry REBOUND (Off:0 Def:1),[200768],1610612748.0,MIA,,Lowry,K. Lowry,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,
14,PT10M34.00S,2021-11-09T02:13:14.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],200768,12.959921156373195,41.911764705882355,1610612748,3,3,2021-11-09T02:13:20Z,140000,40.0,69.0,1,left,MISS K. Lowry 8' driving Layup,[200768],1610612748.0,MIA,,Lowry,K. Lowry,8.02,Missed,,,,,,,,,driving,,,,,,,,,,,,,,,
15,PT10M31.00S,2021-11-09T02:13:17.1Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,3,3,2021-11-09T02:13:17Z,150000,,,0,,A. Gordon REBOUND (Off:0 Def:2),[203932],1610612743.0,DEN,,Gordon,A. Gordon,,,14.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,
16,PT10M27.00S,2021-11-09T02:13:21.6Z,1,REGULAR,2pt,Jump Shot,[],1628420,77.08607095926413,47.549019607843135,1610612743,5,3,2021-11-09T02:13:26Z,160000,-12.0,163.0,1,right,M. Morris 16' pullup Jump Shot (2 PTS),[1628420],1610612743.0,DEN,,Morris,M. Morris,16.34,Made,,,,,2.0,,,,pullup,,,,,,,,,,,,,,,
17,PT10M14.00S,2021-11-09T02:13:34.0Z,1,REGULAR,2pt,Jump Shot,[],1628389,24.26084099868594,52.20588235294118,1610612748,5,3,2021-11-09T02:13:39Z,170000,-11.0,176.0,1,left,MISS B. Adebayo 17' Jump Shot,[1628389],1610612748.0,MIA,,Adebayo,B. Adebayo,17.59,Missed,,,,,,,,,,,,,,,,,,,,,,,,
18,PT10M12.00S,2021-11-09T02:13:36.0Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,5,3,2021-11-09T02:13:39Z,180000,,,0,,A. Gordon REBOUND (Off:0 Def:3),[203932],1610612743.0,DEN,,Gordon,A. Gordon,,,17.0,3.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,
19,PT09M51.00S,2021-11-09T02:13:58.1Z,1,REGULAR,2pt,Jump Shot,[],201145,93.38042049934296,73.2843137254902,1610612743,5,3,2021-11-09T02:14:04Z,190000,116.0,10.0,1,right,MISS J. Green 11' pullup Shot,[201145],1610612743.0,DEN,,Green,J. Green,11.68,Missed,,,,,,,,,pullup,,,,,,,,,,,,,,,
20,PT09M47.00S,2021-11-09T02:14:02.1Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,5,3,2021-11-09T02:14:04Z,200000,,,0,,J. Butler REBOUND (Off:0 Def:1),[202710],1610612748.0,MIA,,Butler,J. Butler,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,
21,PT09M44.00S,2021-11-09T02:14:07.2Z,1,REGULAR,foul,personal,[],203115,,,1610612748,5,3,2021-11-09T02:14:37Z,210000,,,0,,W. Barton personal FOUL (1 PF),"[203115, 1628389]",1610612743.0,DEN,1193.0,Barton,W. Barton,,,,,,,,,,,,1.0,0.0,Adebayo,1628389.0,,,,,,,,,,,
23,PT09M40.00S,2021-11-09T02:14:33.9Z,1,REGULAR,3pt,Jump Shot,[],200768,30.042706964520367,29.901960784313726,1610612748,5,3,2021-11-09T02:14:39Z,230000,100.0,230.0,1,left,MISS K. Lowry 25' 3PT,[200768],1610612748.0,MIA,,Lowry,K. Lowry,25.09,Missed,,,,,,,,,,,,,,,,,,,,,,,,
24,PT09M38.00S,2021-11-09T02:14:36.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612743,5,3,2021-11-09T02:14:36Z,240000,,,0,,TEAM defensive REBOUND,[],1610612743.0,DEN,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,
25,PT09M38.00S,2021-11-09T02:14:39.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612743,5,3,2021-11-09T02:14:39Z,250000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,PT09M20.00S,2021-11-09T02:15:03.4Z,1,REGULAR,3pt,Jump Shot,[],201145,92.32917214191852,94.6078431372549,1610612743,5,3,2021-11-09T02:15:07Z,260000,223.0,20.0,1,right,MISS J. Green 3PT,[201145],1610612743.0,DEN,,Green,J. Green,22.39,Missed,,,,,,,,,,,,,,,,,,,,,,,,
27,PT09M17.00S,2021-11-09T02:15:06.4Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,5,3,2021-11-09T02:15:07Z,270000,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,Adebayo,B. Adebayo,,,26.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,
28,PT09M13.00S,2021-11-09T02:15:10.7Z,1,REGULAR,turnover,bad pass,[],200768,,,1610612748,5,3,2021-11-09T02:15:15Z,280000,,,0,,K. Lowry bad pass TURNOVER (1 TO),"[200768, 203115]",1610612748.0,MIA,,Lowry,K. Lowry,,,,,,,,,,,,,,,,1.0,Barton,203115.0,,,,,,,,
29,PT09M13.00S,2021-11-09T02:15:10.7Z,1,REGULAR,steal,,[],203115,,,1610612743,5,3,2021-11-09T02:15:12Z,290000,,,0,,W. Barton STEAL (1 STL),[203115],1610612743.0,DEN,,Barton,W. Barton,,,,,,,,,,,,,,,,,,,,,,,,,,
30,PT09M09.00S,2021-11-09T02:15:15.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",201145,93.77463863337714,54.90196078431373,1610612743,7,3,2021-11-09T02:15:22Z,300000,25.0,6.0,1,right,J. Green running finger roll Layup (2 PTS) (W. Barton 1 AST),"[201145, 203115]",1610612743.0,DEN,,Green,J. Green,2.52,Made,,,,,2.0,W. Barton,203115.0,1.0,running finger roll,,,,,,,,,,,,,,,
32,PT08M48.00S,2021-11-09T02:15:35.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202710,14.273981603153747,46.32352941176471,1610612748,7,3,2021-11-09T02:15:41Z,320000,18.0,82.0,1,left,MISS J. Butler 8' driving floating Shot,[202710],1610612748.0,MIA,,Butler,J. Butler,8.37,Missed,,,,,,,,,driving floating,,,,,,,,,,,,,,,
33,PT08M46.00S,2021-11-09T02:15:37.0Z,1,REGULAR,rebound,offensive,[],200782,,,1610612748,7,3,2021-11-09T02:15:41Z,330000,,,0,,P. Tucker REBOUND (Off:1 Def:0),[200782],1610612748.0,MIA,,Tucker,P. Tucker,,,32.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,
34,PT08M44.00S,2021-11-09T02:15:39.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629130,15.982260183968464,3.6764705882352944,1610612748,7,6,2021-11-09T02:15:45Z,340000,232.0,98.0,1,left,D. Robinson 25' 3PT step back (6 PTS) (P. Tucker 1 AST),"[1629130, 200782]",1610612748.0,MIA,,Robinson,D. Robinson,25.14,Made,,,,,6.0,P. Tucker,200782.0,1.0,step back,,,,,,,,,,,,,,,
36,PT08M34.00S,2021-11-09T02:15:52.0Z,1,REGULAR,foul,personal,['2freethrow'],200782,,,1610612743,7,6,2021-11-09T02:16:05Z,360000,,,0,,P. Tucker shooting personal FOUL (1 PF) (Gordon 2 FT),"[200782, 203932]",1610612748.0,MIA,1627519.0,Tucker,P. Tucker,,,,,,,,,,,shooting,1.0,0.0,Gordon,203932.0,,,,,,,,,,,
38,PT08M34.00S,2021-11-09T02:16:25.5Z,1,REGULAR,freethrow,1 of 2,[],203932,,,1610612743,8,6,2021-11-09T02:16:25Z,380000,,,0,,A. Gordon Free Throw 1 of 2 (1 PTS),[203932],1610612743.0,DEN,,Gordon,A. Gordon,,Made,,,,,1.0,,,,,,,,,,,,,,,,,,,
39,PT08M34.00S,2021-11-09T02:16:42.7Z,1,REGULAR,freethrow,2 of 2,[],203932,,,1610612743,9,6,2021-11-09T02:16:42Z,390000,,,0,,A. Gordon Free Throw 2 of 2 (2 PTS),[203932],1610612743.0,DEN,,Gordon,A. Gordon,,Made,,,,,2.0,,,,,,,,,,,,,,,,,,,
40,PT08M25.00S,2021-11-09T02:16:58.3Z,1,REGULAR,foul,technical,['1freethrow'],203999,,,1610612748,9,6,2021-11-09T02:17:15Z,400000,,,0,,N. Jokic defensive-3-second technical FOUL (1 Tech),[203999],1610612743.0,DEN,1193.0,Jokic,N. Jokic,,,,,,,,,,,defensive-3-second,0.0,1.0,,,,,,,,,,,,,
41,PT08M25.00S,2021-11-09T02:17:16.8Z,1,REGULAR,freethrow,1 of 1,[],202710,,,1610612748,9,7,2021-11-09T02:17:16Z,410000,,,0,,J. Butler technical Free Throw 1 of 1 (1 PTS),[202710],1610612748.0,MIA,,Butler,J. Butler,,Made,,,,,1.0,,,,technical,,,,,,,,,,,,,,,
42,PT08M18.00S,2021-11-09T02:17:36.0Z,1,REGULAR,3pt,Jump Shot,[],200782,9.280551905387648,4.901960784313726,1610612748,9,10,2021-11-09T02:17:40Z,420000,225.0,35.0,1,left,P. Tucker 3PT  (3 PTS) (J. Butler 2 AST),"[200782, 202710]",1610612748.0,MIA,,Tucker,P. Tucker,22.82,Made,,,,,3.0,J. Butler,202710.0,2.0,,,,,,,,,,,,,,,,
