actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-11-15T01:10:50.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-15T01:10:50Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2021-11-15T01:10:52.7Z,1,REGULAR,jumpball,recovered,[],203496,,,1610612757,0,0,2021-11-15T01:10:52Z,40000,,,0,,Jump Ball J. Nurkic vs. N. Jokic: Tip to R. Covington,"[203496, 203994, 203999]",1610612757.0,POR,startperiod,R. Covington,203496.0,Covington,R. Covington,Nurkic,203994.0,Jokic,203999.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M50.00S,2021-11-15T01:11:01.9Z,1,REGULAR,foul,personal,[],203085,,,1610612757,0,0,2021-11-15T01:11:34Z,70000,,,0,,A. Rivers personal FOUL (1 PF),"[203085, 1626181]",1610612743.0,DEN,,,,Rivers,A. Rivers,,,,,202035.0,1.0,0.0,Powell,1626181.0,,,,,,,,,,,,,,,,
9,PT11M41.00S,2021-11-15T01:11:31.4Z,1,REGULAR,3pt,Jump Shot,[],1629014,34.247700394218136,49.50980392156863,1610612757,0,0,2021-11-15T01:11:36Z,90000,2.0,269.0,1,left,MISS A. Simons 26' 3PT,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,26.94,Missed,,,,,,,,,,,,,,
10,PT11M38.00S,2021-11-15T01:11:34.2Z,1,REGULAR,rebound,defensive,[],201145,,,1610612743,0,0,2021-11-15T01:11:34Z,100000,,,0,,J. Green REBOUND (Off:0 Def:1),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M16.00S,2021-11-15T01:11:56.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203932,92.06636005256242,46.07843137254902,1610612743,0,0,2021-11-15T01:12:00Z,110000,-20.0,22.0,1,right,MISS A. Gordon Layup,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,2.95,Missed,,,,,,,,,,,,,,
13,PT11M13.00S,2021-11-15T01:11:59.6Z,1,REGULAR,rebound,offensive,[],201145,,,1610612743,0,0,2021-11-15T01:12:00Z,130000,,,0,,J. Green REBOUND (Off:1 Def:1),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,11.0,2.0,1.0,1.0,,,,,,,,,,
14,PT11M13.00S,2021-11-15T01:12:00.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201145,92.46057818659659,55.88235294117647,1610612743,2,0,2021-11-15T01:12:05Z,140000,29.0,18.0,1,right,J. Green putback Layup (2 PTS),[201145],1610612743.0,DEN,putback,,,Green,J. Green,,,,,,,,,,3.47,Made,,,,,2.0,,,,,,,,,
15,PT10M56.00S,2021-11-15T01:12:16.8Z,1,REGULAR,2pt,Jump Shot,[],203496,21.895532194480946,30.392156862745097,1610612757,2,0,2021-11-15T01:12:29Z,150000,98.0,153.0,1,left,MISS R. Covington 18' pullup Shot,[203496],1610612757.0,POR,pullup,,,Covington,R. Covington,,,,,,,,,,18.19,Missed,,,,,,,,,,,,,,
16,PT10M53.00S,2021-11-15T01:12:19.8Z,1,REGULAR,rebound,defensive,[],1628420,,,1610612743,2,0,2021-11-15T01:12:29Z,160000,,,0,,M. Morris REBOUND (Off:0 Def:1),[1628420],1610612743.0,DEN,,,,Morris,M. Morris,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,
17,PT10M44.00S,2021-11-15T01:12:27.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203932,91.5407358738502,48.529411764705884,1610612743,2,0,2021-11-15T01:12:32Z,170000,-7.0,27.0,1,right,MISS A. Gordon turnaround Shot,[203932],1610612743.0,DEN,turnaround,,,Gordon,A. Gordon,,,,,,,,,,2.8,Missed,,,,,,,,,,,,,,
18,PT10M44.00S,2021-11-15T01:12:27.7Z,1,REGULAR,rebound,offensive,[],203932,,,1610612743,2,0,2021-11-15T01:12:32Z,180000,,,0,,A. Gordon REBOUND (Off:1 Def:0),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,,17.0,1.0,0.0,1.0,,,,,,,,,,
19,PT10M41.00S,2021-11-15T01:12:30.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203932,92.9862023653088,44.6078431372549,1610612743,2,0,2021-11-15T01:12:35Z,190000,-27.0,13.0,1,right,MISS A. Gordon putback Layup,[203932],1610612743.0,DEN,putback,,,Gordon,A. Gordon,,,,,,,,,,3.01,Missed,,,,,,,,,,,,,,
20,PT10M41.00S,2021-11-15T01:12:30.6Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,2,0,2021-11-15T01:12:35Z,200000,,,0,,J. Nurkic REBOUND (Off:0 Def:1),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,
21,PT10M25.00S,2021-11-15T01:12:46.7Z,1,REGULAR,3pt,Jump Shot,[],203468,32.14520367936925,40.44117647058824,1610612757,2,0,2021-11-15T01:12:52Z,210000,48.0,250.0,1,left,MISS C. McCollum 25' 3PT,[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,,25.42,Missed,,,,,,,,,,,,,,
22,PT10M23.00S,2021-11-15T01:12:48.7Z,1,REGULAR,rebound,defensive,[],203085,,,1610612743,2,0,2021-11-15T01:12:52Z,220000,,,0,,A. Rivers REBOUND (Off:0 Def:1),[203085],1610612743.0,DEN,,,,Rivers,A. Rivers,,,,,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,
23,PT10M14.00S,2021-11-15T01:12:59.0Z,1,REGULAR,3pt,Jump Shot,[],201145,93.77463863337714,4.6568627450980395,1610612743,2,0,2021-11-15T01:13:04Z,230000,-227.0,6.0,1,right,MISS J. Green 3PT,[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,22.68,Missed,,,,,,,,,,,,,,
24,PT10M10.00S,2021-11-15T01:13:03.0Z,1,REGULAR,rebound,defensive,[],1629014,,,1610612757,2,0,2021-11-15T01:13:04Z,240000,,,0,,A. Simons REBOUND (Off:0 Def:1),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,,,
25,PT09M58.00S,2021-11-15T01:13:14.2Z,1,REGULAR,3pt,Jump Shot,[],1629014,10.85742444152431,95.83333333333334,1610612757,2,0,2021-11-15T01:13:19Z,250000,-229.0,50.0,1,left,MISS A. Simons 3PT,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,23.45,Missed,,,,,,,,,,,,,,
26,PT09M56.00S,2021-11-15T01:13:16.2Z,1,REGULAR,rebound,defensive,[],201145,,,1610612743,2,0,2021-11-15T01:13:19Z,260000,,,0,,J. Green REBOUND (Off:1 Def:2),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,25.0,3.0,2.0,1.0,,,,,,,,,,
27,PT09M45.00S,2021-11-15T01:13:27.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628420,93.11760840998686,45.588235294117645,1610612743,4,0,2021-11-15T01:13:31Z,270000,-22.0,12.0,1,right,M. Morris driving finger roll Layup (2 PTS) (N. Jokic 1 AST),"[1628420, 203999]",1610612743.0,DEN,driving finger roll,,,Morris,M. Morris,,,,,,,,,,2.52,Made,,,,,2.0,N. Jokic,203999.0,1.0,,,,,,
28,PT09M28.00S,2021-11-15T01:13:43.2Z,1,REGULAR,3pt,Jump Shot,[],203994,26.757555847568987,81.86274509803921,1610612757,4,0,2021-11-15T01:13:49Z,280000,-159.0,199.0,1,left,MISS J. Nurkic 25' 3PT,[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,25.49,Missed,,,,,,,,,,,,,,
29,PT09M25.00S,2021-11-15T01:13:46.2Z,1,REGULAR,rebound,defensive,[],1628420,,,1610612743,4,0,2021-11-15T01:13:49Z,290000,,,0,,M. Morris REBOUND (Off:0 Def:2),[1628420],1610612743.0,DEN,,,,Morris,M. Morris,,,,,,,,,,,,28.0,2.0,2.0,0.0,,,,,,,,,,
30,PT09M13.00S,2021-11-15T01:13:58.8Z,1,REGULAR,3pt,Jump Shot,[],203085,93.51182654402102,4.166666666666666,1610612743,4,0,2021-11-15T01:14:03Z,300000,-229.0,8.0,1,right,MISS A. Rivers 3PT,[203085],1610612743.0,DEN,,,,Rivers,A. Rivers,,,,,,,,,,22.94,Missed,,,,,,,,,,,,,,
31,PT09M10.00S,2021-11-15T01:14:01.8Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,4,0,2021-11-15T01:14:03Z,310000,,,0,,J. Nurkic REBOUND (Off:0 Def:2),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,30.0,2.0,2.0,0.0,,,,,,,,,,
32,PT09M06.00S,2021-11-15T01:14:06.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1626181,5.863994743758213,45.83333333333333,1610612757,4,2,2021-11-15T01:14:16Z,320000,21.0,3.0,1,left,N. Powell running finger roll Layup (2 PTS),[1626181],1610612757.0,POR,running finger roll,,,Powell,N. Powell,,,,,,,,,,2.1,Made,,,,,2.0,,,,,,,,,
33,PT08M51.00S,2021-11-15T01:14:21.2Z,1,REGULAR,2pt,Jump Shot,[],1628420,92.32917214191852,12.254901960784313,1610612743,6,2,2021-11-15T01:14:26Z,330000,-189.0,20.0,1,right,M. Morris 18' Jump Shot (4 PTS) (N. Jokic 2 AST),"[1628420, 203999]",1610612743.0,DEN,,,,Morris,M. Morris,,,,,,,,,,18.97,Made,,,,,4.0,N. Jokic,203999.0,2.0,,,,,,
