actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-12-16T02:10:36.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-16T02:10:36Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-12-16T02:10:38.4Z,1,REGULAR,jumpball,recovered,[],1629020,,,1610612750,0,0,2021-12-16T02:10:38Z,40000,,,0,,Jump Ball K. Towns vs. N. Jokic: Tip to J. Vanderbilt,"[1629020, 1626157, 203999]",1610612750.0,MIN,startperiod,J. Vanderbilt,1629020.0,Vanderbilt,J. Vanderbilt,Towns,1626157.0,Jokic,203999.0,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2021-12-16T02:10:52.2Z,1,REGULAR,3pt,Jump Shot,[],201976,28.728646517739815,78.18627450980392,1610612750,0,3,2021-12-16T02:10:59Z,70000,-141.0,218.0,1,left,P. Beverley 25' 3PT  (3 PTS) (K. Towns 1 AST),"[201976, 1626157]",1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,25.92,Made,3.0,K. Towns,1626157.0,1.0,,,,,,,,,,,,,,
9,PT11M24.00S,2021-12-16T02:11:10.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,90.75229960578186,43.38235294117647,1610612743,2,3,2021-12-16T02:11:16Z,90000,-33.0,34.0,1,right,N. Jokic turnaround Jump Shot (2 PTS) (M. Morris 1 AST),"[203999, 1628420]",1610612743.0,DEN,turnaround,,,Jokic,N. Jokic,,,,,4.77,Made,2.0,M. Morris,1628420.0,1.0,,,,,,,,,,,,,,
11,PT10M59.00S,2021-12-16T02:11:35.8Z,1,REGULAR,2pt,Jump Shot,[],1626157,20.71287779237845,75.98039215686273,1610612750,2,5,2021-12-16T02:11:43Z,110000,-130.0,142.0,1,left,K. Towns 19' Jump Shot (2 PTS) (P. Beverley 1 AST),"[1626157, 201976]",1610612750.0,MIN,,,,Towns,K. Towns,,,,,19.26,Made,2.0,P. Beverley,201976.0,1.0,,,,,,,,,,,,,,
13,PT10M36.00S,2021-12-16T02:11:59.9Z,1,REGULAR,turnover,bad pass,[],203999,,,1610612743,2,5,2021-12-16T02:12:04Z,130000,,,0,,N. Jokic bad pass TURNOVER (1 TO),"[203999, 1626157]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,1.0,Towns,1626157.0,,,,,,,,,,,
14,PT10M36.00S,2021-12-16T02:11:59.9Z,1,REGULAR,steal,,[],1626157,,,1610612750,2,5,2021-12-16T02:12:02Z,140000,,,0,,K. Towns STEAL (1 STL),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,,,,,,,,,,,
15,PT10M32.00S,2021-12-16T02:12:03.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629020,7.703679369250986,51.71568627450981,1610612750,2,7,2021-12-16T02:12:14Z,150000,-9.0,20.0,1,left,J. Vanderbilt running DUNK (2 PTS) (A. Edwards 1 AST),"[1629020, 1630162]",1610612750.0,MIN,running,,,Vanderbilt,J. Vanderbilt,,,,,2.17,Made,2.0,A. Edwards,1630162.0,1.0,,,,,,,,,,,,,,
17,PT10M07.00S,2021-12-16T02:12:27.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201145,88.64980289093299,48.77450980392157,1610612743,2,7,2021-12-16T02:12:36Z,170000,-6.0,54.0,1,right,MISS J. Green turnaround Hook,[201145],1610612743.0,DEN,turnaround,,,Green,J. Green,,,,,5.45,Missed,,,,,,,,,,,,,,,,,,
18,PT10M04.00S,2021-12-16T02:12:31.0Z,1,REGULAR,rebound,offensive,[],203932,,,1610612743,2,7,2021-12-16T02:12:30Z,180000,,,0,,A. Gordon REBOUND (Off:1 Def:0),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,,,,17.0,1.0,0.0,1.0,,,,,,,
