actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-01-06T03:11:09.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-06T03:11:09Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-06T03:11:12.0Z,1,REGULAR,jumpball,recovered,[],202711,,,1610612762,0,0,2022-01-06T03:11:12Z,40000,,,0,,Jump Ball U. Azubuike vs. N. Jokic: Tip to B. Bogdanovic,"[202711, 1628962, 203999]",1610612762.0,UTA,startperiod,B. Bogdanovic,202711.0,Bogdanovic,B. Bogdanovic,Azubuike,1628962.0,Jokic,203999.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-01-06T03:11:27.0Z,1,REGULAR,2pt,Jump Shot,[],201144,72.88107752956637,30.14705882352941,1610612762,0,0,2022-01-06T03:12:54Z,70000,-99.0,202.0,1,right,MISS M. Conley 22' pullup Shot,[201144],1610612762.0,UTA,pullup,,,Conley,M. Conley,,,,,22.54,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2022-01-06T03:11:30.0Z,1,REGULAR,rebound,defensive,[],203115,,,1610612743,0,0,2022-01-06T03:11:31Z,80000,,,0,,W. Barton REBOUND (Off:0 Def:1),[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M35.00S,2022-01-06T03:11:34.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203115,17.0335085413929,36.029411764705884,1610612743,0,0,2022-01-06T03:11:44Z,90000,70.0,108.0,1,left,MISS W. Barton 12' pullup Shot,[203115],1610612743.0,DEN,pullup,,,Barton,W. Barton,,,,,12.83,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M31.00S,2022-01-06T03:11:38.9Z,1,REGULAR,rebound,defensive,[],201144,,,1610612762,0,0,2022-01-06T03:11:44Z,100000,,,0,,M. Conley REBOUND (Off:0 Def:1),[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M18.00S,2022-01-06T03:11:51.1Z,1,REGULAR,3pt,Jump Shot,[],201144,69.07030223390277,29.65686274509804,1610612762,0,3,2022-01-06T03:12:21Z,110000,-102.0,238.0,1,right,M. Conley 25' 3PT step back (3 PTS) (R. O'Neale 1 AST),"[201144, 1626220]",1610612762.0,UTA,step back,,,Conley,M. Conley,,,,,25.9,Made,,,,,3.0,R. O'Neale,1626220.0,1.0,,,,,,,,,,,
13,PT10M54.00S,2022-01-06T03:12:14.1Z,1,REGULAR,3pt,Jump Shot,[],1630267,11.251642575558476,3.9215686274509802,1610612743,0,3,2022-01-06T03:12:20Z,130000,230.0,53.0,1,left,MISS F. Campazzo 3PT,[1630267],1610612743.0,DEN,,,,Campazzo,F. Campazzo,,,,,23.65,Missed,,,,,,,,,,,,,,,,,,,
14,PT10M52.00S,2022-01-06T03:12:16.1Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612762,0,3,2022-01-06T03:12:20Z,140000,,,0,,R. O'Neale REBOUND (Off:0 Def:1),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
15,PT10M42.00S,2022-01-06T03:12:26.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628962,94.30026281208936,49.01960784313725,1610612762,0,5,2022-01-06T03:12:32Z,150000,-5.0,1.0,1,right,U. Azubuike alley-oop DUNK (2 PTS) (M. Conley 1 AST),"[1628962, 201144]",1610612762.0,UTA,alley-oop,,,Azubuike,U. Azubuike,,,,,0.5,Made,,,,,2.0,M. Conley,201144.0,1.0,,,,,,,,,,,
