actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-02-27T02:10:55.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-27T02:10:55Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-02-27T02:10:58.9Z,1,REGULAR,jumpball,recovered,[],203932,,,1610612743,0,0,2022-02-27T02:10:58Z,40000,,,0,,Jump Ball N. Jokic vs. D. Sabonis: Tip to A. Gordon,"[203932, 203999, 1627734]",1610612743.0,DEN,startperiod,A. Gordon,203932.0,Gordon,A. Gordon,Jokic,203999.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2022-02-27T02:11:18.5Z,1,REGULAR,3pt,Jump Shot,[],1628420,90.3580814717477,95.09803921568627,1610612743,3,0,2022-02-27T02:11:24Z,70000,225.0,38.0,1,right,M. Morris 3PT  (3 PTS) (W. Barton 1 AST),"[1628420, 203115]",1610612743.0,DEN,,,,Morris,M. Morris,,,,,22.87,Made,3.0,W. Barton,203115.0,1.0,,,,,,,,,,,,,,,
9,PT11M16.00S,2022-02-27T02:11:38.2Z,1,REGULAR,3pt,Jump Shot,[],203200,28.203022339027594,16.666666666666664,1610612758,3,3,2022-02-27T02:13:57Z,90000,167.0,213.0,1,left,J. Holiday 27' 3PT  (3 PTS) (D. Sabonis 1 AST),"[203200, 1627734]",1610612758.0,SAC,,,,Holiday,J. Holiday,,,,,27.02,Made,3.0,D. Sabonis,1627734.0,1.0,,,,,,,,,,,,,,,
11,PT11M02.00S,2022-02-27T02:11:52.2Z,1,REGULAR,3pt,Jump Shot,[],203932,72.35545335085413,82.35294117647058,1610612743,6,3,2022-02-27T02:11:56Z,110000,162.0,207.0,1,right,A. Gordon 26' 3PT  (3 PTS) (N. Jokic 1 AST),"[203932, 203999]",1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,26.3,Made,3.0,N. Jokic,203999.0,1.0,,,,,,,,,,,,,,,
13,PT10M51.00S,2022-02-27T02:12:02.7Z,1,REGULAR,3pt,Jump Shot,[],203084,27.54599211563732,77.69607843137256,1610612758,6,3,2022-02-27T02:12:09Z,130000,-138.0,206.0,1,left,MISS H. Barnes 24' 3PT,[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,24.86,Missed,,,,,,,,,,,,,,,,,,,
14,PT10M49.00S,2022-02-27T02:12:05.3Z,1,REGULAR,rebound,offensive,[],1627734,,,1610612758,6,3,2022-02-27T02:12:05Z,140000,,,0,,D. Sabonis REBOUND (Off:1 Def:0),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,,13.0,1.0,0.0,1.0,,,,,,,,,,,
15,PT10M42.00S,2022-02-27T02:12:15.5Z,1,REGULAR,turnover,3-second-violation,[],203084,,,1610612758,6,3,2022-02-27T02:12:30Z,150000,,,0,,H. Barnes 3-second-violation TURNOVER (1 TO),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,,,,,1146.0,1.0,,,,,,,,,
16,PT10M39.00S,2022-02-27T02:12:25.8Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",203115,78.0059132720105,8.333333333333332,1610612743,9,3,2022-02-27T02:12:35Z,160000,-208.0,154.0,1,right,W. Barton 25' 3PT pullup (3 PTS) (N. Jokic 2 AST),"[203115, 203999]",1610612743.0,DEN,pullup,,,Barton,W. Barton,,,,,25.92,Made,3.0,N. Jokic,203999.0,2.0,,,,,,,,,,,,,,,
18,PT10M33.00S,2022-02-27T02:12:35.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,9,3,2022-02-27T02:12:35Z,180000,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
