actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
18,PT10M39.00S,2021-12-14T02:13:15.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203932,90.62089356110381,37.00980392156863,1610612743,2,0,2021-12-14T02:13:25Z,180000,-65.0,36.0,1,right,MISS A. Gordon 7' Layup - blocked,"[203932, 203078]",1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,7.42,Missed,,,,,,,,,,,,Beal,203078.0,,,,,,
19,PT10M39.00S,2021-12-14T02:13:15.7Z,1,REGULAR,block,,[],203078,,,1610612743,2,0,2021-12-14T02:13:18Z,190000,,,0,,B. Beal BLOCK (1 BLK),[203078],1610612764.0,WAS,,,,Beal,B. Beal,,,,,,,,,,,,,,,,,,,,,,,,,
20,PT10M36.00S,2021-12-14T02:13:18.7Z,1,REGULAR,rebound,offensive,[],203932,,,1610612743,2,0,2021-12-14T02:13:25Z,200000,,,0,,A. Gordon REBOUND (Off:1 Def:0),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,18.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
21,PT10M32.00S,2021-12-14T02:13:23.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201145,91.40932982917214,58.08823529411765,1610612743,4,0,2021-12-14T02:13:34Z,210000,40.0,28.0,1,right,J. Green driving Layup (2 PTS) (D. Reed 1 AST),"[201145, 1628432]",1610612743.0,DEN,driving,,,Green,J. Green,,,,,4.93,Made,,,,,,,,2.0,D. Reed,1628432.0,1.0,,,,,,,,
23,PT10M14.00S,2021-12-14T02:13:40.4Z,1,REGULAR,3pt,Jump Shot,[],1630166,26.231931668856767,17.647058823529413,1610612764,4,0,2021-12-14T02:13:51Z,230000,162.0,194.0,1,left,MISS D. Avdija 25' 3PT,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,25.27,Missed,,,,,,,,,,,,,,,,,,,
24,PT10M12.00S,2021-12-14T02:13:42.4Z,1,REGULAR,rebound,defensive,[],1628420,,,1610612743,4,0,2021-12-14T02:13:51Z,240000,,,0,,M. Morris REBOUND (Off:0 Def:2),[1628420],1610612743.0,DEN,,,,Morris,M. Morris,,,,,,,23.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
25,PT10M02.00S,2021-12-14T02:13:54.7Z,1,REGULAR,foul,personal,['2freethrow'],1630166,,,1610612743,4,0,2021-12-14T02:14:05Z,250000,,,0,,D. Avdija shooting personal FOUL (1 PF) (Gordon 2 FT),"[1630166, 203932]",1610612764.0,WAS,shooting,,,Avdija,D. Avdija,,,,,,,,,,,1146.0,1.0,0.0,,,,,,,Gordon,203932.0,,,,
27,PT10M02.00S,2021-12-14T02:14:18.6Z,1,REGULAR,freethrow,1 of 2,[],203932,,,1610612743,5,0,2021-12-14T02:14:18Z,270000,,,0,,A. Gordon Free Throw 1 of 2 (3 PTS),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,Made,,,,,,,,3.0,,,,,,,,,,,
28,PT10M02.00S,2021-12-14T02:14:34.9Z,1,REGULAR,freethrow,2 of 2,[],203932,,,1610612743,6,0,2021-12-14T02:14:34Z,280000,,,0,,A. Gordon Free Throw 2 of 2 (4 PTS),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,Made,,,,,,,,4.0,,,,,,,,,,,
29,PT09M45.00S,2021-12-14T02:14:53.8Z,1,REGULAR,3pt,Jump Shot,[],203484,7.046649145860711,4.411764705882353,1610612764,6,0,2021-12-14T02:15:02Z,290000,228.0,14.0,1,left,MISS K. Caldwell-Pope step back 3PT,[203484],1610612764.0,WAS,step back,,,Caldwell-Pope,K. Caldwell-Pope,,,,,22.83,Missed,,,,,,,,,,,,,,,,,,,
30,PT09M44.00S,2021-12-14T02:14:54.8Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,6,0,2021-12-14T02:15:02Z,300000,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,29.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
31,PT09M39.00S,2021-12-14T02:15:00.8Z,1,REGULAR,3pt,Jump Shot,[],1628432,92.72339027595268,4.166666666666666,1610612743,6,0,2021-12-14T02:15:13Z,310000,-229.0,16.0,1,right,MISS D. Reed 3PT,[1628432],1610612743.0,DEN,,,,Reed,D. Reed,,,,,22.98,Missed,,,,,,,,,,,,,,,,,,,
32,PT09M35.00S,2021-12-14T02:15:04.8Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612764,6,0,2021-12-14T02:15:13Z,320000,,,0,,D. Gafford REBOUND (Off:0 Def:1),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
33,PT09M25.00S,2021-12-14T02:15:14.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203078,17.559132720105126,60.049019607843135,1610612764,6,2,2021-12-14T02:15:25Z,330000,-50.0,113.0,1,left,B. Beal 12' fadeaway Jump Shot (2 PTS),[203078],1610612764.0,WAS,fadeaway,,,Beal,B. Beal,,,,,12.33,Made,,,,,,,,2.0,,,,,,,,,,,
34,PT09M08.00S,2021-12-14T02:15:30.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203932,84.70762155059133,53.431372549019606,1610612743,6,2,2021-12-14T02:15:47Z,340000,17.0,91.0,1,right,MISS A. Gordon 9' turnaround fadeaway Shot,[203932],1610612743.0,DEN,turnaround fadeaway,,,Gordon,A. Gordon,,,,,9.28,Missed,,,,,,,,,,,,,,,,,,,
35,PT09M06.00S,2021-12-14T02:15:32.9Z,1,REGULAR,rebound,defensive,[],203915,,,1610612764,6,2,2021-12-14T02:15:47Z,350000,,,0,,S. Dinwiddie REBOUND (Off:0 Def:1),[203915],1610612764.0,WAS,,,,Dinwiddie,S. Dinwiddie,,,,,,,34.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
36,PT08M52.00S,2021-12-14T02:15:48.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203915,13.091327201051248,37.5,1610612764,6,2,2021-12-14T02:15:54Z,360000,62.0,71.0,1,left,MISS S. Dinwiddie 9' driving finger roll Layup,[203915],1610612764.0,WAS,driving finger roll,,,Dinwiddie,S. Dinwiddie,,,,,9.43,Missed,,,,,,,,,,,,,,,,,,,
37,PT08M50.00S,2021-12-14T02:15:50.3Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,6,2,2021-12-14T02:15:54Z,370000,,,0,,N. Jokic REBOUND (Off:0 Def:2),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,36.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
38,PT08M41.00S,2021-12-14T02:15:58.4Z,1,REGULAR,turnover,bad pass,[],203999,,,1610612743,6,2,2021-12-14T02:16:03Z,380000,,,0,,N. Jokic bad pass TURNOVER (1 TO),"[203999, 1630166]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,,,,1.0,Avdija,1630166.0,
39,PT08M41.00S,2021-12-14T02:15:58.4Z,1,REGULAR,steal,,[],1630166,,,1610612764,6,2,2021-12-14T02:15:59Z,390000,,,0,,D. Avdija STEAL (1 STL),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT08M23.00S,2021-12-14T02:16:15.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630166,29.25427069645204,74.50980392156863,1610612764,6,2,2021-12-14T02:16:24Z,400000,-123.0,222.0,1,left,MISS D. Avdija 25' 3PT,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,25.4,Missed,,,,,,,,,,,,,,,,,,,
41,PT08M20.00S,2021-12-14T02:16:18.6Z,1,REGULAR,rebound,defensive,[],1628432,,,1610612743,6,2,2021-12-14T02:18:09Z,410000,,,0,,D. Reed REBOUND (Off:0 Def:1),[1628432],1610612743.0,DEN,,,,Reed,D. Reed,,,,,,,40.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
42,PT08M16.00S,2021-12-14T02:16:23.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",203999,91.40932982917214,42.8921568627451,1610612743,6,2,2021-12-14T02:16:49Z,420000,-36.0,28.0,1,right,MISS N. Jokic running finger roll Layup,[203999],1610612743.0,DEN,running finger roll,,,Jokic,N. Jokic,,,,,4.54,Missed,,,,,,,,,,,,,,,,,,,
43,PT08M14.00S,2021-12-14T02:16:25.9Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612764,6,2,2021-12-14T02:16:49Z,430000,,,0,,D. Gafford REBOUND (Off:0 Def:2),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,42.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
44,PT08M13.00S,2021-12-14T02:16:30.1Z,1,REGULAR,foul,personal,[],203932,,,1610612764,6,2,2021-12-14T02:16:36Z,440000,,,0,,A. Gordon take personal FOUL (1 PF),"[203932, 203915]",1610612743.0,DEN,take,,,Gordon,A. Gordon,,,,,,,,,,,200833.0,1.0,0.0,,,,,,,Dinwiddie,203915.0,,,,
46,PT07M58.00S,2021-12-14T02:16:58.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203078,14.4053876478318,36.76470588235294,1610612764,6,4,2021-12-14T02:17:08Z,460000,66.0,83.0,1,left,B. Beal 10' fadeaway Jump Shot (4 PTS),[203078],1610612764.0,WAS,fadeaway,,,Beal,B. Beal,,,,,10.61,Made,,,,,,,,4.0,,,,,,,,,,,
47,PT07M48.00S,2021-12-14T02:17:11.2Z,1,REGULAR,foul,personal,['2freethrow'],203915,,,1610612743,6,4,2021-12-14T02:17:27Z,470000,,,0,,S. Dinwiddie shooting personal FOUL (1 PF) (Morris 2 FT),"[203915, 1628420]",1610612764.0,WAS,shooting,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,1628484.0,1.0,0.0,,,,,,,Morris,1628420.0,,,,
49,PT07M48.00S,2021-12-14T02:17:32.9Z,1,REGULAR,freethrow,1 of 2,[],1628420,,,1610612743,7,4,2021-12-14T02:17:32Z,490000,,,0,,M. Morris Free Throw 1 of 2 (1 PTS),[1628420],1610612743.0,DEN,,,,Morris,M. Morris,,,,,,Made,,,,,,,,1.0,,,,,,,,,,,
50,PT07M48.00S,2021-12-14T02:17:46.7Z,1,REGULAR,freethrow,2 of 2,[],1628420,,,1610612743,8,4,2021-12-14T02:17:46Z,500000,,,0,,M. Morris Free Throw 2 of 2 (2 PTS),[1628420],1610612743.0,DEN,,,,Morris,M. Morris,,,,,,Made,,,,,,,,2.0,,,,,,,,,,,
51,PT07M25.00S,2021-12-14T02:18:11.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629655,10.33180026281209,50.245098039215684,1610612764,8,6,2021-12-14T02:18:19Z,510000,-1.0,45.0,1,left,D. Gafford floating Jump Shot (2 PTS) (B. Beal 1 AST),"[1629655, 203078]",1610612764.0,WAS,floating,,,Gafford,D. Gafford,,,,,4.46,Made,,,,,,,,2.0,B. Beal,203078.0,1.0,,,,,,,,
53,PT07M13.00S,2021-12-14T02:18:25.2Z,1,REGULAR,foul,personal,[],1629655,,,1610612743,8,6,2021-12-14T02:18:46Z,530000,,,0,,D. Gafford personal FOUL (1 PF),"[1629655, 203999]",1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,1628484.0,1.0,0.0,,,,,,,Jokic,203999.0,,,,
55,PT07M10.00S,2021-12-14T02:18:44.9Z,1,REGULAR,foul,personal,['2freethrow'],1629655,,,1610612743,8,6,2021-12-14T02:18:56Z,550000,,,0,,D. Gafford shooting personal FOUL (2 PF) (Jokic 2 FT),"[1629655, 203999]",1610612764.0,WAS,shooting,,,Gafford,D. Gafford,,,,,,,,,,,1146.0,2.0,0.0,,,,,,,Jokic,203999.0,,,,
57,PT07M10.00S,2021-12-14T02:19:16.8Z,1,REGULAR,freethrow,1 of 2,[],203999,,,1610612743,9,6,2021-12-14T02:19:16Z,570000,,,0,,N. Jokic Free Throw 1 of 2 (1 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,Made,,,,,,,,1.0,,,,,,,,,,,
58,PT07M10.00S,2021-12-14T02:19:21.6Z,1,REGULAR,substitution,out,[],1629655,,,1610612743,9,6,2021-12-14T02:19:26Z,580000,,,0,,SUB out: D. Gafford,[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M10.00S,2021-12-14T02:19:21.6Z,1,REGULAR,substitution,in,[],1626149,,,1610612743,9,6,2021-12-14T02:19:26Z,590000,,,0,,SUB in: M. Harrell,[1626149],1610612764.0,WAS,,,,Harrell,M. Harrell,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M10.00S,2021-12-14T02:19:38.2Z,1,REGULAR,freethrow,2 of 2,[],203999,,,1610612743,10,6,2021-12-14T02:19:38Z,600000,,,0,,N. Jokic Free Throw 2 of 2 (2 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,Made,,,,,,,,2.0,,,,,,,,,,,
61,PT06M53.00S,2021-12-14T02:19:57.4Z,1,REGULAR,3pt,Jump Shot,[],203484,10.988830486202366,95.34313725490196,1610612764,10,6,2021-12-14T02:20:05Z,610000,-227.0,51.0,1,left,MISS K. Caldwell-Pope 3PT,[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,23.23,Missed,,,,,,,,,,,,,,,,,,,
62,PT06M51.00S,2021-12-14T02:19:59.4Z,1,REGULAR,rebound,defensive,[],1628420,,,1610612743,10,6,2021-12-14T02:20:05Z,620000,,,0,,M. Morris REBOUND (Off:0 Def:3),[1628420],1610612743.0,DEN,,,,Morris,M. Morris,,,,,,,61.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
63,PT06M45.00S,2021-12-14T02:20:06.3Z,1,REGULAR,3pt,Jump Shot,[],1628420,89.96386333771353,94.85294117647058,1610612743,10,6,2021-12-14T02:20:12Z,630000,224.0,42.0,1,right,MISS M. Morris 3PT,[1628420],1610612743.0,DEN,,,,Morris,M. Morris,,,,,22.82,Missed,,,,,,,,,,,,,,,,,,,
64,PT06M41.00S,2021-12-14T02:20:10.3Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612764,10,6,2021-12-14T02:20:12Z,640000,,,0,,D. Avdija REBOUND (Off:0 Def:1),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,63.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
65,PT06M33.00S,2021-12-14T02:20:17.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203078,12.959921156373195,50.98039215686274,1610612764,10,6,2021-12-14T02:20:30Z,650000,-5.0,69.0,1,left,MISS B. Beal 6' driving floating Shot,[203078],1610612764.0,WAS,driving floating,,,Beal,B. Beal,,,,,6.95,Missed,,,,,,,,,,,,,,,,,,,
66,PT06M32.00S,2021-12-14T02:20:18.3Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,10,6,2021-12-14T02:20:30Z,660000,,,0,,N. Jokic REBOUND (Off:0 Def:3),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,65.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
68,PT06M27.00S,2021-12-14T02:20:23.7Z,1,REGULAR,turnover,bad pass,[],203999,,,1610612743,10,6,2021-12-14T02:20:39Z,680000,,,0,,N. Jokic bad pass TURNOVER (2 TO),"[203999, 1630166]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,,,,2.0,Avdija,1630166.0,
69,PT06M27.00S,2021-12-14T02:20:23.7Z,1,REGULAR,steal,,[],1630166,,,1610612764,10,6,2021-12-14T02:20:25Z,690000,,,0,,D. Avdija STEAL (2 STL),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M21.00S,2021-12-14T02:20:30.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203484,5.601182654402102,45.588235294117645,1610612764,10,8,2021-12-14T02:20:47Z,700000,22.0,0.0,1,left,K. Caldwell-Pope Layup (2 PTS) (M. Harrell 1 AST),"[203484, 1626149]",1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,2.21,Made,,,,,,,,2.0,M. Harrell,1626149.0,1.0,,,,,,,,
72,PT06M02.00S,2021-12-14T02:20:47.7Z,1,REGULAR,3pt,Jump Shot,[],1628420,66.96780551905388,34.55882352941176,1610612743,13,8,2021-12-14T02:20:56Z,720000,-77.0,258.0,1,right,M. Morris 26' 3PT  (5 PTS) (N. Jokic 2 AST),"[1628420, 203999]",1610612743.0,DEN,,,,Morris,M. Morris,,,,,26.93,Made,,,,,,,,5.0,N. Jokic,203999.0,2.0,,,,,,,,
74,PT06M01.00S,2021-12-14T02:20:52.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,13,8,2021-12-14T02:20:52Z,740000,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M01.00S,2021-12-14T02:23:26.5Z,1,REGULAR,substitution,out,[],1630166,,,1610612764,13,8,2021-12-14T02:23:47Z,750000,,,0,,SUB out: D. Avdija,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M01.00S,2021-12-14T02:23:26.5Z,1,REGULAR,substitution,out,[],203915,,,1610612764,13,8,2021-12-14T02:23:47Z,760000,,,0,,SUB out: S. Dinwiddie,[203915],1610612764.0,WAS,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M01.00S,2021-12-14T02:23:26.5Z,1,REGULAR,substitution,in,[],202722,,,1610612764,13,8,2021-12-14T02:23:47Z,770000,,,0,,SUB in: D. Bertans,[202722],1610612764.0,WAS,,,,Bertans,D. Bertans,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M01.00S,2021-12-14T02:23:26.5Z,1,REGULAR,substitution,in,[],203526,,,1610612764,13,8,2021-12-14T02:23:47Z,780000,,,0,,SUB in: R. Neto,[203526],1610612764.0,WAS,,,,Neto,R. Neto,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M49.00S,2021-12-14T02:24:03.1Z,1,REGULAR,3pt,Jump Shot,[],203484,31.750985545335087,44.36274509803921,1610612764,13,8,2021-12-14T02:24:10Z,790000,28.0,246.0,1,left,MISS K. Caldwell-Pope 24' 3PT,[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,24.76,Missed,,,,,,,,,,,,,,,,,,,
80,PT05M46.00S,2021-12-14T02:24:06.1Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,13,8,2021-12-14T02:24:10Z,800000,,,0,,N. Jokic REBOUND (Off:0 Def:4),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,79.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
81,PT05M25.00S,2021-12-14T02:24:26.8Z,1,REGULAR,3pt,Jump Shot,[],1628420,70.64717477003943,24.509803921568626,1610612743,13,8,2021-12-14T02:24:40Z,810000,-127.0,223.0,1,right,MISS M. Morris 25' 3PT,[1628420],1610612743.0,DEN,,,,Morris,M. Morris,,,,,25.72,Missed,,,,,,,,,,,,,,,,,,,
82,PT05M22.00S,2021-12-14T02:24:29.8Z,1,REGULAR,rebound,defensive,[],1626149,,,1610612764,13,8,2021-12-14T02:24:40Z,820000,,,0,,M. Harrell REBOUND (Off:0 Def:1),[1626149],1610612764.0,WAS,,,,Harrell,M. Harrell,,,,,,,81.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
83,PT05M18.00S,2021-12-14T02:24:37.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612764,13,8,2021-12-14T02:24:37Z,830000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M18.00S,2021-12-14T02:24:38.1Z,1,REGULAR,substitution,out,[],1628432,,,1610612764,13,8,2021-12-14T02:24:49Z,840000,,,0,,SUB out: D. Reed,[1628432],1610612743.0,DEN,,,,Reed,D. Reed,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M18.00S,2021-12-14T02:24:38.1Z,1,REGULAR,substitution,out,[],201145,,,1610612764,13,8,2021-12-14T02:24:49Z,850000,,,0,,SUB out: J. Green,[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M18.00S,2021-12-14T02:24:38.1Z,1,REGULAR,substitution,in,[],1630267,,,1610612764,13,8,2021-12-14T02:24:49Z,860000,,,0,,SUB in: F. Campazzo,[1630267],1610612743.0,DEN,,,,Campazzo,F. Campazzo,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M18.00S,2021-12-14T02:24:38.1Z,1,REGULAR,substitution,in,[],1630192,,,1610612764,13,8,2021-12-14T02:24:49Z,870000,,,0,,SUB in: Z. Nnaji,[1630192],1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M09.00S,2021-12-14T02:25:07.9Z,1,REGULAR,2pt,Jump Shot,[],203078,14.536793692509855,23.52941176470588,1610612764,13,10,2021-12-14T02:25:15Z,880000,132.0,84.0,1,left,B. Beal 15' pullup Jump Shot (6 PTS),[203078],1610612764.0,WAS,pullup,,,Beal,B. Beal,,,,,15.69,Made,,,,,,,,6.0,,,,,,,,,,,
89,PT04M54.00S,2021-12-14T02:25:21.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628420,93.11760840998686,55.14705882352941,1610612743,15,10,2021-12-14T02:25:34Z,890000,26.0,12.0,1,right,M. Morris driving finger roll Layup (7 PTS) (N. Jokic 3 AST),"[1628420, 203999]",1610612743.0,DEN,driving finger roll,,,Morris,M. Morris,,,,,2.84,Made,,,,,,,,7.0,N. Jokic,203999.0,3.0,,,,,,,,
91,PT04M36.00S,2021-12-14T02:25:40.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626149,8.623521681997373,44.85294117647059,1610612764,15,10,2021-12-14T02:25:47Z,910000,26.0,29.0,1,left,MISS M. Harrell reverse Layup,[1626149],1610612764.0,WAS,reverse,,,Harrell,M. Harrell,,,,,3.85,Missed,,,,,,,,,,,,,,,,,,,
