actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-12-14T02:11:09.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-14T02:11:09Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-12-14T02:11:11.9Z,1,REGULAR,jumpball,recovered,[],203484,,,1610612764,0,0,2021-12-14T02:11:11Z,40000,,,0,,Jump Ball D. Gafford vs. N. Jokic: Tip to K. Caldwell-Pope,"[203484, 1629655, 203999]",1610612764.0,WAS,startperiod,K. Caldwell-Pope,203484.0,Caldwell-Pope,K. Caldwell-Pope,Gafford,1629655.0,Jokic,203999.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2021-12-14T02:11:33.2Z,1,REGULAR,3pt,Jump Shot,[],1630166,31.882391590013142,23.03921568627451,1610612764,0,0,2021-12-14T02:11:41Z,70000,135.0,247.0,1,left,MISS D. Avdija 28' 3PT,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,28.16,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M32.00S,2021-12-14T02:11:36.3Z,1,REGULAR,rebound,defensive,[],1628420,,,1610612743,0,0,2021-12-14T02:11:36Z,80000,,,0,,M. Morris REBOUND (Off:0 Def:1),[1628420],1610612743.0,DEN,,,,Morris,M. Morris,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M15.00S,2021-12-14T02:12:15.3Z,1,REGULAR,foul,technical,['1freethrow'],203078,,,1610612743,0,0,2021-12-14T02:12:24Z,110000,,,0,,B. Beal defensive-3-second technical FOUL (1 Tech),[203078],1610612764.0,WAS,defensive-3-second,,,Beal,B. Beal,,,,,,,,,,,200833.0,0.0,1.0,,,,,,,,,,,,
12,PT11M15.00S,2021-12-14T02:12:26.1Z,1,REGULAR,freethrow,1 of 1,[],1628420,,,1610612743,0,0,2021-12-14T02:12:26Z,120000,,,0,,MISS M. Morris technical Free Throw 1 of 1,[1628420],1610612743.0,DEN,technical,,,Morris,M. Morris,,,,,,Missed,,,,,,,,,,,,,,,,,,,
13,PT11M15.00S,2021-12-14T02:12:26.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612743,0,0,2021-12-14T02:12:26Z,130000,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,
14,PT11M04.00S,2021-12-14T02:12:50.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203932,92.59198423127464,49.50980392156863,1610612743,2,0,2021-12-14T02:13:05Z,140000,-2.0,17.0,1,right,A. Gordon cutting DUNK (2 PTS) (N. Jokic 1 AST),"[203932, 203999]",1610612743.0,DEN,cutting,,,Gordon,A. Gordon,,,,,1.73,Made,,,,,,,,2.0,N. Jokic,203999.0,1.0,,,,,,,,
16,PT10M51.00S,2021-12-14T02:13:02.6Z,1,REGULAR,2pt,Jump Shot,[],203484,16.90210249671485,74.50980392156863,1610612764,2,0,2021-12-14T02:13:11Z,160000,-123.0,106.0,1,left,MISS K. Caldwell-Pope 16' pullup Shot,[203484],1610612764.0,WAS,pullup,,,Caldwell-Pope,K. Caldwell-Pope,,,,,16.23,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M51.00S,2021-12-14T02:13:02.6Z,1,REGULAR,rebound,defensive,[],201145,,,1610612743,2,0,2021-12-14T02:13:11Z,170000,,,0,,J. Green REBOUND (Off:0 Def:1),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
