actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-03-23T02:03:59.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-23T02:03:59Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2022-03-23T02:04:00.5Z,1,REGULAR,jumpball,recovered,[],201587,,,1610612746,0,0,2022-03-23T02:04:00Z,40000,,,0,,Jump Ball I. Zubac vs. N. Jokic: Tip to N. Batum,"[201587, 1627826, 203999]",1610612746.0,LAC,startperiod,N. Batum,201587.0,Batum,N. Batum,Zubac,1627826.0,Jokic,203999.0,,,,,,,,,,,,,,,,,,,,,
32,PT11M44.00S,2022-03-23T02:04:08.7Z,1,REGULAR,turnover,bad pass,[],201587,,,1610612746,0,0,2022-03-23T02:06:59Z,70000,,,0,,N. Batum bad pass TURNOVER (1 TO),"[201587, 203999]",1610612746.0,LAC,,,,Batum,N. Batum,,,,,1.0,Jokic,203999.0,,,,,,,,,,,,,,,,,,
33,PT11M44.00S,2022-03-23T02:04:08.7Z,1,REGULAR,steal,,[],203999,,,1610612743,0,0,2022-03-23T02:06:59Z,75000,,,0,,N. Jokic STEAL (1 STL),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,,,,,,,
39,PT11M40.00S,2022-03-23T02:04:12.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",203115,6.093955321944804,51.96078431372549,1610612743,0,0,2022-03-23T02:08:40Z,77500,-10.0,5.0,1,left,MISS W. Barton running Layup,[203115],1610612743.0,DEN,running,,,Barton,W. Barton,,,,,,,,1.09,Missed,,,,,,,,,,,,,,,,
40,PT11M39.00S,2022-03-23T02:04:13.8Z,1,REGULAR,rebound,defensive,[],201587,,,1610612746,0,0,2022-03-23T02:08:40Z,78750,,,0,,N. Batum REBOUND (Off:0 Def:1),[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,,,,,,39.0,1.0,1.0,0.0,,,,,,,,,,,,
47,PT11M24.00S,2022-03-23T02:04:14.8Z,1,REGULAR,turnover,bad pass,[],201587,,,1610612746,0,0,2022-03-23T02:09:58Z,79375,,,0,,N. Batum bad pass TURNOVER (2 TO),"[201587, 203999]",1610612746.0,LAC,,,,Batum,N. Batum,,,,,2.0,Jokic,203999.0,,,,,,,,,,,,,,,,,,
48,PT11M24.00S,2022-03-23T02:04:14.8Z,1,REGULAR,steal,,[],203999,,,1610612743,0,0,2022-03-23T02:19:18Z,79687,,,0,,N. Jokic STEAL (2 STL),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT11M18.00S,2022-03-23T02:04:15.8Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",203932,9.116294349540084,96.56862745098039,1610612743,0,0,2022-03-23T02:12:20Z,79843,-233.0,33.0,1,left,MISS A. Gordon 3PT,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,23.52,Missed,,,,,,,,,,,,,,,,
50,PT11M18.00S,2022-03-23T02:04:15.8Z,1,REGULAR,rebound,defensive,[],202704,,,1610612746,0,0,2022-03-23T02:12:20Z,79921,,,0,,R. Jackson REBOUND (Off:0 Def:1),[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,,49.0,1.0,1.0,0.0,,,,,,,,,,,,
8,PT11M00.00S,2022-03-23T02:04:16.9Z,1,REGULAR,foul,personal,[],203115,,,1610612746,0,0,2022-03-23T02:11:29Z,80000,,,0,,W. Barton personal FOUL (1 PF),"[203115, 202704]",1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,,,,,,,2530.0,1.0,0.0,Jackson,202704.0,,,,,,,
10,PT10M45.00S,2022-03-23T02:04:40.7Z,1,REGULAR,2pt,Jump Shot,[],202694,89.01116951379764,22.058823529411768,1610612746,0,2,2022-03-23T02:12:37Z,100000,-140.0,51.0,1,right,M. Morris Sr. 14' pullup Jump Shot (2 PTS) (N. Batum 1 AST),"[202694, 201587]",1610612746.0,LAC,pullup,,,Morris Sr.,M. Morris Sr.,,,,,,,,14.86,Made,,,,,,,,,,2.0,N. Batum,201587.0,1.0,,,
12,PT10M29.00S,2022-03-23T02:04:57.2Z,1,REGULAR,2pt,Jump Shot,[],203999,9.773324572930349,21.07843137254902,1610612743,2,2,2022-03-23T02:05:04Z,120000,145.0,39.0,1,left,N. Jokic 14' pullup Jump Shot (2 PTS) (A. Gordon 1 AST),"[203999, 203932]",1610612743.0,DEN,pullup,,,Jokic,N. Jokic,,,,,,,,14.99,Made,,,,,,,,,,2.0,A. Gordon,203932.0,1.0,,,
14,PT10M15.00S,2022-03-23T02:05:11.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627826,85.06898817345598,41.42156862745098,1610612746,2,2,2022-03-23T02:05:23Z,140000,-43.0,88.0,1,right,MISS I. Zubac 9' driving Layup,[1627826],1610612746.0,LAC,driving,,,Zubac,I. Zubac,,,,,,,,9.78,Missed,,,,,,,,,,,,,,,,
15,PT10M13.00S,2022-03-23T02:05:13.8Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,2,2,2022-03-23T02:05:23Z,150000,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,
