actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-11-20T02:10:44.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-20T02:10:44Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-20T02:10:46.7Z,1,REGULAR,jumpball,recovered,[],1628366,,,1610612741,0,0,2021-11-20T02:10:46Z,40000,,,0,,Jump Ball T. Bradley vs. J. Green: Tip to L. Ball,"[1628366, 1628396, 201145]",1610612741.0,CHI,startperiod,L. Ball,1628366.0,Ball,L. Ball,Bradley,1628396.0,Green,201145.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2021-11-20T02:10:56.9Z,1,REGULAR,3pt,Jump Shot,[],203897,68.01905387647832,18.38235294117647,1610612741,0,0,2021-11-20T02:11:03Z,70000,-158.0,248.0,1,right,MISS Z. LaVine 29' 3PT,[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,29.42,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2021-11-20T02:11:00.9Z,1,REGULAR,rebound,defensive,[],201145,,,1610612743,0,0,2021-11-20T02:11:03Z,80000,,,0,,J. Green REBOUND (Off:0 Def:1),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M27.00S,2021-11-20T02:11:15.9Z,1,REGULAR,3pt,Jump Shot,[],203085,26.757555847568987,16.911764705882355,1610612743,3,0,2021-11-20T02:11:24Z,90000,165.0,199.0,1,left,A. Rivers 25' 3PT  (3 PTS) (J. Green 1 AST),"[203085, 201145]",1610612743.0,DEN,,,,Rivers,A. Rivers,,,,,25.88,Made,,,,,3.0,J. Green,201145.0,1.0,,,,,,,,,,,
11,PT11M04.00S,2021-11-20T02:11:39.4Z,1,REGULAR,2pt,Jump Shot,[],201942,75.77201051248358,51.71568627450981,1610612741,3,2,2021-11-20T02:11:44Z,110000,9.0,175.0,1,right,D. DeRozan 17' pullup Jump Shot (2 PTS),[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,17.54,Made,,,,,2.0,,,,,,,,,,,,,,
12,PT10M38.00S,2021-11-20T02:12:05.1Z,1,REGULAR,3pt,Jump Shot,[],203115,28.86005256241787,15.686274509803921,1610612743,6,2,2021-11-20T02:12:10Z,120000,172.0,219.0,1,left,W. Barton 27' 3PT step back (3 PTS),[203115],1610612743.0,DEN,step back,,,Barton,W. Barton,,,,,27.81,Made,,,,,3.0,,,,,,,,,,,,,,
13,PT10M28.00S,2021-11-20T02:12:15.3Z,1,REGULAR,2pt,Jump Shot,[],1628396,77.34888304862024,52.20588235294118,1610612741,6,4,2021-11-20T02:12:26Z,130000,11.0,160.0,1,right,T. Bradley 16' bank Jump Shot (2 PTS) (L. Ball 1 AST),"[1628396, 1628366]",1610612741.0,CHI,bank,,,Bradley,T. Bradley,,,,,16.08,Made,,,,,2.0,L. Ball,1628366.0,1.0,,,,,,,,,,,
15,PT10M06.00S,2021-11-20T02:12:37.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203115,7.046649145860711,45.83333333333333,1610612743,8,4,2021-11-20T02:12:42Z,150000,21.0,14.0,1,left,W. Barton cutting Layup (5 PTS) (J. Green 2 AST),"[203115, 201145]",1610612743.0,DEN,cutting,,,Barton,W. Barton,,,,,2.49,Made,,,,,5.0,J. Green,201145.0,2.0,,,,,,,,,,,
17,PT09M53.00S,2021-11-20T02:12:50.0Z,1,REGULAR,3pt,Jump Shot,[],1627936,68.9388961892247,71.32352941176471,1610612741,8,4,2021-11-20T02:12:55Z,170000,107.0,239.0,1,right,MISS A. Caruso 26' 3PT,[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,26.22,Missed,,,,,,,,,,,,,,,,,,,
