actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-04-02T01:10:46.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-02T01:10:46Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-04-02T01:10:48.3Z,1,REGULAR,jumpball,recovered,[],201145,,,1610612743,0,0,2022-04-02T01:10:48Z,40000,,,0,,Jump Ball N. Jokic vs. K. Towns: Tip to J. Green,"[201145, 203999, 1626157]",1610612743.0,DEN,startperiod,J. Green,201145.0,Green,J. Green,Jokic,203999.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2022-04-02T01:11:08.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203999,91.14651773981603,56.127450980392155,1610612743,2,0,2022-04-02T01:11:15Z,70000,31.0,31.0,1,right,N. Jokic turnaround Hook (2 PTS),[203999],1610612743.0,DEN,turnaround,,,Jokic,N. Jokic,,,,,4.33,Made,2.0,,,,,,,,,,,,,,,,,,
8,PT11M21.00S,2022-04-02T01:11:24.5Z,1,REGULAR,turnover,bad pass,[],1626157,,,1610612750,2,0,2022-04-02T01:11:31Z,80000,,,0,,K. Towns bad pass TURNOVER (1 TO),"[1626157, 201145]",1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,1.0,Green,201145.0,,,,,,,,,,,,,,,
9,PT11M21.00S,2022-04-02T01:11:24.5Z,1,REGULAR,steal,,[],201145,,,1610612743,2,0,2022-04-02T01:11:26Z,90000,,,0,,J. Green STEAL (1 STL),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M17.00S,2022-04-02T01:11:28.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628420,93.9060446780552,53.431372549019606,1610612743,4,0,2022-04-02T01:11:39Z,100000,17.0,5.0,1,right,M. Morris running reverse Layup (2 PTS) (J. Green 1 AST),"[1628420, 201145]",1610612743.0,DEN,running reverse,,,Morris,M. Morris,,,,,1.79,Made,2.0,,,,J. Green,201145.0,1.0,,,,,,,,,,,,
12,PT10M59.00S,2022-04-02T01:11:45.6Z,1,REGULAR,2pt,Jump Shot,[],1626157,5.863994743758213,87.00980392156863,1610612750,4,2,2022-04-02T01:11:56Z,120000,-185.0,3.0,1,left,K. Towns 18' Jump Shot (2 PTS) (D. Russell 1 AST),"[1626157, 1626156]",1610612750.0,MIN,,,,Towns,K. Towns,,,,,18.5,Made,2.0,,,,D. Russell,1626156.0,1.0,,,,,,,,,,,,
14,PT10M39.00S,2022-04-02T01:12:05.8Z,1,REGULAR,3pt,Jump Shot,[],203932,77.87450722733246,89.70588235294117,1610612743,7,2,2022-04-02T01:12:13Z,140000,199.0,155.0,1,right,A. Gordon 25' 3PT  (3 PTS) (W. Barton 1 AST),"[203932, 203115]",1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,25.22,Made,3.0,,,,W. Barton,203115.0,1.0,,,,,,,,,,,,
16,PT10M30.00S,2022-04-02T01:12:15.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201976,7.178055190538765,49.50980392156863,1610612750,7,2,2022-04-02T01:12:27Z,160000,2.0,15.0,1,left,MISS P. Beverley running Layup,[201976],1610612750.0,MIN,running,,,Beverley,P. Beverley,,,,,1.52,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M28.00S,2022-04-02T01:12:17.2Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,7,2,2022-04-02T01:12:27Z,170000,,,0,,A. Gordon REBOUND (Off:0 Def:1),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,
18,PT10M23.00S,2022-04-02T01:12:25.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612743,7,2,2022-04-02T01:12:25Z,180000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PT10M10.00S,2022-04-02T01:12:49.7Z,1,REGULAR,turnover,bad pass,[],203115,,,1610612743,7,2,2022-04-02T01:12:54Z,190000,,,0,,W. Barton bad pass TURNOVER (1 TO),"[203115, 1626157]",1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,1.0,Towns,1626157.0,,,,,,,,,,,,,,,
20,PT10M10.00S,2022-04-02T01:12:49.7Z,1,REGULAR,steal,,[],1626157,,,1610612750,7,2,2022-04-02T01:12:51Z,200000,,,0,,K. Towns STEAL (1 STL),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,,,,,,,,,,,,
21,PT09M59.00S,2022-04-02T01:13:00.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626156,8.886333771353483,56.372549019607845,1610612750,7,4,2022-04-02T01:13:08Z,210000,-32.0,31.0,1,left,D. Russell driving finger roll Layup (2 PTS),[1626156],1610612750.0,MIN,driving finger roll,,,Russell,D. Russell,,,,,4.45,Made,2.0,,,,,,,,,,,,,,,,,,
22,PT09M49.00S,2022-04-02T01:13:10.5Z,1,REGULAR,turnover,bad pass,[],203999,,,1610612743,7,4,2022-04-02T01:13:15Z,220000,,,0,,N. Jokic bad pass TURNOVER (1 TO),"[203999, 1629020]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,1.0,Vanderbilt,1629020.0,,,,,,,,,,,,,,,
23,PT09M49.00S,2022-04-02T01:13:10.5Z,1,REGULAR,steal,,[],1629020,,,1610612750,7,4,2022-04-02T01:13:11Z,230000,,,0,,J. Vanderbilt STEAL (1 STL),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,,,,,,,,,,
24,PT09M45.00S,2022-04-02T01:13:15.4Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1626156,29.77989487516426,74.75490196078431,1610612750,7,7,2022-04-02T01:14:27Z,240000,-124.0,227.0,1,left,D. Russell 25' 3PT running pullup (5 PTS) (J. Vanderbilt 1 AST),"[1626156, 1629020]",1610612750.0,MIN,running pullup,,,Russell,D. Russell,,,,,25.89,Made,5.0,,,,J. Vanderbilt,1629020.0,1.0,,,,,,,,,,,,
