actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,value,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-01-24T01:10:41.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-24T01:10:41Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-01-24T01:10:45.7Z,1,REGULAR,jumpball,recovered,[],202709,,,1610612765,0,0,2022-01-24T01:10:45Z,40000,,,0,,Jump Ball I. Stewart vs. N. Jokic: Tip to C. Joseph,"[202709, 1630191, 203999]",1610612765.0,DET,startperiod,C. Joseph,202709.0,Joseph,C. Joseph,Stewart,1630191.0,Jokic,203999.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2022-01-24T01:10:55.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630191,92.82194480946123,47.05882352941176,1610612765,0,2,2022-01-24T01:11:04Z,70000,-15.0,15.0,1,right,I. Stewart reverse Layup (2 PTS) (C. Cunningham 1 AST),"[1630191, 1630595]",1610612765.0,DET,reverse,,,Stewart,I. Stewart,,,,,2.1,Made,2.0,C. Cunningham,1630595.0,1.0,,,,,,,,,,,,,,,
9,PT11M48.00S,2022-01-24T01:10:59.1Z,1,REGULAR,foul,personal,['1freethrow'],203115,,,1610612765,0,2,2022-01-24T01:11:11Z,90000,,,0,,W. Barton shooting personal FOUL (1 PF) (Stewart 1 FT),"[203115, 1630191]",1610612743.0,DEN,shooting,,,Barton,W. Barton,,,,,,,,,,,1204.0,1.0,0.0,Stewart,1630191.0,,,,,,,,,,
11,PT11M48.00S,2022-01-24T01:11:18.6Z,1,REGULAR,freethrow,1 of 1,[],1630191,,,1610612765,0,3,2022-01-24T01:11:18Z,110000,,,0,,I. Stewart Free Throw 1 of 1 (3 PTS),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
12,PT11M32.00S,2022-01-24T01:11:37.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,6.225361366622863,54.90196078431372,1610612743,2,3,2022-01-24T01:11:43Z,120000,-25.0,6.0,1,left,N. Jokic finger roll Layup (2 PTS),[203999],1610612743.0,DEN,finger roll,,,Jokic,N. Jokic,,,,,2.52,Made,2.0,,,,,,,,,,,,,,,,,,
13,PT11M16.00S,2022-01-24T01:11:53.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630180,92.16491458607096,42.64705882352941,1610612765,2,3,2022-01-24T01:11:58Z,130000,-37.0,21.0,1,right,MISS S. Bey driving DUNK,[1630180],1610612765.0,DET,driving,,,Bey,S. Bey,,,,,4.24,Missed,,,,,,,,,,,,,,,,,,,
14,PT11M14.00S,2022-01-24T01:11:55.8Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,2,3,2022-01-24T01:11:58Z,140000,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,
15,PT11M05.00S,2022-01-24T01:12:03.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203932,10.95597897503285,46.07843137254902,1610612743,2,3,2022-01-24T01:12:10Z,150000,20.0,50.0,1,left,MISS A. Gordon driving Layup,[203932],1610612743.0,DEN,driving,,,Gordon,A. Gordon,,,,,5.42,Missed,,,,,,,,,,,,,,,,,,,
16,PT11M03.00S,2022-01-24T01:12:05.9Z,1,REGULAR,rebound,offensive,[],203932,,,1610612743,2,3,2022-01-24T01:14:44Z,160000,,,0,,A. Gordon REBOUND (Off:1 Def:0),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,,,,,,15.0,1.0,0.0,1.0,,,,,,
32,PT11M02.00S,2022-01-24T01:12:08.3Z,1,REGULAR,turnover,lost ball,[],203932,,,1610612743,2,3,2022-01-24T01:48:12Z,165000,,,0,,A. Gordon lost ball TURNOVER (1 TO),"[203932, 1630595]",1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,,,,,,,,,,1.0,Cunningham,1630595.0,,,
33,PT11M02.00S,2022-01-24T01:12:08.3Z,1,REGULAR,steal,,[],1630595,,,1610612765,2,3,2022-01-24T01:15:40Z,167500,,,0,,C. Cunningham STEAL (1 STL),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,,,,,,,,,,,,,,,,,,
17,PT10M57.00S,2022-01-24T01:12:12.8Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628977,90.8508541392904,17.892156862745097,1610612765,2,3,2022-01-24T01:15:40Z,170000,-161.0,34.0,1,right,MISS H. Diallo 16' step back Shot,[1628977],1610612765.0,DET,step back,,,Diallo,H. Diallo,,,,,16.4,Missed,,,,,,,,,,,,,,,,,,,
