actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-04-08T01:10:45.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-08T01:10:45Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-04-08T01:10:49.6Z,1,REGULAR,jumpball,recovered,[],1626145,,,1610612763,0,0,2022-04-08T01:10:49Z,40000,,,0,,Jump Ball S. Adams vs. N. Jokic: Tip to T. Jones,"[1626145, 203500, 203999]",1610612763.0,MEM,startperiod,T. Jones,1626145.0,Jones,T. Jones,Adams,203500.0,Jokic,203999.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-04-08T01:10:59.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626145,91.01511169513797,37.99019607843137,1610612763,0,0,2022-04-08T01:11:06Z,70000,-60.0,32.0,1,right,MISS T. Jones 6' driving floating Shot,[1626145],1610612763.0,MEM,driving floating,,,Jones,T. Jones,,,,,6.8,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2022-04-08T01:11:03.7Z,1,REGULAR,rebound,defensive,[],1628420,,,1610612743,0,0,2022-04-08T01:11:06Z,80000,,,0,,M. Morris REBOUND (Off:0 Def:1),[1628420],1610612743.0,DEN,,,,Morris,M. Morris,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M38.00S,2022-04-08T01:11:06.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203115,9.674770039421814,96.07843137254902,1610612743,3,0,2022-04-08T01:11:25Z,90000,-230.0,38.0,1,left,W. Barton 3PT running (3 PTS) (M. Morris 1 AST),"[203115, 1628420]",1610612743.0,DEN,running,,,Barton,W. Barton,,,,,23.36,Made,,,,,3.0,M. Morris,1628420.0,1.0,,,,,,,,,,,
11,PT11M16.00S,2022-04-08T01:11:28.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628991,90.09526938239159,50.245098039215684,1610612763,3,2,2022-04-08T01:11:34Z,110000,1.0,41.0,1,right,J. Jackson Jr. turnaround Jump Shot (2 PTS),[1628991],1610612763.0,MEM,turnaround,,,Jackson Jr.,J. Jackson Jr.,,,,,4.06,Made,,,,,2.0,,,,,,,,,,,,,,
12,PT11M09.00S,2022-04-08T01:11:47.9Z,1,REGULAR,stoppage,blood rule,[],0,,,1610612743,3,2,2022-04-08T01:11:47Z,120000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M09.00S,2022-04-08T01:13:25.4Z,1,REGULAR,substitution,out,[],203999,,,1610612743,3,2,2022-04-08T01:13:32Z,130000,,,0,,SUB out: N. Jokic,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT11M09.00S,2022-04-08T01:13:25.4Z,1,REGULAR,substitution,in,[],202326,,,1610612743,3,2,2022-04-08T01:13:32Z,140000,,,0,,SUB in: D. Cousins,[202326],1610612743.0,DEN,,,,Cousins,D. Cousins,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT10M57.00S,2022-04-08T01:14:10.7Z,1,REGULAR,3pt,Jump Shot,[],203115,30.56833114323259,28.186274509803923,1610612743,3,2,2022-04-08T01:14:16Z,150000,109.0,235.0,1,left,MISS W. Barton 25' 3PT,[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,25.89,Missed,,,,,,,,,,,,,,,,,,,
16,PT10M53.00S,2022-04-08T01:14:14.7Z,1,REGULAR,rebound,offensive,[],1628420,,,1610612743,3,2,2022-04-08T01:14:16Z,160000,,,0,,M. Morris REBOUND (Off:1 Def:1),[1628420],1610612743.0,DEN,,,,Morris,M. Morris,,,,,,,15.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
17,PT10M47.00S,2022-04-08T01:14:24.2Z,1,REGULAR,turnover,out-of-bounds,[],201145,,,1610612743,3,2,2022-04-08T01:14:34Z,170000,,,0,,J. Green step out-of-bounds TURNOVER (1 TO),[201145],1610612743.0,DEN,step,,,Green,J. Green,,,,,,,,,,,,,,,2002.0,1.0,,,,,,,,,
18,PT10M35.00S,2022-04-08T01:14:45.3Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628415,73.80091984231275,62.99019607843137,1610612763,3,4,2022-04-08T01:14:51Z,180000,65.0,194.0,1,right,D. Brooks 20' fadeaway Jump Shot (2 PTS),[1628415],1610612763.0,MEM,fadeaway,,,Brooks,D. Brooks,,,,,20.44,Made,,,,,2.0,,,,,,,,,,,,,,
19,PT10M20.00S,2022-04-08T01:15:02.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203115,8.09789750328515,45.588235294117645,1610612743,3,4,2022-04-08T01:16:01Z,190000,22.0,24.0,1,left,MISS W. Barton driving Layup,[203115],1610612743.0,DEN,driving,,,Barton,W. Barton,,,,,3.23,Missed,,,,,,,,,,,,,,,,,,,
20,PT10M19.00S,2022-04-08T01:15:03.4Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,3,4,2022-04-08T01:16:01Z,200000,,,0,,S. Adams REBOUND (Off:0 Def:1),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
