actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-01-22T02:11:13.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-22T02:11:13Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-01-22T02:11:17.0Z,1,REGULAR,jumpball,recovered,[],1629630,,,1610612763,0,0,2022-01-22T02:11:17Z,40000,,,0,,Jump Ball S. Adams vs. N. Jokic: Tip to J. Morant,"[1629630, 203500, 203999]",1610612763.0,MEM,startperiod,J. Morant,1629630.0,Morant,J. Morant,Adams,203500.0,Jokic,203999.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2022-01-22T02:11:31.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628991,86.28449408672799,56.61764705882353,1610612763,0,0,2022-01-22T02:11:52Z,70000,33.0,76.0,1,right,MISS J. Jackson Jr. 8' driving floating Shot - blocked,"[1628991, 201145]",1610612763.0,MEM,driving floating,,,Jackson Jr.,J. Jackson Jr.,,,,,8.33,Missed,Green,201145.0,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2022-01-22T02:11:31.7Z,1,REGULAR,block,,[],201145,,,1610612763,0,0,2022-01-22T02:11:33Z,80000,,,0,,J. Green BLOCK (1 BLK),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M38.00S,2022-01-22T02:11:33.7Z,1,REGULAR,rebound,offensive,[],1628991,,,1610612763,0,0,2022-01-22T02:11:39Z,90000,,,0,,J. Jackson Jr. REBOUND (Off:1 Def:0),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,
10,PT11M35.00S,2022-01-22T02:11:37.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629723,92.72339027595268,3.9215686274509802,1610612763,0,3,2022-01-22T02:11:42Z,100000,-230.0,16.0,1,right,J. Konchar 3PT  (3 PTS) (J. Jackson Jr. 1 AST),"[1629723, 1628991]",1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,23.09,Made,,,,,,,3.0,J. Jackson Jr.,1628991.0,1.0,,,,,,,,,
12,PT11M08.00S,2022-01-22T02:12:04.6Z,1,REGULAR,3pt,Jump Shot,[],203932,26.62614980289093,82.35294117647058,1610612743,0,3,2022-01-22T02:12:09Z,120000,-162.0,198.0,1,left,MISS A. Gordon 25' 3PT,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,25.55,Missed,,,,,,,,,,,,,,,,,,,
13,PT11M04.00S,2022-01-22T02:12:08.6Z,1,REGULAR,rebound,defensive,[],1630533,,,1610612763,0,3,2022-01-22T02:12:09Z,130000,,,0,,Z. Williams REBOUND (Off:0 Def:1),[1630533],1610612763.0,MEM,,,,Williams,Z. Williams,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,
14,PT10M58.00S,2022-01-22T02:12:13.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629630,91.67214191852825,45.588235294117645,1610612763,0,5,2022-01-22T02:13:55Z,140000,-22.0,26.0,1,right,J. Morant running finger roll Layup (2 PTS),[1629630],1610612763.0,MEM,running finger roll,,,Morant,J. Morant,,,,,3.4,Made,,,,,,,2.0,,,,,,,,,,,,
15,PT10M41.00S,2022-01-22T02:12:31.3Z,1,REGULAR,3pt,Jump Shot,[],203115,30.436925098554536,26.225490196078432,1610612743,3,5,2022-01-22T02:12:35Z,150000,119.0,234.0,1,left,W. Barton 26' 3PT  (3 PTS) (A. Gordon 1 AST),"[203115, 203932]",1610612743.0,DEN,,,,Barton,W. Barton,,,,,26.21,Made,,,,,,,3.0,A. Gordon,203932.0,1.0,,,,,,,,,
