actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value,jumpBallRecoverdPersonId
2,PT12M00.00S,2022-03-05T02:11:23.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-05T02:11:23Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2022-03-05T02:11:28.7Z,1,REGULAR,jumpball,recovered,[],0,,,1610612743,0,0,2022-03-05T02:11:28Z,40000,,,0,,Jump Ball D. Cousins vs. C. Wood: Tip to Team (DEN),"[202326, 1626174]",1610612743.0,DEN,startperiod,Team (DEN),Cousins,202326.0,Wood,1626174.0,,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2022-03-05T02:11:49.2Z,1,REGULAR,3pt,Jump Shot,[],202326,67.62483574244416,60.049019607843135,1610612743,3,0,2022-03-05T02:11:54Z,70000,50.0,252.0,1,right,D. Cousins 25' 3PT  (3 PTS) (J. Green 1 AST),"[202326, 201145]",1610612743.0,DEN,,,,,,,25.68,Made,3.0,Cousins,D. Cousins,J. Green,201145.0,1.0,,,,,,,,,,,,,,,,
9,PT11M24.00S,2022-03-05T02:12:11.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630256,7.835085413929041,37.745098039215684,1610612745,3,0,2022-03-05T02:12:16Z,90000,61.0,21.0,1,left,MISS J. Tate 6' turnaround Hook,[1630256],1610612745.0,HOU,turnaround,,,,,,6.48,Missed,,Tate,J. Tate,,,,,,,,,,,,,,,,,,,
10,PT11M22.00S,2022-03-05T02:12:13.9Z,1,REGULAR,rebound,defensive,[],202326,,,1610612743,3,0,2022-03-05T02:12:16Z,100000,,,0,,D. Cousins REBOUND (Off:0 Def:1),[202326],1610612743.0,DEN,,,,,,,,,,Cousins,D. Cousins,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,
11,PT11M16.00S,2022-03-05T02:12:19.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201145,92.59198423127464,56.61764705882353,1610612743,3,0,2022-03-05T02:12:30Z,110000,33.0,17.0,1,right,MISS J. Green driving finger roll Layup,[201145],1610612743.0,DEN,driving finger roll,,,,,,3.73,Missed,,Green,J. Green,,,,,,,,,,,,,,,,,,,
12,PT11M16.00S,2022-03-05T02:12:22.2Z,1,REGULAR,rebound,offensive,[],203932,,,1610612743,3,0,2022-03-05T02:12:22Z,120000,,,0,,A. Gordon REBOUND (Off:1 Def:0),[203932],1610612743.0,DEN,,,,,,,,,,Gordon,A. Gordon,,,,11.0,1.0,0.0,1.0,,,,,,,,,,,,
13,PT11M16.00S,2022-03-05T02:12:22.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203932,93.11760840998686,42.8921568627451,1610612743,5,0,2022-03-05T02:12:35Z,130000,-36.0,12.0,1,right,A. Gordon putback Layup (2 PTS),[203932],1610612743.0,DEN,putback,,,,,,3.75,Made,2.0,Gordon,A. Gordon,,,,,,,,,,,,,,,,,,,
14,PT11M16.00S,2022-03-05T02:12:26.6Z,1,REGULAR,foul,personal,['1freethrow'],1626174,,,1610612743,5,0,2022-03-05T02:12:44Z,140000,,,0,,C. Wood shooting personal FOUL (1 PF) (Gordon 1 FT),"[1626174, 203932]",1610612745.0,HOU,shooting,,,,,,,,,Wood,C. Wood,,,,,,,,201640.0,1.0,0.0,Gordon,203932.0,,,,,,,
16,PT11M16.00S,2022-03-05T02:12:55.6Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],203932,,,1610612743,5,0,2022-03-05T02:12:55Z,160000,,,0,,MISS A. Gordon Free Throw 1 of 1,[203932],1610612743.0,DEN,,,,,,,,Missed,,Gordon,A. Gordon,,,,,,,,,,,,,,,,,,,
17,PT11M13.00S,2022-03-05T02:12:57.6Z,1,REGULAR,rebound,defensive,[],1630256,,,1610612745,5,0,2022-03-05T02:12:57Z,170000,,,0,,J. Tate REBOUND (Off:0 Def:1),[1630256],1610612745.0,HOU,,,,,,,,,,Tate,J. Tate,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,
18,PT11M03.00S,2022-03-05T02:13:06.4Z,1,REGULAR,turnover,bad pass,[],201569,,,1610612745,5,0,2022-03-05T02:13:13Z,180000,,,0,,E. Gordon bad pass TURNOVER (1 TO),"[201569, 202326]",1610612745.0,HOU,,,,,,,,,,Gordon,E. Gordon,,,,,,,,,,,,,1.0,Cousins,202326.0,,,,
19,PT11M03.00S,2022-03-05T02:13:06.4Z,1,REGULAR,steal,,[],202326,,,1610612743,5,0,2022-03-05T02:13:49Z,190000,,,0,,D. Cousins STEAL (1 STL),[202326],1610612743.0,DEN,,,,,,,,,,Cousins,D. Cousins,,,,,,,,,,,,,,,,,,,
20,PT10M58.00S,2022-03-05T02:13:11.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",201145,93.9060446780552,51.71568627450981,1610612743,7,0,2022-03-05T02:13:32Z,200000,9.0,5.0,1,right,J. Green running DUNK (2 PTS) (A. Gordon 1 AST),"[201145, 203932]",1610612743.0,DEN,running,,,,,,0.98,Made,2.0,Green,J. Green,A. Gordon,203932.0,1.0,,,,,,,,,,,,,,,,
22,PT10M39.00S,2022-03-05T02:13:30.4Z,1,REGULAR,3pt,Jump Shot,[],201569,25.443495400788436,16.666666666666664,1610612745,7,3,2022-03-05T02:13:34Z,220000,167.0,187.0,1,left,E. Gordon 25' 3PT  (3 PTS) (C. Wood 1 AST),"[201569, 1626174]",1610612745.0,HOU,,,,,,,25.03,Made,3.0,Gordon,E. Gordon,C. Wood,1626174.0,1.0,,,,,,,,,,,,,,,,
24,PT10M17.00S,2022-03-05T02:13:51.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203932,86.5473061760841,59.31372549019608,1610612743,7,3,2022-03-05T02:13:55Z,240000,47.0,74.0,1,right,MISS A. Gordon 8' turnaround fadeaway Shot,[203932],1610612743.0,DEN,turnaround fadeaway,,,,,,8.75,Missed,,Gordon,A. Gordon,,,,,,,,,,,,,,,,,,,
25,PT10M16.00S,2022-03-05T02:13:52.8Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612745,7,3,2022-03-05T02:13:55Z,250000,,,0,,C. Wood REBOUND (Off:0 Def:1),[1626174],1610612745.0,HOU,,,,,,,,,,Wood,C. Wood,,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,
26,PT10M06.00S,2022-03-05T02:14:04.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,6.258212877792378,58.333333333333336,1610612745,7,5,2022-03-05T02:14:10Z,260000,-42.0,6.0,1,left,J. Green driving Layup (2 PTS) (C. Wood 2 AST),"[1630224, 1626174]",1610612745.0,HOU,driving,,,,,,4.22,Made,2.0,Green,J. Green,C. Wood,1626174.0,2.0,,,,,,,,,,,,,,,,
28,PT09M52.00S,2022-03-05T02:14:17.1Z,1,REGULAR,turnover,bad pass,[],202326,,,1610612743,7,5,2022-03-05T02:14:21Z,280000,,,0,,D. Cousins bad pass TURNOVER (1 TO),"[202326, 1629645]",1610612743.0,DEN,,,,,,,,,,Cousins,D. Cousins,,,,,,,,,,,,,1.0,Porter Jr.,1629645.0,,,,
29,PT09M52.00S,2022-03-05T02:14:17.1Z,1,REGULAR,steal,,[],1629645,,,1610612745,7,5,2022-03-05T02:14:19Z,290000,,,0,,K. Porter Jr. STEAL (1 STL),[1629645],1610612745.0,HOU,,,,,,,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,,,,,,,,
30,PT09M45.00S,2022-03-05T02:14:25.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201569,33.722076215505915,28.431372549019606,1610612745,7,8,2022-03-05T02:14:29Z,300000,108.0,264.0,1,left,E. Gordon 28' 3PT  (6 PTS) (J. Tate 1 AST),"[201569, 1630256]",1610612745.0,HOU,,,,,,,28.56,Made,6.0,Gordon,E. Gordon,J. Tate,1630256.0,1.0,,,,,,,,,,,,,,,,
32,PT09M23.00S,2022-03-05T02:14:46.3Z,1,REGULAR,3pt,Jump Shot,[],203932,91.5407358738502,96.81372549019608,1610612743,7,8,2022-03-05T02:14:49Z,320000,234.0,27.0,1,right,MISS A. Gordon 3PT,[203932],1610612743.0,DEN,,,,,,,23.57,Missed,,Gordon,A. Gordon,,,,,,,,,,,,,,,,,,,
33,PT09M22.00S,2022-03-05T02:14:47.3Z,1,REGULAR,rebound,defensive,[],1629645,,,1610612745,7,8,2022-03-05T02:14:49Z,330000,,,0,,K. Porter Jr. REBOUND (Off:0 Def:1),[1629645],1610612745.0,HOU,,,,,,,,,,Porter Jr.,K. Porter Jr.,,,,32.0,1.0,1.0,0.0,,,,,,,,,,,,
34,PT09M15.00S,2022-03-05T02:14:54.7Z,1,REGULAR,3pt,Jump Shot,[],1630256,28.465834428383708,80.3921568627451,1610612745,7,8,2022-03-05T02:15:00Z,340000,-152.0,215.0,1,left,MISS J. Tate 26' 3PT,[1630256],1610612745.0,HOU,,,,,,,26.34,Missed,,Tate,J. Tate,,,,,,,,,,,,,,,,,,,
35,PT09M11.00S,2022-03-05T02:14:58.7Z,1,REGULAR,rebound,defensive,[],203115,,,1610612743,7,8,2022-03-05T02:15:00Z,350000,,,0,,W. Barton REBOUND (Off:0 Def:1),[203115],1610612743.0,DEN,,,,,,,,,,Barton,W. Barton,,,,34.0,1.0,1.0,0.0,,,,,,,,,,,,
36,PT09M08.00S,2022-03-05T02:15:03.6Z,1,REGULAR,foul,personal,['2freethrow'],1630256,,,1610612743,7,8,2022-03-05T02:15:14Z,360000,,,0,,J. Tate shooting personal FOUL (1 PF) (Green 2 FT),"[1630256, 201145]",1610612745.0,HOU,shooting,,,,,,,,,Tate,J. Tate,,,,,,,,1626302.0,1.0,0.0,Green,201145.0,,,,,,,
38,PT09M08.00S,2022-03-05T02:15:32.1Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],201145,,,1610612743,8,8,2022-03-05T02:15:32Z,380000,,,0,,J. Green Free Throw 1 of 2 (3 PTS),[201145],1610612743.0,DEN,,,,,,,,Made,3.0,Green,J. Green,,,,,,,,,,,,,,,,,,,
39,PT09M08.00S,2022-03-05T02:15:54.6Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],201145,,,1610612743,9,8,2022-03-05T02:15:54Z,390000,,,0,,J. Green Free Throw 2 of 2 (4 PTS),[201145],1610612743.0,DEN,,,,,,,,Made,4.0,Green,J. Green,,,,,,,,,,,,,,,,,,,
40,PT08M47.00S,2022-03-05T02:16:26.7Z,1,REGULAR,foul,personal,[],202326,,,1610612745,9,8,2022-03-05T02:16:41Z,400000,,,0,,D. Cousins personal FOUL (1 PF),"[202326, 1626174]",1610612743.0,DEN,,,,,,,,,,Cousins,D. Cousins,,,,,,,,1626302.0,1.0,0.0,Wood,1626174.0,,,,,,,
42,PT08M36.00S,2022-03-05T02:16:57.5Z,1,REGULAR,2pt,Jump Shot,[],1630224,28.07161629434954,54.41176470588235,1610612745,9,8,2022-03-05T02:17:02Z,420000,-22.0,211.0,1,left,MISS J. Green 21' pullup Shot,[1630224],1610612745.0,HOU,pullup,,,,,,21.26,Missed,,Green,J. Green,,,,,,,,,,,,,,,,,,,
43,PT08M34.00S,2022-03-05T02:16:59.5Z,1,REGULAR,rebound,defensive,[],203115,,,1610612743,9,8,2022-03-05T02:17:02Z,430000,,,0,,W. Barton REBOUND (Off:0 Def:2),[203115],1610612743.0,DEN,,,,,,,,,,Barton,W. Barton,,,,42.0,2.0,2.0,0.0,,,,,,,,,,,,
44,PT08M28.00S,2022-03-05T02:17:06.9Z,1,REGULAR,3pt,Jump Shot,[],203115,70.38436268068331,77.69607843137256,1610612743,9,8,2022-03-05T02:17:15Z,440000,138.0,226.0,1,right,MISS W. Barton 26' 3PT,[203115],1610612743.0,DEN,,,,,,,26.5,Missed,,Barton,W. Barton,,,,,,,,,,,,,,,,,,,
45,PT08M24.00S,2022-03-05T02:17:10.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612745,9,8,2022-03-05T02:17:15Z,450000,,,0,,TEAM defensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,,,44.0,,,,,,,,,,,,,,,
47,PT08M24.00S,2022-03-05T02:17:19.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612745,9,8,2022-03-05T02:18:09Z,455000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT08M11.00S,2022-03-05T02:17:31.8Z,1,REGULAR,turnover,traveling,[],1629645,,,1610612745,9,8,2022-03-05T02:17:38Z,460000,,,0,,K. Porter Jr. traveling TURNOVER (1 TO),[1629645],1610612745.0,HOU,,,,,,,,,,Porter Jr.,K. Porter Jr.,,,,,,,,204059.0,,,,,1.0,,,,,,
48,PT07M51.00S,2022-03-05T02:18:07.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203115,93.64323258869908,57.84313725490197,1610612743,9,8,2022-03-05T02:18:17Z,470000,39.0,7.0,1,right,MISS W. Barton driving Layup,[203115],1610612743.0,DEN,driving,,,,,,3.99,Missed,,Barton,W. Barton,,,,,,,,,,,,,,,,,,,
49,PT07M49.00S,2022-03-05T02:18:09.1Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612745,9,8,2022-03-05T02:18:17Z,480000,,,0,,C. Wood REBOUND (Off:0 Def:2),[1626174],1610612745.0,HOU,,,,,,,,,,Wood,C. Wood,,,,48.0,2.0,2.0,0.0,,,,,,,,,,,,
