actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value,jumpBallRecoverdPersonId
2,PT12M00.00S,2021-11-06T21:11:04.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-06T21:11:04Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-11-06T21:11:10.7Z,1,REGULAR,jumpball,recovered,[],0,,,1610612745,0,0,2021-11-06T21:11:10Z,40000,,,0,,Jump Ball C. Wood vs. N. Jokic: Tip to Team (HOU),"[1626174, 203999]",1610612745.0,HOU,startperiod,Team (HOU),Wood,1626174.0,Jokic,203999.0,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M56.00S,2021-11-06T21:11:23.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612745,0,0,2021-11-06T21:12:06Z,65000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2021-11-06T21:11:36.8Z,1,REGULAR,3pt,Jump Shot,[],1630224,33.327858081471746,59.80392156862745,1610612745,0,0,2021-11-06T21:11:42Z,70000,-49.0,261.0,1,left,MISS J. Green 26' 3PT,[1630224],1610612745.0,HOU,,,,,,,26.54,Missed,Green,J. Green,,,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2021-11-06T21:11:40.8Z,1,REGULAR,rebound,offensive,[],1630256,,,1610612745,0,0,2021-11-06T21:11:42Z,80000,,,0,,J. Tate REBOUND (Off:1 Def:0),[1630256],1610612745.0,HOU,,,,,,,,,Tate,J. Tate,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,
9,PT11M26.00S,2021-11-06T21:11:49.8Z,1,REGULAR,turnover,lost ball,[],1626174,,,1610612745,0,0,2021-11-06T21:11:57Z,90000,,,0,,C. Wood lost ball TURNOVER (1 TO),"[1626174, 203115]",1610612745.0,HOU,,,,,,,,,Wood,C. Wood,,,,,1.0,Barton,203115.0,,,,,,,,,,,,,
10,PT11M26.00S,2021-11-06T21:11:49.8Z,1,REGULAR,steal,,[],203115,,,1610612743,0,0,2021-11-06T21:11:52Z,100000,,,0,,W. Barton STEAL (1 STL),[203115],1610612743.0,DEN,,,,,,,,,Barton,W. Barton,,,,,,,,,,,,,,,,,,,,
11,PT11M22.00S,2021-11-06T21:11:54.4Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",203115,76.82325886990802,11.76470588235294,1610612743,3,0,2021-11-06T21:12:10Z,110000,-191.0,165.0,1,right,W. Barton 25' 3PT pullup (3 PTS) (M. Morris 1 AST),"[203115, 1628420]",1610612743.0,DEN,pullup,,,,,,25.28,Made,Barton,W. Barton,,,,,,,,3.0,M. Morris,1628420.0,1.0,,,,,,,,,
14,PT11M04.00S,2021-11-06T21:12:13.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612745,3,0,2021-11-06T21:12:13Z,130000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT10M56.00S,2021-11-06T21:12:38.6Z,1,REGULAR,3pt,Jump Shot,[],1629645,29.25427069645204,23.03921568627451,1610612745,3,0,2021-11-06T21:12:44Z,140000,135.0,222.0,1,left,MISS K. Porter Jr. 26' step back 3PT - blocked,"[1629645, 203932]",1610612745.0,HOU,step back,,,,,,26.01,Missed,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,Gordon,203932.0,,,,,,,
16,PT10M56.00S,2021-11-06T21:12:38.6Z,1,REGULAR,block,,[],203932,,,1610612745,3,0,2021-11-06T21:12:41Z,150000,,,0,,A. Gordon BLOCK (1 BLK),[203932],1610612743.0,DEN,,,,,,,,,Gordon,A. Gordon,,,,,,,,,,,,,,,,,,,,
17,PT10M53.00S,2021-11-06T21:12:41.6Z,1,REGULAR,rebound,defensive,[],1628420,,,1610612743,3,0,2021-11-06T21:12:44Z,160000,,,0,,M. Morris REBOUND (Off:0 Def:1),[1628420],1610612743.0,DEN,,,,,,,,,Morris,M. Morris,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,
18,PT10M45.00S,2021-11-06T21:12:49.3Z,1,REGULAR,3pt,Jump Shot,[],203115,71.96123521681997,78.43137254901961,1610612743,3,0,2021-11-06T21:12:54Z,170000,142.0,211.0,1,right,MISS W. Barton 25' 3PT,[203115],1610612743.0,DEN,,,,,,,25.45,Missed,Barton,W. Barton,,,,,,,,,,,,,,,,,,,,
19,PT10M42.00S,2021-11-06T21:12:52.3Z,1,REGULAR,rebound,defensive,[],1630256,,,1610612745,3,0,2021-11-06T21:12:54Z,180000,,,0,,J. Tate REBOUND (Off:1 Def:1),[1630256],1610612745.0,HOU,,,,,,,,,Tate,J. Tate,18.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,
20,PT10M20.00S,2021-11-06T21:13:15.0Z,1,REGULAR,3pt,Jump Shot,[],1630224,33.459264126149804,53.92156862745098,1610612745,3,0,2021-11-06T21:13:22Z,190000,-20.0,262.0,1,left,MISS J. Green 26' 3PT - blocked,"[1630224, 203115]",1610612745.0,HOU,,,,,,,26.27,Missed,Green,J. Green,,,,,,,,,,,,Barton,203115.0,,,,,,,
21,PT10M20.00S,2021-11-06T21:13:15.0Z,1,REGULAR,block,,[],203115,,,1610612745,3,0,2021-11-06T21:13:18Z,200000,,,0,,W. Barton BLOCK (1 BLK),[203115],1610612743.0,DEN,,,,,,,,,Barton,W. Barton,,,,,,,,,,,,,,,,,,,,
22,PT10M16.00S,2021-11-06T21:13:19.0Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,3,0,2021-11-06T21:13:22Z,210000,,,0,,M. Porter Jr. REBOUND (Off:0 Def:1),[1629008],1610612743.0,DEN,,,,,,,,,Porter Jr.,M. Porter Jr.,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,
23,PT10M13.00S,2021-11-06T21:13:22.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628420,92.32917214191852,44.11764705882353,1610612743,3,0,2021-11-06T21:13:31Z,220000,-29.0,20.0,1,right,MISS M. Morris running Layup - blocked,"[1628420, 1630256]",1610612743.0,DEN,running,,,,,,3.53,Missed,Morris,M. Morris,,,,,,,,,,,,Tate,1630256.0,,,,,,,
24,PT10M13.00S,2021-11-06T21:13:22.2Z,1,REGULAR,block,,[],1630256,,,1610612743,3,0,2021-11-06T21:13:25Z,230000,,,0,,J. Tate BLOCK (1 BLK),[1630256],1610612745.0,HOU,,,,,,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,,,
25,PT10M08.00S,2021-11-06T21:13:27.2Z,1,REGULAR,rebound,defensive,[],1630256,,,1610612745,3,0,2021-11-06T21:13:31Z,240000,,,0,,J. Tate REBOUND (Off:1 Def:2),[1630256],1610612745.0,HOU,,,,,,,,,Tate,J. Tate,23.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,
26,PT10M08.00S,2021-11-06T21:13:30.1Z,1,REGULAR,turnover,traveling,[],1630256,,,1610612745,3,0,2021-11-06T21:13:40Z,250000,,,0,,J. Tate traveling TURNOVER (1 TO),[1630256],1610612745.0,HOU,,,,,,,,,Tate,J. Tate,,,,,1.0,,,,,,,,,1628172.0,,,,,,
27,PT10M04.00S,2021-11-06T21:13:40.7Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",203932,91.14651773981603,4.901960784313726,1610612743,6,0,2021-11-06T21:13:47Z,260000,-225.0,31.0,1,right,A. Gordon 3PT  (3 PTS) (W. Barton 1 AST),"[203932, 203115]",1610612743.0,DEN,,,,,,,22.76,Made,Gordon,A. Gordon,,,,,,,,3.0,W. Barton,203115.0,1.0,,,,,,,,,
29,PT09M44.00S,2021-11-06T21:14:00.2Z,1,REGULAR,turnover,lost ball,[],1630224,,,1610612745,6,0,2021-11-06T21:14:06Z,280000,,,0,,J. Green lost ball TURNOVER (1 TO),"[1630224, 203999]",1610612745.0,HOU,,,,,,,,,Green,J. Green,,,,,1.0,Jokic,203999.0,,,,,,,,,,,,,
30,PT09M44.00S,2021-11-06T21:14:00.2Z,1,REGULAR,steal,,[],203999,,,1610612743,6,0,2021-11-06T21:14:03Z,290000,,,0,,N. Jokic STEAL (1 STL),[203999],1610612743.0,DEN,,,,,,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,,
31,PT09M33.00S,2021-11-06T21:14:11.2Z,1,REGULAR,turnover,bad pass,[],203999,,,1610612743,6,0,2021-11-06T21:14:24Z,300000,,,0,,N. Jokic bad pass TURNOVER (1 TO),"[203999, 1626174]",1610612743.0,DEN,,,,,,,,,Jokic,N. Jokic,,,,,1.0,Wood,1626174.0,,,,,,,,,,,,,
32,PT09M33.00S,2021-11-06T21:14:11.2Z,1,REGULAR,steal,,[],1626174,,,1610612745,6,0,2021-11-06T21:14:12Z,310000,,,0,,C. Wood STEAL (1 STL),[1626174],1610612745.0,HOU,,,,,,,,,Wood,C. Wood,,,,,,,,,,,,,,,,,,,,
