actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-12-24T02:10:46.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-24T02:10:46Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-12-24T02:10:48.5Z,1,REGULAR,jumpball,recovered,[],1628427,,,1610612743,0,0,2021-12-24T02:10:48Z,40000,,,0,,Jump Ball N. Jokic vs. M. Plumlee: Tip to V. Cancar,"[1628427, 203999, 203486]",1610612743.0,DEN,startperiod,V. Cancar,1628427.0,Cancar,V. Cancar,Jokic,203999.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2021-12-24T02:11:05.3Z,1,REGULAR,foul,personal,[],203486,,,1610612743,0,0,2021-12-24T02:11:14Z,70000,,,0,,M. Plumlee personal FOUL (1 PF),"[203486, 203999]",1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,202026.0,1.0,0.0,Jokic,203999.0,,,,,,,,,,,,,,,
9,PT11M34.00S,2021-12-24T02:11:26.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,80.1084099868594,53.67647058823529,1610612743,0,0,2021-12-24T02:11:35Z,90000,18.0,134.0,1,right,MISS N. Jokic 13' Jump Shot,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,13.58,Missed,,,,,,,,,,,,,
10,PT11M31.00S,2021-12-24T02:11:29.0Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,0,0,2021-12-24T02:11:35Z,100000,,,0,,L. Ball REBOUND (Off:0 Def:1),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,
11,PT11M18.00S,2021-12-24T02:11:41.3Z,1,REGULAR,3pt,Jump Shot,[],1630163,30.305519053876477,76.7156862745098,1610612766,0,3,2021-12-24T02:11:53Z,110000,-134.0,232.0,1,left,L. Ball 26' 3PT  (3 PTS) (G. Hayward 1 AST),"[1630163, 202330]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,26.81,Made,,,,,3.0,G. Hayward,202330.0,1.0,,,,,
13,PT10M59.00S,2021-12-24T02:12:03.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612743,0,3,2021-12-24T02:12:03Z,130000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT10M54.00S,2021-12-24T02:12:20.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,83.26215505913272,46.568627450980394,1610612743,2,3,2021-12-24T02:12:27Z,140000,-17.0,105.0,1,right,N. Jokic 10' turnaround Jump Shot (2 PTS),[203999],1610612743.0,DEN,turnaround,,,Jokic,N. Jokic,,,,,,,,,,10.62,Made,,,,,2.0,,,,,,,,
15,PT10M36.00S,2021-12-24T02:12:39.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626179,8.492115637319317,44.36274509803921,1610612766,2,5,2021-12-24T02:12:45Z,150000,28.0,27.0,1,left,T. Rozier driving finger roll Layup (2 PTS) (L. Ball 1 AST),"[1626179, 1630163]",1610612766.0,CHA,driving finger roll,,,Rozier,T. Rozier,,,,,,,,,,3.92,Made,,,,,2.0,L. Ball,1630163.0,1.0,,,,,
16,PT10M19.00S,2021-12-24T02:12:55.7Z,1,REGULAR,2pt,Jump Shot,[],203999,89.96386333771353,26.96078431372549,1610612743,2,5,2021-12-24T02:13:02Z,160000,-115.0,42.0,1,right,MISS N. Jokic 12' Jump Shot,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,12.25,Missed,,,,,,,,,,,,,
