actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-10-23T01:14:38.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-23T01:14:38Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2021-10-23T01:14:40.4Z,1,REGULAR,jumpball,recovered,[],203932,,,1610612743,0,0,2021-10-23T01:14:40Z,40000,,,0,,Jump Ball N. Jokic vs. J. Poeltl: Tip to A. Gordon,"[203932, 203999, 1627751]",1610612743.0,DEN,startperiod,A. Gordon,203932.0,Gordon,A. Gordon,Jokic,203999.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2021-10-23T01:14:54.1Z,1,REGULAR,3pt,Jump Shot,[],203115,92.59198423127464,3.431372549019608,1610612743,3,0,2021-10-23T01:14:59Z,70000,-233.0,17.0,1,right,W. Barton 3PT  (3 PTS) (N. Jokic 1 AST),"[203115, 203999]",1610612743.0,DEN,,,,Barton,W. Barton,,,,,23.34,Made,3.0,N. Jokic,203999.0,1.0,,,,,,,,,,,,,,
9,PT11M27.00S,2021-10-23T01:15:10.6Z,1,REGULAR,2pt,Jump Shot,[],1627749,22.683968462549277,63.725490196078425,1610612759,3,0,2021-10-23T01:15:16Z,90000,-69.0,161.0,1,left,MISS D. Murray 17' pullup Shot,[1627749],1610612759.0,SAS,pullup,,,Murray,D. Murray,,,,,17.47,Missed,,,,,,,,,,,,,,,,,,
10,PT11M24.00S,2021-10-23T01:15:13.6Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,3,0,2021-10-23T01:15:16Z,100000,,,0,,A. Gordon REBOUND (Off:0 Def:1),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M17.00S,2021-10-23T01:15:20.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203932,91.27792378449409,57.84313725490197,1610612743,3,0,2021-10-23T01:16:08Z,110000,39.0,29.0,1,right,MISS A. Gordon driving Layup,[203932],1610612743.0,DEN,driving,,,Gordon,A. Gordon,,,,,4.91,Missed,,,,,,,,,,,,,,,,,,
12,PT11M15.00S,2021-10-23T01:15:22.5Z,1,REGULAR,rebound,defensive,[],203926,,,1610612759,3,0,2021-10-23T01:15:28Z,120000,,,0,,D. McDermott REBOUND (Off:0 Def:1),[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT11M11.00S,2021-10-23T01:15:27.9Z,1,REGULAR,turnover,out-of-bounds,[],1627749,,,1610612759,3,0,2021-10-23T01:15:37Z,130000,,,0,,D. Murray bad pass out-of-bounds TURNOVER (1 TO),[1627749],1610612759.0,SAS,bad pass,,,Murray,D. Murray,,,,,,,,,,,,,,,200834.0,1.0,,,,,,,,
14,PT10M49.00S,2021-10-23T01:15:56.5Z,1,REGULAR,turnover,bad pass,[],203932,,,1610612743,3,0,2021-10-23T01:16:01Z,140000,,,0,,A. Gordon bad pass TURNOVER (1 TO),"[203932, 1627751]",1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,,,,,,1.0,Poeltl,1627751.0,,,,,,
15,PT10M49.00S,2021-10-23T01:15:56.5Z,1,REGULAR,steal,,[],1627751,,,1610612759,3,0,2021-10-23T01:15:58Z,150000,,,0,,J. Poeltl STEAL (1 STL),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,
16,PT10M42.00S,2021-10-23T01:16:03.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1629640,23.866622864651774,49.01960784313725,1610612759,3,2,2021-10-23T01:16:09Z,160000,5.0,172.0,1,left,K. Johnson 17' pullup Jump Shot (2 PTS),[1629640],1610612759.0,SAS,pullup,,,Johnson,K. Johnson,,,,,17.19,Made,2.0,,,,,,,,,,,,,,,,,
17,PT10M19.00S,2021-10-23T01:16:26.5Z,1,REGULAR,2pt,Jump Shot,[],1629008,83.919185282523,16.42156862745098,1610612743,3,2,2021-10-23T01:16:31Z,170000,-168.0,99.0,1,right,MISS M. Porter Jr. 19' fadeaway Shot,[1629008],1610612743.0,DEN,fadeaway,,,Porter Jr.,M. Porter Jr.,,,,,19.48,Missed,,,,,,,,,,,,,,,,,,
18,PT10M17.00S,2021-10-23T01:16:28.5Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,3,2,2021-10-23T01:16:31Z,180000,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,
19,PT10M08.00S,2021-10-23T01:16:37.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629640,13.61695137976347,50.73529411764706,1610612759,3,4,2021-10-23T01:16:43Z,190000,-4.0,75.0,1,left,K. Johnson 7' driving floating Jump Shot (4 PTS) (D. White 1 AST),"[1629640, 1628401]",1610612759.0,SAS,driving floating,,,Johnson,K. Johnson,,,,,7.56,Made,4.0,D. White,1628401.0,1.0,,,,,,,,,,,,,,
21,PT10M01.00S,2021-10-23T01:16:48.2Z,1,REGULAR,foul,personal,['2freethrow'],1627751,,,1610612743,3,4,2021-10-23T01:17:06Z,210000,,,0,,J. Poeltl shooting personal FOUL (1 PF) (Jokic 2 FT),"[1627751, 203999]",1610612759.0,SAS,shooting,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,200834.0,,,,1.0,0.0,Jokic,203999.0,,
23,PT10M01.00S,2021-10-23T01:17:09.7Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],203999,,,1610612743,4,4,2021-10-23T01:17:09Z,230000,,,0,,N. Jokic Free Throw 1 of 2 (1 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
24,PT10M01.00S,2021-10-23T01:17:26.1Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],203999,,,1610612743,5,4,2021-10-23T01:17:26Z,240000,,,0,,N. Jokic Free Throw 2 of 2 (2 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
25,PT09M54.00S,2021-10-23T01:17:39.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629640,6.258212877792378,60.29411764705882,1610612759,5,6,2021-10-23T01:17:55Z,250000,-51.0,6.0,1,left,K. Johnson driving Layup (6 PTS) (D. Murray 1 AST),"[1629640, 1627749]",1610612759.0,SAS,driving,,,Johnson,K. Johnson,,,,,5.19,Made,6.0,D. Murray,1627749.0,1.0,,,,,,,,,,,,,,
26,PT09M54.00S,2021-10-23T01:17:41.6Z,1,REGULAR,foul,personal,['1freethrow'],1629008,,,1610612759,5,6,2021-10-23T01:17:49Z,260000,,,0,,M. Porter Jr. shooting personal FOUL (1 PF) (Johnson 1 FT),"[1629008, 1629640]",1610612743.0,DEN,shooting,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,200834.0,,,,1.0,0.0,Johnson,1629640.0,,
28,PT09M54.00S,2021-10-23T01:17:58.4Z,1,REGULAR,freethrow,1 of 1,[],1629640,,,1610612759,5,7,2021-10-23T01:17:58Z,280000,,,0,,K. Johnson Free Throw 1 of 1 (7 PTS),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
29,PT09M47.00S,2021-10-23T01:18:09.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,5,7,2021-10-23T01:18:09Z,290000,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,PT09M36.00S,2021-10-23T01:21:10.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203999,89.17542706964521,53.67647058823529,1610612743,5,7,2021-10-23T01:21:14Z,300000,18.0,49.0,1,right,MISS N. Jokic turnaround Hook,[203999],1610612743.0,DEN,turnaround,,,Jokic,N. Jokic,,,,,5.26,Missed,,,,,,,,,,,,,,,,,,
31,PT09M34.00S,2021-10-23T01:21:12.6Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,5,7,2021-10-23T01:21:14Z,310000,,,0,,J. Poeltl REBOUND (Off:0 Def:2),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,30.0,2.0,2.0,0.0,,,,,,,,,,
32,PT09M22.00S,2021-10-23T01:21:26.0Z,1,REGULAR,foul,personal,[],1628420,,,1610612759,5,7,2021-10-23T01:21:34Z,320000,,,0,,M. Morris personal FOUL (1 PF),"[1628420, 1628401]",1610612743.0,DEN,,,,Morris,M. Morris,,,,,,,,,,,,,,,2882.0,,,,1.0,0.0,White,1628401.0,,
34,PT09M13.00S,2021-10-23T01:21:58.8Z,1,REGULAR,turnover,bad pass,[],1627749,,,1610612759,5,7,2021-10-23T01:22:06Z,340000,,,0,,D. Murray bad pass TURNOVER (2 TO),"[1627749, 1628420]",1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,,,,,,,,,2.0,Morris,1628420.0,,,,,,
35,PT09M13.00S,2021-10-23T01:21:58.8Z,1,REGULAR,steal,,[],1628420,,,1610612743,5,7,2021-10-23T01:25:24Z,350000,,,0,,M. Morris STEAL (1 STL),[1628420],1610612743.0,DEN,,,,Morris,M. Morris,,,,,,,,,,,,,,,,,,,,,,,,
36,PT09M08.00S,2021-10-23T01:22:04.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203115,94.43166885676742,56.372549019607845,1610612743,5,7,2021-10-23T01:22:15Z,360000,32.0,0.0,1,right,MISS W. Barton running Layup,[203115],1610612743.0,DEN,running,,,Barton,W. Barton,,,,,3.19,Missed,,,,,,,,,,,,,,,,,,
37,PT09M08.00S,2021-10-23T01:22:04.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612743,5,7,2021-10-23T01:22:15Z,370000,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,
38,PT09M08.00S,2021-10-23T01:22:08.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612743,5,7,2021-10-23T01:22:08Z,380000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
