actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-11-13T02:10:54.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-13T02:10:54Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2021-11-13T02:10:56.3Z,1,REGULAR,jumpball,recovered,[],1628420,,,1610612743,0,0,2021-11-13T02:10:56Z,40000,,,0,,Jump Ball N. Jokic vs. C. Capela: Tip to M. Morris,"[1628420, 203999, 203991]",1610612743.0,DEN,startperiod,M. Morris,1628420.0,Morris,M. Morris,Jokic,203999.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2021-11-13T02:11:14.9Z,1,REGULAR,3pt,Jump Shot,[],203999,71.17279894875165,77.94117647058823,1610612743,0,0,2021-11-13T02:11:19Z,70000,140.0,218.0,1,right,MISS N. Jokic 25' 3PT,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,25.93,Missed,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2021-11-13T02:11:17.9Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,0,0,2021-11-13T02:11:19Z,80000,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M17.00S,2021-11-13T02:11:36.4Z,1,REGULAR,turnover,lost ball,[],203992,,,1610612737,0,0,2021-11-13T02:12:05Z,90000,,,0,,B. Bogdanovic lost ball TURNOVER (1 TO),"[203992, 203932]",1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,1.0,Gordon,203932.0,,,,,,,,,,,
10,PT11M17.00S,2021-11-13T02:11:36.4Z,1,REGULAR,steal,,[],203932,,,1610612743,0,0,2021-11-13T02:11:38Z,100000,,,0,,A. Gordon STEAL (1 STL),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M14.00S,2021-11-13T02:11:42.0Z,1,REGULAR,foul,personal,['2freethrow'],203992,,,1610612743,0,0,2021-11-13T02:11:52Z,110000,,,0,,B. Bogdanovic shooting personal FOUL (1 PF) (Gordon 2 FT),"[203992, 203932]",1610612737.0,ATL,shooting,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,1626300.0,1.0,0.0,Gordon,203932.0,,,,,,
13,PT11M14.00S,2021-11-13T02:12:06.7Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",203932,,,1610612743,1,0,2021-11-13T02:12:06Z,130000,,,0,,A. Gordon Free Throw 1 of 2 (1 PTS),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,Made,,,,,,,,,,,,,1.0,,,,,
14,PT11M14.00S,2021-11-13T02:12:23.2Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",203932,,,1610612743,2,0,2021-11-13T02:12:23Z,140000,,,0,,A. Gordon Free Throw 2 of 2 (2 PTS),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,Made,,,,,,,,,,,,,2.0,,,,,
15,PT11M01.00S,2021-11-13T02:12:39.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203991,5.863994743758213,58.08823529411765,1610612737,2,2,2021-11-13T02:12:49Z,150000,-40.0,3.0,1,left,C. Capela Hook (2 PTS) (B. Bogdanovic 1 AST),"[203991, 203992]",1610612737.0,ATL,,,,Capela,C. Capela,,,,,4.05,Made,,,,,,,,,,,,,2.0,B. Bogdanovic,203992.0,1.0,,
17,PT10M50.00S,2021-11-13T02:12:50.4Z,1,REGULAR,2pt,Jump Shot,[],1628420,75.3777923784494,44.85294117647059,1610612743,2,2,2021-11-13T02:12:57Z,170000,-26.0,179.0,1,right,MISS M. Morris 18' pullup Shot,[1628420],1610612743.0,DEN,pullup,,,Morris,M. Morris,,,,,18.07,Missed,,,,,,,,,,,,,,,,,,
18,PT10M47.00S,2021-11-13T02:12:53.4Z,1,REGULAR,rebound,defensive,[],1629027,,,1610612737,2,2,2021-11-13T02:12:57Z,180000,,,0,,T. Young REBOUND (Off:0 Def:1),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,
19,PT10M42.00S,2021-11-13T02:12:58.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",203991,6.258212877792378,54.65686274509803,1610612737,2,4,2021-11-13T02:13:06Z,190000,-23.0,6.0,1,left,C. Capela running alley-oop DUNK (4 PTS) (T. Young 1 AST),"[203991, 1629027]",1610612737.0,ATL,running alley-oop,,,Capela,C. Capela,,,,,2.41,Made,,,,,,,,,,,,,4.0,T. Young,1629027.0,1.0,,
21,PT10M14.00S,2021-11-13T02:13:26.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,92.59198423127464,47.794117647058826,1610612743,4,4,2021-11-13T02:13:31Z,210000,-11.0,17.0,1,right,N. Jokic driving Layup (2 PTS),[203999],1610612743.0,DEN,driving,,,Jokic,N. Jokic,,,,,2.03,Made,,,,,,,,,,,,,2.0,,,,,
22,PT09M48.00S,2021-11-13T02:13:52.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629631,15.456636005256241,45.83333333333333,1610612737,4,4,2021-11-13T02:14:02Z,220000,21.0,93.0,1,left,MISS D. Hunter 9' Jump Shot,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,9.51,Missed,,,,,,,,,,,,,,,,,,
23,PT09M45.00S,2021-11-13T02:13:55.5Z,1,REGULAR,rebound,defensive,[],201145,,,1610612743,4,4,2021-11-13T02:14:02Z,230000,,,0,,J. Green REBOUND (Off:0 Def:1),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,,
24,PT09M25.00S,2021-11-13T02:14:14.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203115,92.85479632063075,55.63725490196079,1610612743,4,4,2021-11-13T02:14:23Z,240000,28.0,15.0,1,right,MISS W. Barton driving Layup,[203115],1610612743.0,DEN,driving,,,Barton,W. Barton,,,,,3.18,Missed,,,,,,,,,,,,,,,,,,
25,PT09M21.00S,2021-11-13T02:14:18.9Z,1,REGULAR,rebound,offensive,[],203999,,,1610612743,4,4,2021-11-13T02:14:23Z,250000,,,0,,N. Jokic REBOUND (Off:1 Def:0),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,24.0,1.0,0.0,1.0,,,,,,,,,,,,,,
26,PT09M21.00S,2021-11-13T02:14:19.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203999,94.40999984741211,50.0,1610612743,6,4,2021-11-13T02:14:19Z,260000,0.0,0.0,1,right,N. Jokic tip Layup (4 PTS),[203999],1610612743.0,DEN,tip,,,Jokic,N. Jokic,,,,,0.0,Made,,,,,,,,,,,,,4.0,,,,,
27,PT08M58.00S,2021-11-13T02:14:42.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203992,4.944152431011826,45.83333333333333,1610612737,6,6,2021-11-13T02:14:47Z,270000,21.0,-6.0,1,left,B. Bogdanovic driving reverse Layup (2 PTS),[203992],1610612737.0,ATL,driving reverse,,,Bogdanovic,B. Bogdanovic,,,,,2.16,Made,,,,,,,,,,,,,2.0,,,,,
