actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2021-11-19T02:10:50.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-19T02:10:50Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2021-11-19T02:10:52.2Z,1,REGULAR,jumpball,recovered,[],1630178,,,1610612755,0,0,2021-11-19T02:10:52Z,40000,,,0,,Jump Ball A. Drummond vs. N. Jokic: Tip to T. Maxey,"[1630178, 203083, 203999]",1610612755.0,PHI,startperiod,T. Maxey,1630178.0,Maxey,T. Maxey,Drummond,203083.0,Jokic,203999.0,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2021-11-19T02:11:13.1Z,1,REGULAR,2pt,Jump Shot,[],1630178,8.492115637319317,76.22549019607843,1610612755,0,0,2021-11-19T02:11:36Z,70000,-131.0,27.0,1,left,MISS T. Maxey 13' driving floating Shot,[1630178],1610612755.0,PHI,driving floating,,,Maxey,T. Maxey,,,,,13.39,Missed,,,,,,,,,,,,,,,,,,
8,PT11M33.00S,2021-11-19T02:11:16.1Z,1,REGULAR,rebound,defensive,[],1628420,,,1610612743,0,0,2021-11-19T02:11:30Z,80000,,,0,,M. Morris REBOUND (Off:0 Def:1),[1628420],1610612743.0,DEN,,,,Morris,M. Morris,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M26.00S,2021-11-19T02:11:23.5Z,1,REGULAR,3pt,Jump Shot,[],203115,94.43166885676742,3.1862745098039214,1610612743,3,0,2021-11-19T02:12:07Z,90000,-234.0,0.0,1,right,W. Barton 3PT running (3 PTS) (M. Morris 1 AST),"[203115, 1628420]",1610612743.0,DEN,running,,,Barton,W. Barton,,,,,23.41,Made,,,,,3.0,M. Morris,1628420.0,1.0,,,,,,,,,,
12,PT11M09.00S,2021-11-19T02:11:40.7Z,1,REGULAR,3pt,Jump Shot,[],203552,28.597240473061763,22.54901960784314,1610612755,3,0,2021-11-19T02:11:49Z,110000,137.0,216.0,1,left,MISS S. Curry 25' pullup 3PT,[203552],1610612755.0,PHI,pullup,,,Curry,S. Curry,,,,,25.62,Missed,,,,,,,,,,,,,,,,,,
13,PT11M09.00S,2021-11-19T02:11:40.7Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,3,0,2021-11-19T02:11:49Z,120000,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT11M00.00S,2021-11-19T02:11:49.1Z,1,REGULAR,2pt,Jump Shot,[],203932,86.94152431011827,27.696078431372552,1610612743,3,0,2021-11-19T02:12:02Z,130000,-112.0,70.0,1,right,MISS A. Gordon 13' fadeaway Shot,[203932],1610612743.0,DEN,fadeaway,,,Gordon,A. Gordon,,,,,13.18,Missed,,,,,,,,,,,,,,,,,,
15,PT10M58.00S,2021-11-19T02:11:51.1Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,3,0,2021-11-19T02:12:02Z,140000,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT10M52.00S,2021-11-19T02:11:56.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627777,6.915243101182654,56.372549019607845,1610612755,3,2,2021-11-19T02:12:19Z,150000,-32.0,13.0,1,left,G. Niang running reverse Layup (2 PTS) (T. Harris 1 AST),"[1627777, 202699]",1610612755.0,PHI,running reverse,,,Niang,G. Niang,,,,,3.43,Made,,,,,2.0,T. Harris,202699.0,1.0,,,,,,,,,,
