actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-03-13T02:10:46.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-13T02:10:46Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-03-13T02:10:49.1Z,1,REGULAR,jumpball,recovered,[],201145,,,1610612743,0,0,2022-03-13T02:10:49Z,40000,,,0,,Jump Ball N. Jokic vs. S. Barnes: Tip to J. Green,"[201145, 203999, 1630567]",1610612743.0,DEN,startperiod,J. Green,201145.0,Green,J. Green,Jokic,203999.0,Barnes,1630567.0,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2022-03-13T02:11:06.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,83.919185282523,48.28431372549019,1610612743,2,0,2022-03-13T02:11:20Z,70000,-9.0,99.0,1,right,N. Jokic 9' turnaround Jump Shot (2 PTS) (M. Morris 1 AST),"[203999, 1628420]",1610612743.0,DEN,turnaround,,,Jokic,N. Jokic,,,,,9.91,Made,2.0,M. Morris,1628420.0,1.0,,,,,,,,,,,,,,
9,PT11M22.00S,2022-03-13T02:11:24.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,15.325229960578188,46.32352941176471,1610612761,2,0,2022-03-13T02:11:33Z,90000,18.0,92.0,1,left,MISS P. Siakam 9' fadeaway Shot,[1627783],1610612761.0,TOR,fadeaway,,,Siakam,P. Siakam,,,,,9.34,Missed,,,,,,,,,,,,,,,,,,
10,PT11M19.00S,2022-03-13T02:11:27.0Z,1,REGULAR,rebound,defensive,[],201145,,,1610612743,2,0,2022-03-13T02:11:33Z,100000,,,0,,J. Green REBOUND (Off:0 Def:1),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M09.00S,2022-03-13T02:11:36.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,87.86136662286465,56.86274509803921,1610612743,4,0,2022-03-13T02:11:47Z,110000,34.0,62.0,1,right,N. Jokic 7' driving floating Jump Shot (4 PTS),[203999],1610612743.0,DEN,driving floating,,,Jokic,N. Jokic,,,,,7.05,Made,4.0,,,,,,,,,,,,,,,,,
12,PT10M44.00S,2022-03-13T02:12:01.7Z,1,REGULAR,3pt,Jump Shot,[],1627783,14.668199737187912,3.431372549019608,1610612761,4,3,2022-03-13T02:12:15Z,120000,233.0,85.0,1,left,P. Siakam 24' 3PT  (3 PTS) (A. Brooks 1 AST),"[1627783, 1629717]",1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,24.8,Made,3.0,A. Brooks,1629717.0,1.0,,,,,,,,,,,,,,
14,PT10M23.00S,2022-03-13T02:12:22.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203115,92.9862023653088,44.85294117647059,1610612743,4,3,2022-03-13T02:12:32Z,140000,-26.0,13.0,1,right,MISS W. Barton driving Layup,[203115],1610612743.0,DEN,driving,,,Barton,W. Barton,,,,,2.9,Missed,,,,,,,,,,,,,,,,,,
15,PT10M20.00S,2022-03-13T02:12:25.7Z,1,REGULAR,rebound,defensive,[],1629717,,,1610612761,4,3,2022-03-13T02:12:32Z,150000,,,0,,A. Brooks REBOUND (Off:0 Def:1),[1629717],1610612761.0,TOR,,,,Brooks,A. Brooks,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,
16,PT10M16.00S,2022-03-13T02:12:29.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629018,12.959921156373195,61.274509803921575,1610612761,4,3,2022-03-13T02:13:20Z,160000,-56.0,69.0,1,left,MISS G. Trent Jr. 8' driving floating Shot,[1629018],1610612761.0,TOR,driving floating,,,Trent Jr.,G. Trent Jr.,,,,,8.94,Missed,,,,,,,,,,,,,,,,,,
