actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value,jumpBallRecoverdPersonId
2,PT12M00.00S,2022-04-06T01:10:41.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-06T01:10:41Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-04-06T01:10:48.7Z,1,REGULAR,jumpball,recovered,[],0,,,1610612743,0,0,2022-04-06T01:10:48Z,40000,,,0,,Jump Ball N. Jokic vs. J. Poeltl: Tip to Team (DEN),"[203999, 1627751]",1610612743.0,DEN,startperiod,Team (DEN),Jokic,203999.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-04-06T01:11:07.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,93.11760840998686,42.15686274509804,1610612743,2,0,2022-04-06T01:11:11Z,70000,-39.0,12.0,1,right,N. Jokic Layup (2 PTS) (A. Gordon 1 AST),"[203999, 203932]",1610612743.0,DEN,,,,,,,4.11,Made,2.0,Jokic,N. Jokic,A. Gordon,203932.0,1.0,,,,,,,,,,,,,,,,
9,PT11M23.00S,2022-04-06T01:11:27.2Z,1,REGULAR,2pt,Jump Shot,[],1627751,6.389618922470433,70.83333333333334,1610612759,2,2,2022-04-06T01:11:36Z,90000,-104.0,8.0,1,left,J. Poeltl 10' floating Jump Shot (2 PTS) (T. Jones 1 AST),"[1627751, 1630200]",1610612759.0,SAS,floating,,,,,,10.45,Made,2.0,Poeltl,J. Poeltl,T. Jones,1630200.0,1.0,,,,,,,,,,,,,,,,
11,PT11M11.00S,2022-04-06T01:11:43.0Z,1,REGULAR,foul,personal,[],1627751,,,1610612743,2,2,2022-04-06T01:12:08Z,110000,,,0,,J. Poeltl personal FOUL (1 PF),"[1627751, 203999]",1610612759.0,SAS,,,,,,,,,,Poeltl,J. Poeltl,,,,1204.0,1.0,0.0,Jokic,203999.0,,,,,,,,,,,
13,PT10M58.00S,2022-04-06T01:12:06.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,93.24901445466492,54.90196078431373,1610612743,2,2,2022-04-06T01:12:14Z,130000,25.0,11.0,1,right,MISS N. Jokic driving Layup,[203999],1610612743.0,DEN,driving,,,,,,2.69,Missed,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,
14,PT10M56.00S,2022-04-06T01:12:08.4Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,2,2,2022-04-06T01:12:14Z,140000,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612759.0,SAS,,,,,,,,,,Poeltl,J. Poeltl,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,
15,PT10M45.00S,2022-04-06T01:12:19.1Z,1,REGULAR,turnover,bad pass,[],1630563,,,1610612759,2,2,2022-04-06T01:12:25Z,150000,,,0,,J. Primo bad pass TURNOVER (1 TO),"[1630563, 203999]",1610612759.0,SAS,,,,,,,,,,Primo,J. Primo,,,,,,,,,,,,,1.0,Jokic,203999.0,,,,
16,PT10M45.00S,2022-04-06T01:12:19.1Z,1,REGULAR,steal,,[],203999,,,1610612743,2,2,2022-04-06T01:12:20Z,160000,,,0,,N. Jokic STEAL (1 STL),[203999],1610612743.0,DEN,,,,,,,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,
17,PT10M32.00S,2022-04-06T01:12:33.6Z,1,REGULAR,foul,personal,['2freethrow'],1627751,,,1610612743,2,2,2022-04-06T01:12:40Z,170000,,,0,,J. Poeltl shooting personal FOUL (2 PF) (Jokic 2 FT),"[1627751, 203999]",1610612759.0,SAS,shooting,,,,,,,,,Poeltl,J. Poeltl,,,,202027.0,2.0,0.0,Jokic,203999.0,,,,,,,,,,,
19,PT10M32.00S,2022-04-06T01:13:00.2Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],203999,,,1610612743,3,2,2022-04-06T01:13:00Z,190000,,,0,,N. Jokic Free Throw 1 of 2 (3 PTS),[203999],1610612743.0,DEN,,,,,,,,Made,3.0,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,
20,PT10M32.00S,2022-04-06T01:13:01.6Z,1,REGULAR,substitution,out,[],1627751,,,1610612743,3,2,2022-04-06T01:13:06Z,200000,,,0,,SUB out: J. Poeltl,[1627751],1610612759.0,SAS,,,,,,,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,
21,PT10M32.00S,2022-04-06T01:13:01.6Z,1,REGULAR,substitution,in,[],1628380,,,1610612743,3,2,2022-04-06T01:13:06Z,210000,,,0,,SUB in: Z. Collins,[1628380],1610612759.0,SAS,,,,,,,,,,Collins,Z. Collins,,,,,,,,,,,,,,,,,,,
22,PT10M32.00S,2022-04-06T01:13:18.9Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],203999,,,1610612743,4,2,2022-04-06T01:13:18Z,220000,,,0,,N. Jokic Free Throw 2 of 2 (4 PTS),[203999],1610612743.0,DEN,,,,,,,,Made,4.0,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,
23,PT10M15.00S,2022-04-06T01:13:36.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630563,6.521024967148489,57.35294117647059,1610612759,4,2,2022-04-06T01:13:43Z,230000,-37.0,9.0,1,left,MISS J. Primo reverse Layup,[1630563],1610612759.0,SAS,reverse,,,,,,3.78,Missed,,Primo,J. Primo,,,,,,,,,,,,,,,,,,,
24,PT10M14.00S,2022-04-06T01:13:37.5Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,4,2,2022-04-06T01:13:43Z,240000,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,,,,,,,Jokic,N. Jokic,,,,,,,,,23.0,1.0,1.0,0.0,,,,,,,
25,PT10M10.00S,2022-04-06T01:13:42.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203115,91.93495400788436,96.07843137254902,1610612743,4,2,2022-04-06T01:13:47Z,250000,230.0,23.0,1,right,MISS W. Barton 3PT,[203115],1610612743.0,DEN,,,,,,,23.16,Missed,,Barton,W. Barton,,,,,,,,,,,,,,,,,,,
26,PT10M06.00S,2022-04-06T01:13:46.1Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,4,2,2022-04-06T01:13:47Z,260000,,,0,,K. Johnson REBOUND (Off:0 Def:1),[1629640],1610612759.0,SAS,,,,,,,,,,Johnson,K. Johnson,,,,,,,,,25.0,1.0,1.0,0.0,,,,,,,
27,PT10M00.00S,2022-04-06T01:13:51.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629640,12.434296977660972,45.83333333333333,1610612759,4,2,2022-04-06T01:13:59Z,270000,21.0,64.0,1,left,MISS K. Johnson 6' driving floating Shot,[1629640],1610612759.0,SAS,driving floating,,,,,,6.77,Missed,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,
28,PT09M57.00S,2022-04-06T01:13:54.4Z,1,REGULAR,rebound,defensive,[],203115,,,1610612743,4,2,2022-04-06T01:13:59Z,280000,,,0,,W. Barton REBOUND (Off:0 Def:1),[203115],1610612743.0,DEN,,,,,,,,,,Barton,W. Barton,,,,,,,,,27.0,1.0,1.0,0.0,,,,,,,
29,PT09M48.00S,2022-04-06T01:14:02.9Z,1,REGULAR,3pt,Jump Shot,[],203932,81.553876478318,93.13725490196079,1610612743,4,2,2022-04-06T01:14:07Z,290000,216.0,121.0,1,right,MISS A. Gordon 24' 3PT,[203932],1610612743.0,DEN,,,,,,,24.73,Missed,,Gordon,A. Gordon,,,,,,,,,,,,,,,,,,,
30,PT09M46.00S,2022-04-06T01:14:04.9Z,1,REGULAR,rebound,defensive,[],1630170,,,1610612759,4,2,2022-04-06T01:14:07Z,300000,,,0,,D. Vassell REBOUND (Off:0 Def:1),[1630170],1610612759.0,SAS,,,,,,,,,,Vassell,D. Vassell,,,,,,,,,29.0,1.0,1.0,0.0,,,,,,,
