actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-02-09T02:10:45.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-09T02:10:45Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-02-09T02:10:47.5Z,1,REGULAR,jumpball,recovered,[],201145,,,1610612743,0,0,2022-02-09T02:10:47Z,40000,,,0,,Jump Ball N. Jokic vs. T. Gibson: Tip to J. Green,"[201145, 203999, 201959]",1610612743.0,DEN,startperiod,J. Green,201145.0,Green,J. Green,Jokic,203999.0,Gibson,201959.0,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-02-09T02:11:03.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201145,91.40932982917214,45.588235294117645,1610612743,0,0,2022-02-09T02:11:08Z,70000,-22.0,28.0,1,right,MISS J. Green cutting finger roll Layup,[201145],1610612743.0,DEN,cutting finger roll,,,Green,J. Green,,,,,3.59,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2022-02-09T02:11:05.2Z,1,REGULAR,rebound,defensive,[],201959,,,1610612752,0,0,2022-02-09T02:11:08Z,80000,,,0,,T. Gibson REBOUND (Off:0 Def:1),[201959],1610612752.0,NYK,,,,Gibson,T. Gibson,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M33.00S,2022-02-09T02:11:11.4Z,1,REGULAR,2pt,Jump Shot,[],203944,8.754927726675426,82.35294117647058,1610612752,0,2,2022-02-09T02:11:16Z,90000,-162.0,30.0,1,left,J. Randle 16' Jump Shot (2 PTS),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,16.45,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M13.00S,2022-02-09T02:11:31.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203115,92.19776609724047,49.26470588235294,1610612743,2,2,2022-02-09T02:11:36Z,100000,-4.0,21.0,1,right,W. Barton driving Layup (2 PTS) (N. Jokic 1 AST),"[203115, 203999]",1610612743.0,DEN,driving,,,Barton,W. Barton,,,,,2.11,Made,,,,,2.0,N. Jokic,203999.0,1.0,,,,,,,,,,
12,PT10M58.00S,2022-02-09T02:11:45.6Z,1,REGULAR,3pt,Jump Shot,[],203944,26.888961892247043,82.1078431372549,1610612752,2,2,2022-02-09T02:11:50Z,120000,-161.0,200.0,1,left,MISS J. Randle 25' 3PT,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,25.67,Missed,,,,,,,,,,,,,,,,,,
13,PT10M56.00S,2022-02-09T02:11:47.6Z,1,REGULAR,rebound,offensive,[],203944,,,1610612752,2,2,2022-02-09T02:11:50Z,130000,,,0,,J. Randle REBOUND (Off:1 Def:0),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,12.0,1.0,0.0,1.0,,,,,,,,,,,,,,
14,PT10M49.00S,2022-02-09T02:11:55.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202689,32.933639947437584,49.01960784313725,1610612752,2,2,2022-02-09T02:12:01Z,140000,5.0,257.0,1,left,MISS K. Walker 25' pullup 3PT,[202689],1610612752.0,NYK,pullup,,,Walker,K. Walker,,,,,25.71,Missed,,,,,,,,,,,,,,,,,,
15,PT10M46.00S,2022-02-09T02:11:58.5Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,2,2,2022-02-09T02:12:01Z,150000,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT10M43.00S,2022-02-09T02:12:01.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",203932,93.11760840998686,51.71568627450981,1610612743,4,2,2022-02-09T02:12:06Z,160000,9.0,12.0,1,right,A. Gordon running DUNK (2 PTS) (N. Jokic 2 AST),"[203932, 203999]",1610612743.0,DEN,running,,,Gordon,A. Gordon,,,,,1.49,Made,,,,,2.0,N. Jokic,203999.0,2.0,,,,,,,,,,
18,PT10M28.00S,2022-02-09T02:12:16.0Z,1,REGULAR,3pt,Jump Shot,[],203095,32.013797634691194,43.13725490196079,1610612752,4,5,2022-02-09T02:12:21Z,180000,34.0,248.0,1,left,E. Fournier 25' 3PT  (3 PTS) (J. Randle 1 AST),"[203095, 203944]",1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,25.08,Made,,,,,3.0,J. Randle,203944.0,1.0,,,,,,,,,,
20,PT10M09.00S,2022-02-09T02:12:35.4Z,1,REGULAR,3pt,Jump Shot,[],1628420,69.46452036793693,29.411764705882355,1610612743,4,5,2022-02-09T02:12:39Z,200000,-103.0,235.0,1,right,MISS M. Morris 25' 3PT,[1628420],1610612743.0,DEN,,,,Morris,M. Morris,,,,,25.61,Missed,,,,,,,,,,,,,,,,,,
