actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-04-04T23:10:28.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-04-04T23:10:28Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2025-04-04T23:10:32.8Z,1,REGULAR,jumpball,recovered,[],1631165,,,1610612758,0,0,2025-04-04T23:10:32Z,40000,False,,,0,,Jump Ball D. Sabonis vs. J. Nurkić: Tip to K. Ellis,"[1631165, 1627734, 203994]",1610612758.0,SAC,startperiod,K. Ellis,1631165.0,Ellis,K. Ellis,Sabonis,1627734.0,Nurkić,203994.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2025-04-04T23:10:45.2Z,1,REGULAR,3pt,Jump Shot,[],203897,29.517082785808146,75.49019607843137,1610612758,0,0,2025-04-04T23:10:50Z,70000,False,-127.0,225.0,1,left,MISS Z. LaVine 25' 3PT,[203897],1610612758.0,SAC,,,,LaVine,Z. LaVine,,,,,Above the Break 3,24+ Left Center,25.86,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2025-04-04T23:10:47.2Z,1,REGULAR,rebound,defensive,[],203552,,,1610612766,0,0,2025-04-04T23:10:50Z,80000,False,,,0,,S. Curry REBOUND (Off:0 Def:1),[203552],1610612766.0,CHA,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M35.00S,2025-04-04T23:10:51.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203552,94.56307490144546,52.20588235294118,1610612766,2,0,2025-04-04T23:10:58Z,90000,False,11.0,-1.0,1,right,S. Curry running Layup (2 PTS),[203552],1610612766.0,CHA,running,,,Curry,S. Curry,,,,,Restricted Area,0-8 Center,1.11,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M25.00S,2025-04-04T23:11:05.2Z,1,REGULAR,turnover,traveling,[],201942,,,1610612758,2,0,2025-04-04T23:11:25Z,100000,False,,,0,,D. DeRozan traveling TURNOVER (1 TO),[201942],1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,Above the Break 3,24+ Left Center,,,,,,,,1627963.0,1.0,,,,,,,,,,,
11,PT11M05.00S,2025-04-04T23:11:40.7Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",203994,92.9862023653088,47.05882352941176,1610612766,2,0,2025-04-04T23:11:44Z,110000,False,-15.0,13.0,1,right,MISS J. Nurkić Hook,[203994],1610612766.0,CHA,,,,Nurkić,J. Nurkić,,,,,Restricted Area,0-8 Center,1.99,Missed,,,,,,,,,,,,,,,,,,
12,PT11M03.00S,2025-04-04T23:11:42.7Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,2,0,2025-04-04T23:11:44Z,120000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT10M58.00S,2025-04-04T23:11:47.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1627734,6.915243101182654,50.0,1610612758,2,2,2025-04-04T23:12:05Z,130000,False,0.0,13.0,1,left,D. Sabonis running DUNK (2 PTS),[1627734],1610612758.0,SAC,running,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,1.25,Made,,,,,2.0,,,,,,,,,,,,,
14,PT10M36.00S,2025-04-04T23:12:14.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628970,91.40932982917214,48.77450980392157,1610612766,4,2,2025-04-04T23:12:25Z,140000,False,-6.0,28.0,1,right,M. Bridges driving finger roll Layup (2 PTS) (J. Nurkić 1 AST),"[1628970, 203994]",1610612766.0,CHA,driving finger roll,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,2.89,Made,,,,,2.0,,,J. Nurkić,203994.0,1.0,,,,,,,,
