actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-11-29T17:10:47.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-29T17:10:47Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-11-29T17:10:49.3Z,1,REGULAR,jumpball,recovered,[],1628404,,,1610612752,0,0,2024-11-29T17:10:49Z,40000,False,,,0,,Jump Ball K. Towns vs. M. Diabaté: Tip to J. Hart,"[1628404, 1626157, 1631217]",1610612752.0,NYK,startperiod,J. Hart,1628404.0,Hart,J. Hart,Towns,1626157.0,Diabaté,1631217.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M33.00S,2024-11-29T17:11:13.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626157,12.959921156373195,49.01960784313725,1610612752,0,2,2024-11-29T17:11:40Z,70000,False,5.0,69.0,1,left,K. Towns 6' turnaround Hook (2 PTS),[1626157],1610612752.0,NYK,turnaround,,,Towns,K. Towns,,,,,In The Paint (Non-RA),0-8 Center,6.95,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M09.00S,2024-11-29T17:11:40.4Z,1,REGULAR,3pt,Jump Shot,[],1642275,67.09921156373193,18.627450980392158,1610612766,0,2,2024-11-29T17:12:32Z,80000,False,-157.0,257.0,1,right,MISS T. Salaün 30' step back 3PT,[1642275],1610612766.0,CHA,step back,,,Salaün,T. Salaün,,,,,Above the Break 3,24+ Left Center,30.09,Missed,,,,,,,,,,,,,,,,,,
9,PT11M08.00S,2024-11-29T17:11:41.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612766,0,2,2024-11-29T17:12:17Z,90000,False,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,Above the Break 3,24+ Left Center,,,,8.0,,,,,,,,,,,,,,,,
10,PT11M08.00S,2024-11-29T17:11:45.0Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612766,0,2,2024-11-29T17:11:53Z,100000,False,,,0,,CHA shot clock Team TURNOVER,[],1610612766.0,CHA,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,1627534.0,,,,,,,,,,,,,,,
11,PT10M43.00S,2024-11-29T17:12:18.3Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612752,0,2,2024-11-29T17:12:27Z,110000,False,,,0,,NYK shot clock Team TURNOVER,[],1610612752.0,NYK,,,,,,,,,,Restricted Area,0-8 Center,,,,,2003.0,,,,,,,,,,,,,,,
12,PT10M25.00S,2024-11-29T17:12:46.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1642275,92.06636005256242,3.431372549019608,1610612766,3,2,2024-11-29T17:12:50Z,120000,False,-233.0,22.0,1,right,T. Salaün 3PT  (3 PTS) (J. Green 1 AST),"[1642275, 1630182]",1610612766.0,CHA,,,,Salaün,T. Salaün,,,,,Left Corner 3,24+ Left,23.38,Made,3.0,,,J. Green,1630182.0,1.0,,,,,,,,,,,,
14,PT10M08.00S,2024-11-29T17:13:06.6Z,1,REGULAR,foul,personal,['2freethrow'],203995,,,1610612752,3,2,2024-11-29T17:13:34Z,140000,False,,,0,,V. Micić shooting personal FOUL (1 PF) (Brunson 2 FT),"[203995, 1628973]",1610612766.0,CHA,shooting,,,Micić,V. Micić,,,,,Mid-Range,16-24 Left Center,,,,,2003.0,,,,1.0,0.0,Brunson,1628973.0,,,,,,,,
16,PT10M08.00S,2024-11-29T17:13:40.7Z,1,REGULAR,freethrow,1 of 2,[],1628973,,,1610612752,3,2,2024-11-29T17:13:40Z,160000,False,,,0,,MISS J. Brunson Free Throw 1 of 2,[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
17,PT10M08.00S,2024-11-29T17:13:40.7Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612752,3,2,2024-11-29T17:13:40Z,170000,False,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,
18,PT10M08.00S,2024-11-29T17:13:59.1Z,1,REGULAR,freethrow,2 of 2,[],1628973,,,1610612752,3,3,2024-11-29T17:13:59Z,180000,False,,,0,,J. Brunson Free Throw 2 of 2 (1 PTS),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
19,PT09M48.00S,2024-11-29T17:14:21.2Z,1,REGULAR,2pt,Jump Shot,[],1630182,74.98357424441524,41.66666666666667,1610612766,5,3,2024-11-29T17:14:39Z,190000,False,-42.0,183.0,1,right,J. Green 18' pullup Jump Shot (2 PTS) (B. Miller 1 AST),"[1630182, 1641706]",1610612766.0,CHA,pullup,,,Green,J. Green,,,,,Mid-Range,16-24 Center,18.74,Made,2.0,,,B. Miller,1641706.0,1.0,,,,,,,,,,,,
21,PT09M22.00S,2024-11-29T17:14:50.2Z,1,REGULAR,3pt,Jump Shot,[],1628384,39.50394218134034,62.99019607843137,1610612752,5,3,2024-11-29T17:15:39Z,210000,False,-65.0,319.0,1,left,MISS O. Anunoby 32' bank 3PT,[1628384],1610612752.0,NYK,bank,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Center,32.54,Missed,,,,,,,,,,,,,,,,,,
22,PT09M21.00S,2024-11-29T17:14:51.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612752,5,3,2024-11-29T17:15:24Z,220000,False,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,Above the Break 3,24+ Center,,,,21.0,,,,,,,,,,,,,,,,
23,PT09M21.00S,2024-11-29T17:14:55.5Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612752,5,3,2024-11-29T17:15:03Z,230000,False,,,0,,NYK shot clock Team TURNOVER,[],1610612752.0,NYK,,,,,,,,,,Above the Break 3,24+ Center,,,,,1628954.0,,,,,,,,,,,,,,,
24,PT09M02.00S,2024-11-29T17:15:24.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1631217,89.56964520367937,47.794117647058826,1610612766,7,3,2024-11-29T17:16:07Z,240000,False,-11.0,46.0,1,right,M. Diabaté cutting Layup (2 PTS) (V. Micić 1 AST),"[1631217, 203995]",1610612766.0,CHA,cutting,,,Diabaté,M. Diabaté,,,,,In The Paint (Non-RA),0-8 Center,4.68,Made,2.0,,,V. Micić,203995.0,1.0,,,,,,,,,,,,
26,PT08M49.00S,2024-11-29T17:15:40.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,16.245072273324574,58.333333333333336,1610612752,7,5,2024-11-29T17:16:25Z,260000,False,-42.0,100.0,1,left,J. Brunson 10' driving floating Jump Shot (3 PTS),[1628973],1610612752.0,NYK,driving floating,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),8-16 Center,10.85,Made,3.0,,,,,,,,,,,,,,,,,
27,PT08M29.00S,2024-11-29T17:15:59.5Z,1,REGULAR,3pt,Jump Shot,[],1641706,68.28186596583443,66.91176470588235,1610612766,7,5,2024-11-29T17:17:12Z,270000,False,85.0,246.0,1,right,MISS B. Miller 25' pullup 3PT,[1641706],1610612766.0,CHA,pullup,,,Miller,B. Miller,,,,,Above the Break 3,24+ Right Center,25.99,Missed,,,,,,,,,,,,,,,,,,
28,PT08M26.00S,2024-11-29T17:16:02.5Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,7,5,2024-11-29T17:17:12Z,280000,False,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Right Center,,,,27.0,,,,,,,,,1.0,1.0,0.0,,,,,
