actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,shotResult,pointsTotal,area,areaDetail,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-11-30T23:10:33.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-30T23:10:33Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-11-30T23:10:37.6Z,1,REGULAR,jumpball,recovered,[],1630182,,,1610612766,0,0,2024-11-30T23:10:37Z,40000,False,,,0,,Jump Ball M. Diabaté vs. C. Capela: Tip to J. Green,"[1630182, 1631217, 203991]",1610612766.0,CHA,startperiod,J. Green,1630182.0,Green,J. Green,Diabaté,1631217.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2024-11-30T23:10:54.7Z,1,REGULAR,foul,technical,['1freethrow'],203991,,,1610612766,0,0,2024-11-30T23:11:03Z,70000,False,,,0,,C. Capela defensive-3-second technical FOUL (1 Tech),[203991],1610612737.0,ATL,defensive-3-second,,,Capela,C. Capela,,,,,1626300.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2024-11-30T23:11:12.8Z,1,REGULAR,freethrow,1 of 1,[],1641706,,,1610612766,1,0,2024-11-30T23:11:12Z,80000,False,,,0,,B. Miller technical Free Throw 1 of 1 (1 PTS),[1641706],1610612766.0,CHA,technical,,,Miller,B. Miller,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
9,PT11M35.00S,2024-11-30T23:11:38.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203995,82.47371879106439,50.0,1610612766,1,0,2024-11-30T23:12:02Z,90000,False,0.0,112.0,1,right,MISS V. Micić 11' floating Shot,[203995],1610612766.0,CHA,floating,,,Micić,V. Micić,,,,,,,,Missed,,In The Paint (Non-RA),8-16 Center,11.22,,,,,,,,,,,,,,
10,PT11M33.00S,2024-11-30T23:11:40.7Z,1,REGULAR,rebound,offensive,[],203995,,,1610612766,1,0,2024-11-30T23:12:02Z,100000,False,,,0,,V. Micić REBOUND (Off:1 Def:0),[203995],1610612766.0,CHA,,,,Micić,V. Micić,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,9.0,1.0,0.0,1.0,,,,,,,,,,
11,PT11M30.00S,2024-11-30T23:11:43.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630182,86.41590013140605,96.07843137254902,1610612766,4,0,2024-11-30T23:12:20Z,110000,False,230.0,75.0,1,right,J. Green 24' 3PT pullup (3 PTS) (V. Micić 1 AST),"[1630182, 203995]",1610612766.0,CHA,pullup,,,Green,J. Green,,,,,,,,Made,3.0,Right Corner 3,24+ Right,24.24,,,,,V. Micić,203995.0,1.0,,,,,,,
13,PT11M06.00S,2024-11-30T23:12:06.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642258,6.258212877792378,48.28431372549019,1610612737,4,2,2024-11-30T23:12:11Z,130000,False,9.0,6.0,1,left,Z. Risacher cutting Layup (2 PTS) (D. Daniels 1 AST),"[1642258, 1630700]",1610612737.0,ATL,cutting,,,Risacher,Z. Risacher,,,,,,,,Made,2.0,Restricted Area,0-8 Center,1.07,,,,,D. Daniels,1630700.0,1.0,,,,,,,
15,PT10M47.00S,2024-11-30T23:12:27.4Z,1,REGULAR,3pt,Jump Shot,[],1641706,87.33574244415243,97.05882352941177,1610612766,4,2,2024-11-30T23:13:18Z,150000,False,235.0,67.0,1,right,MISS B. Miller 24' 3PT,[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,,,,Missed,,Right Corner 3,24+ Right,24.45,,,,,,,,,,,,,,
16,PT10M45.00S,2024-11-30T23:12:29.4Z,1,REGULAR,rebound,offensive,[],1631217,,,1610612766,4,2,2024-11-30T23:13:18Z,160000,False,,,0,,M. Diabaté REBOUND (Off:1 Def:0),[1631217],1610612766.0,CHA,,,,Diabaté,M. Diabaté,,,,,,,,,,Right Corner 3,24+ Right,,15.0,1.0,0.0,1.0,,,,,,,,,,
