actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-01-26T00:10:18.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-26T00:10:18Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-01-26T00:10:20.8Z,1,REGULAR,jumpball,recovered,[],203468,,,1610612740,0,0,2025-01-26T00:10:20Z,40000,False,,,0,,Jump Ball Y. Missi vs. T. Gibson: Tip to C. McCollum,"[203468, 1642274, 201959]",1610612740.0,NOP,startperiod,C. McCollum,203468.0,McCollum,C. McCollum,Missi,1642274.0,Gibson,201959.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2025-01-26T00:10:36.6Z,1,REGULAR,turnover,out-of-bounds,[],1629627,,,1610612740,0,0,2025-01-26T00:11:09Z,70000,False,,,0,,Z. Williamson bad pass out-of-bounds TURNOVER (1 TO),[1629627],1610612740.0,NOP,bad pass,,,Williamson,Z. Williamson,,,,,In The Paint (Non-RA),8-16 Right,1627541.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M30.00S,2025-01-26T00:11:02.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628970,8.623521681997373,95.58823529411765,1610612766,0,0,2025-01-26T00:11:41Z,80000,False,-228.0,29.0,1,left,MISS M. Bridges 3PT - blocked,"[1628970, 1629627]",1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Left Corner 3,24+ Left,,,22.97,Missed,Williamson,1629627.0,,,,,,,,,,,,,,
9,PT11M30.00S,2025-01-26T00:11:02.1Z,1,REGULAR,block,,[],1629627,,,1610612766,0,0,2025-01-26T00:11:04Z,90000,False,,,0,,Z. Williamson BLOCK (1 BLK),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,,,,,,,,
10,PT11M28.00S,2025-01-26T00:11:04.1Z,1,REGULAR,rebound,defensive,[],1642274,,,1610612740,0,0,2025-01-26T00:11:41Z,100000,False,,,0,,Y. Missi REBOUND (Off:0 Def:1),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,Left Corner 3,24+ Left,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M16.00S,2025-01-26T00:11:14.8Z,1,REGULAR,2pt,Jump Shot,[],203468,76.21550591327201,50.09957107843137,1610612740,0,0,2025-01-26T00:12:04Z,110000,False,0.0,171.0,1,right,MISS C. McCollum 17' driving floating Shot,[203468],1610612740.0,NOP,driving floating,,,McCollum,C. McCollum,,,,,Mid-Range,16-24 Center,,,17.11,Missed,,,,,,,,,,,,,,,,
12,PT11M15.00S,2025-01-26T00:11:15.8Z,1,REGULAR,rebound,defensive,[],201959,,,1610612766,0,0,2025-01-26T00:12:04Z,120000,False,,,0,,T. Gibson REBOUND (Off:0 Def:1),[201959],1610612766.0,CHA,,,,Gibson,T. Gibson,,,,,Mid-Range,16-24 Center,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT11M09.00S,2025-01-26T00:11:22.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630163,30.798291721419176,10.784313725490193,1610612766,0,0,2025-01-26T00:12:33Z,130000,False,196.0,237.0,1,left,MISS L. Ball 30' running 3PT,[1630163],1610612766.0,CHA,running,,,Ball,L. Ball,,,,,Above the Break 3,24+ Right Center,,,30.76,Missed,,,,,,,,,,,,,,,,
14,PT11M05.00S,2025-01-26T00:11:26.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612740,0,0,2025-01-26T00:12:33Z,140000,False,,,0,,TEAM defensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,13.0,,,,,,,,,,,,,
15,PT11M05.00S,2025-01-26T00:11:28.4Z,1,REGULAR,foul,personal,[],201959,,,1610612740,0,0,2025-01-26T00:12:48Z,150000,False,,,0,,T. Gibson loose ball personal FOUL (1 PF),"[201959, 1642274]",1610612766.0,CHA,loose ball,,,Gibson,T. Gibson,,,,,In The Paint (Non-RA),0-8 Center,1627519.0,,,,,,,,,,1.0,0.0,Missi,1642274.0,,,,,,
17,PT10M54.00S,2025-01-26T00:11:53.6Z,1,REGULAR,3pt,Jump Shot,[],1641722,87.77923784494087,96.54564950980392,1610612740,0,0,2025-01-26T00:13:16Z,170000,False,233.0,62.0,1,right,MISS J. Hawkins 24' 3PT,[1641722],1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,Right Corner 3,24+ Right,,,24.09,Missed,,,,,,,,,,,,,,,,
18,PT10M51.00S,2025-01-26T00:11:56.6Z,1,REGULAR,rebound,defensive,[],201959,,,1610612766,0,0,2025-01-26T00:13:16Z,180000,False,,,0,,T. Gibson REBOUND (Off:0 Def:2),[201959],1610612766.0,CHA,,,,Gibson,T. Gibson,,,,,Right Corner 3,24+ Right,,,,,,,17.0,2.0,2.0,0.0,,,,,,,,,,
19,PT10M42.00S,2025-01-26T00:12:17.5Z,1,REGULAR,foul,personal,[],1629627,,,1610612766,0,0,2025-01-26T00:13:33Z,190000,False,,,0,,Z. Williamson personal FOUL (1 PF),"[1629627, 1630163]",1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Mid-Range,8-16 Left,202058.0,,,,,,,,,,1.0,0.0,Ball,1630163.0,,,,,,
21,PT10M38.00S,2025-01-26T00:12:31.3Z,1,REGULAR,2pt,Jump Shot,[],201959,20.893561103810782,54.47303921568628,1610612766,0,0,2025-01-26T00:14:05Z,210000,False,-22.0,144.0,1,left,MISS T. Gibson 14' bank Shot,[201959],1610612766.0,CHA,bank,,,Gibson,T. Gibson,,,,,Mid-Range,8-16 Center,,,14.56,Missed,,,,,,,,,,,,,,,,
22,PT10M36.00S,2025-01-26T00:12:33.3Z,1,REGULAR,rebound,offensive,[],1628970,,,1610612766,0,0,2025-01-26T00:14:05Z,220000,False,,,0,,M. Bridges REBOUND (Off:1 Def:0),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Mid-Range,8-16 Center,,,,,,,21.0,1.0,0.0,1.0,,,,,,,,,,
23,PT10M35.00S,2025-01-26T00:12:35.4Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1628970,6.964520367936927,42.25643382352941,1610612766,2,0,2025-01-26T00:14:26Z,230000,False,39.0,13.0,1,left,M. Bridges tip Layup (2 PTS),[1628970],1610612766.0,CHA,tip,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,,,4.08,Made,,,,,,,,,,,2.0,,,,,
