actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-01-08T00:10:28.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-08T00:10:28Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-01-08T00:10:32.4Z,1,REGULAR,jumpball,recovered,[],1630163,,,1610612766,0,0,2025-01-08T00:10:32Z,40000,False,,,0,,Jump Ball M. Williams vs. M. Plumlee: Tip to L. Ball,"[1630163, 1631109, 203486]",1610612766.0,CHA,startperiod,L. Ball,1630163.0,Ball,L. Ball,Williams,1631109.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2025-01-08T00:10:49.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631109,7.966491458607096,50.0,1610612766,0,0,2025-01-08T00:10:54Z,70000,False,0.0,22.0,1,left,MISS M. Williams Layup,[1631109],1610612766.0,CHA,,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,2.24,Missed,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2025-01-08T00:10:49.8Z,1,REGULAR,rebound,offensive,[],1631109,,,1610612766,0,0,2025-01-08T00:11:37Z,80000,False,,,0,,M. Williams REBOUND (Off:1 Def:0),[1631109],1610612766.0,CHA,,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M37.00S,2025-01-08T00:10:53.9Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1631109,5.590000152587891,50.0,1610612766,0,0,2025-01-08T00:11:29Z,90000,False,0.0,0.0,1,left,MISS M. Williams tip Layup,[1631109],1610612766.0,CHA,tip,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
10,PT11M36.00S,2025-01-08T00:10:54.9Z,1,REGULAR,rebound,defensive,[],1642346,,,1610612756,0,0,2025-01-08T00:11:29Z,100000,False,,,0,,R. Dunn REBOUND (Off:0 Def:1),[1642346],1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,Restricted Area,0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M23.00S,2025-01-08T00:11:11.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'defensivegoaltending']",1626164,92.59198423127464,49.26470588235294,1610612756,0,2,2025-01-08T00:12:49Z,120000,False,-4.0,17.0,1,right,D. Booker cutting finger roll Layup (2 PTS) (M. Plumlee 1 AST),"[1626164, 203486]",1610612756.0,PHX,cutting finger roll,,,Booker,D. Booker,,,,,Restricted Area,0-8 Center,1.75,Made,,,,,2.0,M. Plumlee,203486.0,1.0,,,,,,,,,,
14,PT11M23.00S,2025-01-08T00:11:17.5Z,1,REGULAR,violation,defensive goaltending,[],1631109,,,1610612756,0,2,2025-01-08T00:12:53Z,140000,False,,,0,,M. Williams defensive goaltending VIOLATION,[1631109],1610612766.0,CHA,,,,Williams,M. Williams,,,,,,,,,,,,,,,,,1626300.0,,,,,,,,,
15,PT11M13.00S,2025-01-08T00:11:21.2Z,1,REGULAR,3pt,Jump Shot,[],1630163,24.26084099868594,86.51960784313727,1610612766,0,2,2025-01-08T00:13:06Z,150000,False,-183.0,176.0,1,left,MISS L. Ball 25' step back 3PT,[1630163],1610612766.0,CHA,step back,,,Ball,L. Ball,,,,,Above the Break 3,24+ Left Center,25.33,Missed,,,,,,,,,,,,,,,,,,
16,PT11M13.00S,2025-01-08T00:11:21.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612766,0,2,2025-01-08T00:11:37Z,160000,False,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,Above the Break 3,24+ Left Center,,,15.0,,,,,,,,,,,,,,,,,
18,PT11M09.00S,2025-01-08T00:11:37.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1641706,8.623521681997373,96.81372549019608,1610612766,0,2,2025-01-08T00:11:41Z,180000,False,-234.0,29.0,1,left,MISS B. Miller 3PT,[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Left Corner 3,24+ Left,23.58,Missed,,,,,,,,,,,,,,,,,,
19,PT11M07.00S,2025-01-08T00:11:39.2Z,1,REGULAR,rebound,defensive,[],203486,,,1610612756,0,2,2025-01-08T00:11:41Z,190000,False,,,0,,M. Plumlee REBOUND (Off:0 Def:1),[203486],1610612756.0,PHX,,,,Plumlee,M. Plumlee,,,,,Left Corner 3,24+ Left,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,
20,PT11M01.00S,2025-01-08T00:11:46.2Z,1,REGULAR,turnover,bad pass,[],1642346,,,1610612756,0,2,2025-01-08T00:11:52Z,200000,False,,,0,,R. Dunn bad pass TURNOVER (1 TO),"[1642346, 1630163]",1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,1.0,Ball,1630163.0,,,,,,
21,PT11M01.00S,2025-01-08T00:11:46.2Z,1,REGULAR,steal,,[],1630163,,,1610612766,0,2,2025-01-08T00:11:48Z,210000,False,,,0,,L. Ball STEAL (1 STL),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
22,PT10M55.00S,2025-01-08T00:11:51.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630182,6.783837056504599,45.34313725490196,1610612766,0,2,2025-01-08T00:13:42Z,220000,False,23.0,11.0,1,left,MISS J. Green running reverse Layup,[1630182],1610612766.0,CHA,running reverse,,,Green,J. Green,,,,,Restricted Area,0-8 Center,2.59,Missed,,,,,,,,,,,,,,,,,,
23,PT10M52.00S,2025-01-08T00:11:54.6Z,1,REGULAR,rebound,offensive,[],1630163,,,1610612766,0,2,2025-01-08T00:13:42Z,230000,False,,,0,,L. Ball REBOUND (Off:1 Def:0),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Restricted Area,0-8 Center,,,22.0,1.0,0.0,1.0,,,,,,,,,,,,,,
24,PT10M50.00S,2025-01-08T00:11:56.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630163,16.90210249671485,50.49019607843137,1610612766,0,2,2025-01-08T00:12:01Z,240000,False,-2.0,106.0,1,left,MISS L. Ball 10' Jump Shot,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,In The Paint (Non-RA),8-16 Center,10.64,Missed,,,,,,,,,,,,,,,,,,
25,PT10M48.00S,2025-01-08T00:11:58.7Z,1,REGULAR,rebound,offensive,[],1630163,,,1610612766,0,2,2025-01-08T00:11:58Z,250000,False,,,0,,L. Ball REBOUND (Off:2 Def:0),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,In The Paint (Non-RA),8-16 Center,,,24.0,2.0,0.0,2.0,,,,,,,,,,,,,,
