actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-01-28T00:10:39.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-28T00:10:39Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-01-28T00:10:46.5Z,1,REGULAR,jumpball,recovered,[],1630163,,,1610612766,0,0,2025-01-28T00:10:46Z,40000,False,,,0,,Jump Ball M. Williams vs. A. Davis: Tip to L. Ball,"[1630163, 1631109, 203076]",1610612766.0,CHA,startperiod,L. Ball,1630163.0,Ball,L. Ball,Williams,1631109.0,Davis,203076.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2025-01-28T00:11:04.3Z,1,REGULAR,3pt,Jump Shot,[],1628970,94.03745072273325,4.6568627450980395,1610612766,0,0,2025-01-28T00:11:42Z,70000,False,-227.0,4.0,1,right,MISS M. Bridges 3PT,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Left Corner 3,24+ Left,22.67,Missed,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2025-01-28T00:11:06.3Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,0,0,2025-01-28T00:11:42Z,80000,False,,,0,,A. Davis REBOUND (Off:0 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Left Corner 3,24+ Left,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M26.00S,2025-01-28T00:11:12.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630559,6.258212877792378,4.166666666666666,1610612747,0,3,2025-01-28T00:11:21Z,90000,False,229.0,6.0,1,left,A. Reaves 3PT running (3 PTS) (M. Christie 1 AST),"[1630559, 1631108]",1610612747.0,LAL,running,,,Reaves,A. Reaves,,,,,Right Corner 3,24+ Right,22.93,Made,,,,,3.0,M. Christie,1631108.0,1.0,,,,,,,,,,
11,PT11M19.00S,2025-01-28T00:11:20.6Z,1,REGULAR,turnover,bad pass,[],1630163,,,1610612766,0,3,2025-01-28T00:11:25Z,110000,False,,,0,,L. Ball bad pass TURNOVER (1 TO),"[1630163, 1630559]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,Mid-Range,16-24 Center,,,,,,,,,,,1.0,Reaves,1630559.0,,,,,,,
12,PT11M19.00S,2025-01-28T00:11:20.6Z,1,REGULAR,steal,,[],1630559,,,1610612747,0,3,2025-01-28T00:11:22Z,120000,False,,,0,,A. Reaves STEAL (1 STL),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
13,PT11M15.00S,2025-01-28T00:11:24.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",2544,6.258212877792378,48.529411764705884,1610612747,0,5,2025-01-28T00:12:37Z,130000,False,7.0,6.0,1,left,L. James running Layup (2 PTS) (A. Reaves 1 AST),"[2544, 1630559]",1610612747.0,LAL,running,,,James,L. James,,,,,Restricted Area,0-8 Center,0.97,Made,,,,,2.0,A. Reaves,1630559.0,1.0,,,,,,,,,,
15,PT11M02.00S,2025-01-28T00:11:37.2Z,1,REGULAR,3pt,Jump Shot,[],1630182,67.36202365308804,35.294117647058826,1610612766,0,5,2025-01-28T00:11:41Z,150000,False,-74.0,254.0,1,right,MISS J. Green 26' pullup 3PT,[1630182],1610612766.0,CHA,pullup,,,Green,J. Green,,,,,Above the Break 3,24+ Center,26.47,Missed,,,,,,,,,,,,,,,,,,
16,PT10M59.00S,2025-01-28T00:11:40.2Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612747,0,5,2025-01-28T00:11:41Z,160000,False,,,0,,D. Finney-Smith REBOUND (Off:0 Def:1),[1627827],1610612747.0,LAL,,,,Finney-Smith,D. Finney-Smith,,,,,Above the Break 3,24+ Center,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
17,PT10M55.00S,2025-01-28T00:11:44.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],2544,19.267411300919843,6.372549019607843,1610612747,0,5,2025-01-28T00:11:49Z,170000,False,218.0,129.0,1,left,MISS L. James 25' running 3PT,[2544],1610612747.0,LAL,running,,,James,L. James,,,,,Above the Break 3,24+ Right Center,25.32,Missed,,,,,,,,,,,,,,,,,,
18,PT10M54.00S,2025-01-28T00:11:45.1Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,0,5,2025-01-28T00:12:59Z,180000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Right Center,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,
19,PT10M46.00S,2025-01-28T00:11:53.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630163,92.72339027595268,51.71568627450981,1610612766,0,5,2025-01-28T00:13:17Z,190000,False,9.0,16.0,1,right,MISS L. Ball driving finger roll Layup - blocked,"[1630163, 203076]",1610612766.0,CHA,driving finger roll,,,Ball,L. Ball,,,,,Restricted Area,0-8 Center,1.81,Missed,,,,,,,,,,,,Davis,203076.0,,,,,
20,PT10M46.00S,2025-01-28T00:11:53.0Z,1,REGULAR,block,,[],203076,,,1610612766,0,5,2025-01-28T00:11:55Z,200000,False,,,0,,A. Davis BLOCK (1 BLK),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
21,PT10M44.00S,2025-01-28T00:11:55.0Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,0,5,2025-01-28T00:14:10Z,210000,False,,,0,,L. James REBOUND (Off:0 Def:1),[2544],1610612747.0,LAL,,,,James,L. James,,,,,Restricted Area,0-8 Center,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,,
22,PT10M37.00S,2025-01-28T00:12:01.6Z,1,REGULAR,3pt,Jump Shot,[],1631108,19.66162943495401,93.13725490196079,1610612747,0,5,2025-01-28T00:12:06Z,220000,False,-216.0,132.0,1,left,MISS M. Christie 25' 3PT,[1631108],1610612747.0,LAL,,,,Christie,M. Christie,,,,,Above the Break 3,24+ Left Center,25.3,Missed,,,,,,,,,,,,,,,,,,
23,PT10M34.00S,2025-01-28T00:12:04.6Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,0,5,2025-01-28T00:12:06Z,230000,False,,,0,,M. Bridges REBOUND (Off:0 Def:2),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,,,22.0,2.0,2.0,0.0,,,,,,,,,,,,,,
24,PT10M22.00S,2025-01-28T00:12:17.1Z,1,REGULAR,turnover,bad pass,[],1630182,,,1610612766,0,5,2025-01-28T00:12:20Z,240000,False,,,0,,J. Green bad pass TURNOVER (1 TO),"[1630182, 1627827]",1610612766.0,CHA,,,,Green,J. Green,,,,,Mid-Range,16-24 Right,,,,,,,,,,,1.0,Finney-Smith,1627827.0,,,,,,,
25,PT10M22.00S,2025-01-28T00:12:17.1Z,1,REGULAR,steal,,[],1627827,,,1610612747,0,5,2025-01-28T00:12:19Z,250000,False,,,0,,D. Finney-Smith STEAL (1 STL),[1627827],1610612747.0,LAL,,,,Finney-Smith,D. Finney-Smith,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,,,,,
26,PT10M10.00S,2025-01-28T00:12:32.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203076,6.783837056504599,46.32352941176471,1610612747,0,7,2025-01-28T00:14:47Z,260000,False,18.0,11.0,1,left,A. Davis driving finger roll Layup (2 PTS),[203076],1610612747.0,LAL,driving finger roll,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,2.16,Made,,,,,2.0,,,,,,,,,,,,,
27,PT10M10.00S,2025-01-28T00:12:36.0Z,1,REGULAR,foul,personal,['1freethrow'],1631109,,,1610612747,0,7,2025-01-28T00:12:50Z,270000,False,,,0,,M. Williams shooting personal FOUL (1 PF) (Davis 1 FT),"[1631109, 203076]",1610612766.0,CHA,shooting,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1627539.0,1.0,0.0,Davis,203076.0
29,PT10M10.00S,2025-01-28T00:12:53.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612747,0,7,2025-01-28T00:12:53Z,290000,False,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,PT10M10.00S,2025-01-28T00:15:51.9Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],203076,,,1610612747,0,8,2025-01-28T00:15:51Z,300000,False,,,0,,A. Davis Free Throw 1 of 1 (3 PTS),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
31,PT09M50.00S,2025-01-28T00:16:14.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631109,92.72339027595268,51.225490196078425,1610612766,2,8,2025-01-28T00:16:18Z,310000,False,6.0,16.0,1,right,M. Williams Layup (2 PTS) (M. Bridges 1 AST),"[1631109, 1628970]",1610612766.0,CHA,,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,1.7,Made,,,,,2.0,M. Bridges,1628970.0,1.0,,,,,,,,,,
