actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-10-26T23:13:08.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-10-26T23:13:08Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-10-26T23:13:11.5Z,1,REGULAR,jumpball,recovered,[],1630163,,,1610612766,0,0,2024-10-26T23:13:11Z,40000,False,,,0,,Jump Ball N. Richards vs. B. Adebayo: Tip to L. Ball,"[1630163, 1630208, 1628389]",1610612766.0,CHA,startperiod,L. Ball,1630163.0,Ball,L. Ball,Richards,1630208.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2024-10-26T23:13:23.1Z,1,REGULAR,3pt,Jump Shot,[],1630163,72.48685939553219,87.00980392156863,1610612766,0,0,2024-10-26T23:13:30Z,70000,False,185.0,206.0,1,right,MISS L. Ball 27' 3PT,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Right Center,27.7,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2024-10-26T23:13:27.1Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,0,0,2024-10-26T23:13:30Z,80000,False,,,0,,J. Butler REBOUND (Off:0 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M24.00S,2024-10-26T23:13:44.8Z,1,REGULAR,3pt,Jump Shot,[],1629639,32.276609724047304,55.63725490196079,1610612748,0,0,2024-10-26T23:14:13Z,90000,False,-28.0,251.0,1,left,MISS T. Herro 25' 3PT,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Center,25.25,Missed,,,,,,,,,,,,,,,,,,
10,PT11M24.00S,2024-10-26T23:13:44.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612766,0,0,2024-10-26T23:13:49Z,100000,False,,,0,,TEAM defensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,Above the Break 3,24+ Center,,,9.0,,,,,,,,,,,,,,,,,
12,PT11M08.00S,2024-10-26T23:14:05.3Z,1,REGULAR,2pt,Jump Shot,[],1628970,92.59198423127464,66.66666666666666,1610612766,0,0,2024-10-26T23:14:52Z,120000,False,83.0,17.0,1,right,MISS M. Bridges 8' floating Shot,[1628970],1610612766.0,CHA,floating,,,Bridges,M. Bridges,,,,,Mid-Range,8-16 Right,8.5,Missed,,,,,,,,,,,,,,,,,,
13,PT11M04.00S,2024-10-26T23:14:09.3Z,1,REGULAR,rebound,offensive,[],203552,,,1610612766,0,0,2024-10-26T23:14:52Z,130000,False,,,0,,S. Curry REBOUND (Off:1 Def:0),[203552],1610612766.0,CHA,,,,Curry,S. Curry,,,,,Mid-Range,8-16 Right,,,12.0,1.0,0.0,1.0,,,,,,,,,,,,,,
14,PT10M57.00S,2024-10-26T23:14:20.5Z,1,REGULAR,turnover,lost ball,[],1628998,,,1610612766,0,0,2024-10-26T23:14:36Z,140000,False,,,0,,C. Martin lost ball TURNOVER (1 TO),[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1.0,,,,,,,,,,,,,
15,PT10M57.00S,2024-10-26T23:14:23.6Z,1,REGULAR,foul,personal,[],1628998,,,1610612748,0,0,2024-10-26T23:14:31Z,150000,False,,,0,,C. Martin loose ball personal FOUL (1 PF),"[1628998, 202710]",1610612766.0,CHA,loose ball,,,Martin,C. Martin,,,,,Mid-Range,8-16 Left,,,,,,,,1629178.0,1.0,0.0,Butler,202710.0,,,,,,,,
