actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-11-28T00:10:42.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-28T00:10:42Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-11-28T00:10:44.7Z,1,REGULAR,jumpball,recovered,[],202710,,,1610612748,0,0,2024-11-28T00:10:44Z,40000,False,,,0,,Jump Ball B. Adebayo vs. T. Gibson: Tip to J. Butler,"[202710, 1628389, 201959]",1610612748.0,MIA,startperiod,J. Butler,202710.0,Butler,J. Butler,Adebayo,1628389.0,Gibson,201959.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2024-11-28T00:11:01.8Z,1,REGULAR,2pt,Jump Shot,[],1629130,5.519053876478324,71.1014093137255,1610612748,0,0,2024-11-28T00:11:52Z,70000,False,-106.0,-1.0,1,left,MISS D. Robinson 10' driving floating Shot - blocked,"[1629130, 1641706]",1610612748.0,MIA,driving floating,,,Robinson,D. Robinson,,,,,Mid-Range,8-16 Left,10.55,Missed,Miller,1641706.0,,,,,,,,,,,,,,,,
8,PT11M42.00S,2024-11-28T00:11:01.8Z,1,REGULAR,block,,[],1641706,,,1610612748,0,0,2024-11-28T00:11:37Z,80000,False,,,0,,B. Miller BLOCK (1 BLK),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
9,PT11M41.00S,2024-11-28T00:11:02.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612748,0,0,2024-11-28T00:11:52Z,90000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,Mid-Range,8-16 Left,,,,,7.0,,,,,,,,,,,,,,,
11,PT11M39.00S,2024-11-28T00:11:15.8Z,1,REGULAR,foul,personal,['3freethrow'],1641706,,,1610612748,0,0,2024-11-28T00:11:27Z,110000,False,,,0,,B. Miller shooting personal FOUL (1 PF) (Robinson 3 FT),"[1641706, 1629130]",1610612766.0,CHA,shooting,,,Miller,B. Miller,,,,,Above the Break 3,24+ Left,,,,,,201638.0,1.0,0.0,Robinson,1629130.0,,,,,,,,,,
13,PT11M39.00S,2024-11-28T00:11:42.9Z,1,REGULAR,freethrow,1 of 3,['2ndchance'],1629130,,,1610612748,0,0,2024-11-28T00:11:42Z,130000,False,,,0,,MISS D. Robinson Free Throw 1 of 3,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
14,PT11M39.00S,2024-11-28T00:11:42.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612748,0,0,2024-11-28T00:11:42Z,140000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,
15,PT11M39.00S,2024-11-28T00:11:54.3Z,1,REGULAR,freethrow,2 of 3,['2ndchance'],1629130,,,1610612748,0,1,2024-11-28T00:11:54Z,150000,False,,,0,,D. Robinson Free Throw 2 of 3 (1 PTS),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,Made,,,,,,,,,1.0,,,,,,,,,
16,PT11M39.00S,2024-11-28T00:12:10.2Z,1,REGULAR,freethrow,3 of 3,['2ndchance'],1629130,,,1610612748,0,2,2024-11-28T00:12:10Z,160000,False,,,0,,D. Robinson Free Throw 3 of 3 (2 PTS),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,Made,,,,,,,,,2.0,,,,,,,,,
17,PT11M27.00S,2024-11-28T00:12:23.3Z,1,REGULAR,3pt,Jump Shot,[],1641706,65.1281208935611,49.26470588235294,1610612766,0,2,2024-11-28T00:12:27Z,170000,False,-4.0,275.0,1,right,MISS B. Miller 27' 3PT,[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Center,27.53,Missed,,,,,,,,,,,,,,,,,,
18,PT11M24.00S,2024-11-28T00:12:26.3Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,0,2,2024-11-28T00:12:27Z,180000,False,,,0,,T. Herro REBOUND (Off:0 Def:1),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Center,,,,,17.0,,,,,,,1.0,1.0,0.0,,,,,,
