actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,turnoverTotal,stealPlayerName,stealPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-11-26T00:10:18.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-26T00:10:18Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M52.00S,2024-11-26T00:10:25.0Z,1,REGULAR,jumpball,recovered,[],1630182,,,1610612766,0,0,2024-11-26T00:10:25Z,40000,False,,,0,,Jump Ball T. Gibson vs. G. Bitadze: Tip to J. Green,"[1630182, 201959, 1629048]",1610612766.0,CHA,startperiod,J. Green,1630182.0,Green,J. Green,Gibson,201959.0,Bitadze,1629048.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2024-11-26T00:10:38.2Z,1,REGULAR,foul,personal,[],203484,,,1610612766,0,0,2024-11-26T00:11:47Z,70000,False,,,0,,K. Caldwell-Pope personal FOUL (1 PF),"[203484, 1630163]",1610612753.0,ORL,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Left Center,1628951.0,1.0,0.0,Ball,1630163.0,,,,,,,,,,,,,,,
9,PT11M33.00S,2024-11-26T00:11:00.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201959,88.64980289093299,46.568627450980394,1610612766,2,0,2024-11-26T00:11:56Z,90000,False,-17.0,54.0,1,right,T. Gibson driving floating Jump Shot (2 PTS) (L. Ball 1 AST),"[201959, 1630163]",1610612766.0,CHA,driving floating,,,Gibson,T. Gibson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,5.69,Made,2.0,L. Ball,1630163.0,1.0,,,,,,,,,
11,PT11M14.00S,2024-11-26T00:11:21.9Z,1,REGULAR,3pt,Jump Shot,[],1641783,31.61957950065703,29.411764705882355,1610612753,2,0,2024-11-26T00:12:31Z,110000,False,103.0,245.0,1,left,MISS T. da Silva 26' 3PT,[1641783],1610612753.0,ORL,,,,da Silva,T. da Silva,,,,,Above the Break 3,24+ Right Center,,,,,,26.55,Missed,,,,,,,,,,,,,
12,PT11M12.00S,2024-11-26T00:11:23.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612766,2,0,2024-11-26T00:12:31Z,120000,False,,,0,,TEAM defensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,11.0,,,,,,,,
13,PT11M12.00S,2024-11-26T00:11:28.0Z,1,REGULAR,foul,personal,[],1629048,,,1610612766,2,0,2024-11-26T00:11:38Z,130000,False,,,0,,G. Bitadze loose ball personal FOUL (1 PF),"[1629048, 1642275]",1610612753.0,ORL,loose ball,,,Bitadze,G. Bitadze,,,,,Restricted Area,0-8 Center,1627524.0,1.0,0.0,Salaün,1642275.0,,,,,,,,,,,,,,,
15,PT10M59.00S,2024-11-26T00:11:53.5Z,1,REGULAR,foul,offensive,[],201959,,,1610612766,2,0,2024-11-26T00:12:07Z,150000,False,,,0,,T. Gibson offensive FOUL (1 PF),"[201959, 1641783]",1610612766.0,CHA,,,,Gibson,T. Gibson,,,,,Above the Break 3,24+ Left Center,1628951.0,1.0,0.0,da Silva,1641783.0,,,,,,,,,,,,,,,
17,PT10M59.00S,2024-11-26T00:11:53.5Z,1,REGULAR,turnover,offensive foul,[],201959,,,1610612766,2,0,2024-11-26T00:11:53Z,170000,False,,,0,,T. Gibson offensive foul TURNOVER (1 TO),[201959],1610612766.0,CHA,,,,Gibson,T. Gibson,,,,,Above the Break 3,24+ Left Center,1628951.0,,,,,,,,,,,,1.0,,,,,,,
18,PT10M47.00S,2024-11-26T00:12:11.7Z,1,REGULAR,turnover,bad pass,[],1629048,,,1610612753,2,0,2024-11-26T00:12:16Z,180000,False,,,0,,G. Bitadze bad pass TURNOVER (1 TO),"[1629048, 201959]",1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1.0,Gibson,201959.0,,,,,
19,PT10M47.00S,2024-11-26T00:12:11.7Z,1,REGULAR,steal,,[],201959,,,1610612766,2,0,2024-11-26T00:16:47Z,190000,False,,,0,,T. Gibson STEAL (1 STL),[201959],1610612766.0,CHA,,,,Gibson,T. Gibson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
20,PT10M41.00S,2024-11-26T00:12:20.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630163,92.72339027595268,54.65686274509803,1610612766,2,0,2024-11-26T00:16:52Z,200000,False,23.0,16.0,1,right,MISS L. Ball driving Layup,[1630163],1610612766.0,CHA,driving,,,Ball,L. Ball,,,,,Restricted Area,0-8 Center,,,,,,2.82,Missed,,,,,,,,,,,,,
21,PT10M39.00S,2024-11-26T00:12:22.1Z,1,REGULAR,rebound,defensive,[],1629048,,,1610612753,2,0,2024-11-26T00:16:52Z,210000,False,,,0,,G. Bitadze REBOUND (Off:0 Def:1),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,20.0,,,,1.0,1.0,0.0,,
22,PT10M30.00S,2024-11-26T00:12:29.4Z,1,REGULAR,3pt,Jump Shot,[],1641783,7.046649145860711,96.56862745098039,1610612753,2,0,2024-11-26T00:12:34Z,220000,False,-233.0,14.0,1,left,MISS T. da Silva 3PT,[1641783],1610612753.0,ORL,,,,da Silva,T. da Silva,,,,,Left Corner 3,24+ Left,,,,,,23.32,Missed,,,,,,,,,,,,,
23,PT10M29.00S,2024-11-26T00:12:30.4Z,1,REGULAR,rebound,offensive,[],1629048,,,1610612753,2,0,2024-11-26T00:15:44Z,230000,False,,,0,,G. Bitadze REBOUND (Off:1 Def:1),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,22.0,,,,2.0,1.0,1.0,,
24,PT10M28.00S,2024-11-26T00:12:32.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629048,7.703679369250986,49.01960784313725,1610612753,2,2,2024-11-26T00:15:49Z,240000,False,5.0,20.0,1,left,G. Bitadze putback Layup (2 PTS),[1629048],1610612753.0,ORL,putback,,,Bitadze,G. Bitadze,,,,,Restricted Area,0-8 Center,,,,,,2.05,Made,2.0,,,,,,,,,,,,
25,PT10M22.00S,2024-11-26T00:12:42.3Z,1,REGULAR,turnover,out-of-bounds,[],1630163,,,1610612766,2,2,2024-11-26T00:12:48Z,250000,False,,,0,,L. Ball step out-of-bounds TURNOVER (1 TO),[1630163],1610612766.0,CHA,step,,,Ball,L. Ball,,,,,Above the Break 3,24+ Right Center,1627524.0,,,,,,,,,,,,1.0,,,,,,,
26,PT10M04.00S,2024-11-26T00:13:12.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1641783,27.94021024967148,80.14705882352942,1610612753,2,2,2024-11-26T00:13:17Z,260000,False,-151.0,210.0,1,left,MISS T. da Silva 25' 3PT,[1641783],1610612753.0,ORL,,,,da Silva,T. da Silva,,,,,Above the Break 3,24+ Left Center,,,,,,25.86,Missed,,,,,,,,,,,,,
