actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-04-08T23:10:08.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-04-08T23:10:08Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-04-08T23:10:13.0Z,1,REGULAR,jumpball,recovered,[],1628991,,,1610612763,0,0,2025-04-08T23:10:13Z,40000,False,,,0,,Jump Ball Z. Edey vs. M. Williams: Tip to J. Jackson Jr.,"[1628991, 1641744, 1631109]",1610612763.0,MEM,startperiod,J. Jackson Jr.,1628991.0,Jackson Jr.,J. Jackson Jr.,Edey,1641744.0,Williams,1631109.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2025-04-08T23:10:26.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629630,90.22667542706965,50.73529411764706,1610612763,0,2,2025-04-08T23:10:31Z,70000,False,4.0,39.0,1,right,J. Morant driving Layup (2 PTS),[1629630],1610612763.0,MEM,driving,,,Morant,J. Morant,,,,,Restricted Area,0-8 Center,3.96,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M26.00S,2025-04-08T23:10:42.1Z,1,REGULAR,turnover,bad pass,[],1631109,,,1610612766,0,2,2025-04-08T23:10:47Z,80000,False,,,0,,M. Williams bad pass TURNOVER (1 TO),"[1631109, 1628991]",1610612766.0,CHA,,,,Williams,M. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,1.0,Jackson Jr.,1628991.0,,,,,,,,,,,,,,
9,PT11M26.00S,2025-04-08T23:10:42.1Z,1,REGULAR,steal,,[],1628991,,,1610612763,0,2,2025-04-08T23:10:44Z,90000,False,,,0,,J. Jackson Jr. STEAL (1 STL),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
10,PT11M11.00S,2025-04-08T23:10:56.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628991,92.85479632063075,95.09803921568627,1610612763,0,2,2025-04-08T23:11:01Z,100000,False,225.0,15.0,1,right,MISS J. Jackson Jr. 3PT,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Right Corner 3,24+ Right,22.6,Missed,,,,,,,,,,,,,,,,,,
11,PT11M08.00S,2025-04-08T23:10:59.7Z,1,REGULAR,rebound,defensive,[],1629006,,,1610612766,0,2,2025-04-08T23:10:59Z,110000,False,,,0,,J. Okogie REBOUND (Off:0 Def:1),[1629006],1610612766.0,CHA,,,,Okogie,J. Okogie,,,,,Right Corner 3,24+ Right,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT10M57.00S,2025-04-08T23:11:11.5Z,1,REGULAR,3pt,Jump Shot,[],1628970,27.020367936925098,83.33333333333334,1610612766,0,2,2025-04-08T23:11:16Z,120000,False,-167.0,201.0,1,left,MISS M. Bridges 26' pullup 3PT,[1628970],1610612766.0,CHA,pullup,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,26.15,Missed,,,,,,,,,,,,,,,,,,
13,PT10M53.00S,2025-04-08T23:11:15.5Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,0,2,2025-04-08T23:11:16Z,130000,False,,,0,,D. Bane REBOUND (Off:0 Def:1),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,Above the Break 3,24+ Left Center,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,
14,PT10M48.00S,2025-04-08T23:11:20.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628991,80.23981603153744,92.64705882352942,1610612763,0,2,2025-04-08T23:12:18Z,140000,False,213.0,133.0,1,right,MISS J. Jackson Jr. 25' running pullup 3PT,[1628991],1610612763.0,MEM,running pullup,,,Jackson Jr.,J. Jackson Jr.,,,,,Above the Break 3,24+ Right Center,25.14,Missed,,,,,,,,,,,,,,,,,,
