actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
257,PT03M33.00S,2025-02-01T00:55:32.1Z,2,REGULAR,substitution,out,[],1631217,,,1610612766,36,42,2025-02-01T00:55:45Z,2510000,False,,,0,,SUB out: M. Diabaté,[1631217],1610612766.0,CHA,,,,Diabaté,M. Diabaté,,,,,,,,,,,,,,,,,,,,,,,,,,
258,PT03M33.00S,2025-02-01T00:55:32.1Z,2,REGULAR,substitution,in,[],201959,,,1610612766,36,42,2025-02-01T00:55:45Z,2520000,False,,,0,,SUB in: T. Gibson,[201959],1610612766.0,CHA,,,,Gibson,T. Gibson,,,,,,,,,,,,,,,,,,,,,,,,,,
260,PT03M27.00S,2025-02-01T00:56:29.2Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,36,42,2025-02-01T00:56:29Z,2540000,False,,,0,,LAC Timeout,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,PT03M22.00S,2025-02-01T01:00:26.8Z,2,REGULAR,3pt,Jump Shot,[],1630182,26.62614980289093,82.1078431372549,1610612766,39,42,2025-02-01T01:00:30Z,2560000,False,-161.0,198.0,1,left,J. Green 25' 3PT  (7 PTS) (K. Simpson 1 AST),"[1630182, 1642354]",1610612766.0,CHA,,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,25.47,Made,7.0,K. Simpson,1642354.0,1.0,,,,,,,,,,,,,,
264,PT02M56.00S,2025-02-01T01:00:51.9Z,2,REGULAR,2pt,Jump Shot,[],1626181,77.4802890932983,38.48039215686275,1610612746,39,44,2025-02-01T01:01:11Z,2580000,False,-58.0,159.0,1,right,N. Powell 16' pullup Jump Shot (13 PTS) (D. Jones Jr. 1 AST),"[1626181, 1627884]",1610612746.0,LAC,pullup,,,Powell,N. Powell,,,,,Mid-Range,16-24 Left Center,16.93,Made,13.0,D. Jones Jr.,1627884.0,1.0,,,,,,,,,,,,,,
266,PT02M37.00S,2025-02-01T01:01:12.5Z,2,REGULAR,3pt,Jump Shot,[],1628970,8.623521681997373,4.6568627450980395,1610612766,42,44,2025-02-01T01:01:15Z,2600000,False,227.0,29.0,1,left,M. Bridges 3PT  (8 PTS) (K. Simpson 2 AST),"[1628970, 1642354]",1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Right Corner 3,24+ Right,22.85,Made,8.0,K. Simpson,1642354.0,2.0,,,,,,,,,,,,,,
268,PT02M19.00S,2025-02-01T01:01:29.3Z,2,REGULAR,turnover,bad pass,[],201935,,,1610612746,42,44,2025-02-01T01:01:37Z,2620000,False,,,0,,J. Harden bad pass TURNOVER (1 TO),"[201935, 1642354]",1610612746.0,LAC,,,,Harden,J. Harden,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,1.0,Simpson,1642354.0,,
269,PT02M19.00S,2025-02-01T01:01:29.3Z,2,REGULAR,steal,,[],1642354,,,1610612766,42,44,2025-02-01T01:01:30Z,2630000,False,,,0,,K. Simpson STEAL (1 STL),[1642354],1610612766.0,CHA,,,,Simpson,K. Simpson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
270,PT02M16.00S,2025-02-01T01:01:32.8Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1642354,5.075558475689881,50.73529411764706,1610612766,44,44,2025-02-01T01:01:43Z,2640000,False,-4.0,-5.0,1,left,K. Simpson running Layup (6 PTS) (M. Bridges 2 AST),"[1642354, 1628970]",1610612766.0,CHA,running,,,Simpson,K. Simpson,,,,,Restricted Area,0-8 Center,0.61,Made,6.0,M. Bridges,1628970.0,2.0,,,,,,,,,,,,,,
272,PT02M04.00S,2025-02-01T01:01:48.3Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628970,,,1610612746,44,44,2025-02-01T01:01:57Z,2660000,False,,,0,,M. Bridges shooting personal FOUL (1 PF) (Harden 2 FT),"[1628970, 201935]",1610612766.0,CHA,shooting,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1151.0,1.0,0.0,Harden,201935.0,,,,,
