actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-03-06T00:10:42.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-06T00:10:42Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PT12M00.00S,2025-03-06T00:10:44.4Z,1,REGULAR,violation,delay-of-game,['team'],0,,,0,0,0,2025-03-06T00:13:24Z,25000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612766.0,CHA,1830.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PT12M00.00S,2025-03-06T00:10:44.5Z,1,REGULAR,violation,delay-of-game,['team'],0,,,0,0,0,2025-03-06T00:13:13Z,27500,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612750.0,MIN,1830.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-03-06T00:10:45.6Z,1,REGULAR,jumpball,recovered,[],1630163,,,1610612766,0,0,2025-03-06T00:10:45Z,40000,False,,,0,,Jump Ball M. Williams vs. N. Reid: Tip to L. Ball,"[1630163, 1631109, 1629675]",1610612766.0,CHA,,startperiod,L. Ball,1630163.0,Ball,L. Ball,Williams,1631109.0,Reid,1629675.0,,,,,,,,,,,,,,,,,,,,,
9,PT11M41.00S,2025-03-06T00:11:00.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628970,7.440867279894875,43.627450980392155,1610612766,2,0,2025-03-06T00:11:04Z,90000,False,32.0,17.0,1,left,M. Bridges Layup (2 PTS) (D. Jeffries 1 AST),"[1628970, 1629610]",1610612766.0,CHA,,,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,3.63,Made,2.0,D. Jeffries,1629610.0,1.0,,,,,,,,,,,,,
11,PT11M20.00S,2025-03-06T00:11:21.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203944,81.42247043363994,54.166666666666664,1610612750,2,2,2025-03-06T00:11:26Z,110000,False,21.0,122.0,1,right,J. Randle 12' turnaround Jump Shot (2 PTS),[203944],1610612750.0,MIN,,turnaround,,,Randle,J. Randle,,,,,In The Paint (Non-RA),8-16 Center,12.39,Made,2.0,,,,,,,,,,,,,,,,
12,PT11M09.00S,2025-03-06T00:11:33.2Z,1,REGULAR,3pt,Jump Shot,[],1628970,6.915243101182654,2.696078431372549,1610612766,5,2,2025-03-06T00:11:36Z,120000,False,237.0,13.0,1,left,M. Bridges 3PT  (5 PTS) (M. Williams 1 AST),"[1628970, 1631109]",1610612766.0,CHA,,,,,Bridges,M. Bridges,,,,,Right Corner 3,24+ Right,23.68,Made,5.0,M. Williams,1631109.0,1.0,,,,,,,,,,,,,
14,PT10M56.00S,2025-03-06T00:11:45.8Z,1,REGULAR,3pt,Jump Shot,[],1629675,65.91655716162943,67.8921568627451,1610612750,5,2,2025-03-06T00:11:49Z,140000,False,89.0,268.0,1,right,MISS N. Reid 28' 3PT,[1629675],1610612750.0,MIN,,,,,Reid,N. Reid,,,,,Above the Break 3,24+ Right Center,28.25,Missed,,,,,,,,,,,,,,,,,
15,PT10M53.00S,2025-03-06T00:11:48.8Z,1,REGULAR,rebound,defensive,[],1631109,,,1610612766,5,2,2025-03-06T00:11:49Z,150000,False,,,0,,M. Williams REBOUND (Off:0 Def:1),[1631109],1610612766.0,CHA,,,,,Williams,M. Williams,,,,,Above the Break 3,24+ Right Center,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,
16,PT10M47.00S,2025-03-06T00:11:54.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630163,25.18068331143233,7.598039215686274,1610612766,8,2,2025-03-06T00:12:01Z,160000,False,212.0,184.0,1,left,L. Ball 28' 3PT running (3 PTS) (M. Bridges 1 AST),"[1630163, 1628970]",1610612766.0,CHA,,running,,,Ball,L. Ball,,,,,Above the Break 3,24+ Right Center,28.08,Made,3.0,M. Bridges,1628970.0,1.0,,,,,,,,,,,,,
18,PT10M31.00S,2025-03-06T00:12:10.3Z,1,REGULAR,3pt,Jump Shot,[],1630162,66.70499342969777,60.5392156862745,1610612750,8,2,2025-03-06T00:12:20Z,180000,False,53.0,260.0,1,right,MISS A. Edwards 26' pullup 3PT,[1630162],1610612750.0,MIN,,pullup,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Center,26.58,Missed,,,,,,,,,,,,,,,,,
19,PT10M23.00S,2025-03-06T00:12:18.3Z,1,REGULAR,rebound,offensive,[],1630183,,,1610612750,8,2,2025-03-06T00:12:20Z,190000,False,,,0,,J. McDaniels REBOUND (Off:1 Def:0),[1630183],1610612750.0,MIN,,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Center,,,,,,,18.0,1.0,0.0,1.0,,,,,,,,,
20,PT10M23.00S,2025-03-06T00:12:18.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630183,94.40999984741211,50.0,1610612750,8,4,2025-03-06T00:12:18Z,200000,False,0.0,0.0,1,right,J. McDaniels putback Layup (2 PTS),[1630183],1610612750.0,MIN,,putback,,,McDaniels,J. McDaniels,,,,,Mid-Range,8-16 Left,0.0,Made,2.0,,,,,,,,,,,,,,,,
21,PT10M16.00S,2025-03-06T00:12:25.4Z,1,REGULAR,2pt,Jump Shot,[],1630163,21.50131406044678,52.94117647058824,1610612766,8,4,2025-03-06T00:12:30Z,210000,False,-15.0,150.0,1,left,MISS L. Ball 15' driving floating Shot,[1630163],1610612766.0,CHA,,driving floating,,,Ball,L. Ball,,,,,Mid-Range,8-16 Center,15.03,Missed,,,,,,,,,,,,,,,,,
22,PT10M13.00S,2025-03-06T00:12:28.9Z,1,REGULAR,rebound,offensive,[],1630163,,,1610612766,8,4,2025-03-06T00:12:28Z,220000,False,,,0,,L. Ball REBOUND (Off:1 Def:0),[1630163],1610612766.0,CHA,,,,,Ball,L. Ball,,,,,Mid-Range,8-16 Center,,,,,,,21.0,1.0,0.0,1.0,,,,,,,,,
23,PT10M13.00S,2025-03-06T00:12:28.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630163,5.590000152587891,50.0,1610612766,8,4,2025-03-06T00:12:28Z,230000,False,0.0,0.0,1,left,MISS L. Ball tip Layup,[1630163],1610612766.0,CHA,,tip,,,Ball,L. Ball,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,
24,PT10M12.00S,2025-03-06T00:12:29.6Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,8,4,2025-03-06T00:12:29Z,240000,False,,,0,,A. Edwards REBOUND (Off:0 Def:1),[1630162],1610612750.0,MIN,,,,,Edwards,A. Edwards,,,,,Mid-Range,8-16 Left,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,,
25,PT09M58.00S,2025-03-06T00:12:43.2Z,1,REGULAR,3pt,Jump Shot,[],1630183,90.09526938239159,95.09803921568627,1610612750,8,7,2025-03-06T00:12:47Z,250000,False,225.0,41.0,1,right,J. McDaniels 3PT  (5 PTS) (N. Reid 1 AST),"[1630183, 1629675]",1610612750.0,MIN,,,,,McDaniels,J. McDaniels,,,,,Right Corner 3,24+ Right,22.91,Made,5.0,N. Reid,1629675.0,1.0,,,,,,,,,,,,,
27,PT09M33.00S,2025-03-06T00:13:08.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629610,7.30946123521682,53.18627450980392,1610612766,10,7,2025-03-06T00:13:12Z,270000,False,-16.0,16.0,1,left,D. Jeffries driving Layup (2 PTS) (M. Bridges 2 AST),"[1629610, 1628970]",1610612766.0,CHA,,driving,,,Jeffries,D. Jeffries,,,,,Restricted Area,0-8 Center,2.27,Made,2.0,M. Bridges,1628970.0,2.0,,,,,,,,,,,,,
28,PT09M25.00S,2025-03-06T00:13:17.5Z,1,REGULAR,3pt,Jump Shot,[],203944,69.59592641261499,27.205882352941174,1610612750,10,7,2025-03-06T00:13:21Z,280000,False,-114.0,233.0,1,right,MISS J. Randle 25' 3PT,[203944],1610612750.0,MIN,,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Left Center,25.97,Missed,,,,,,,,,,,,,,,,,
29,PT09M22.00S,2025-03-06T00:13:20.5Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,10,7,2025-03-06T00:13:21Z,290000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628970],1610612766.0,CHA,,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,,,,,,,28.0,1.0,1.0,0.0,,,,,,,,,
34,PT09M18.00S,2025-03-06T00:13:37.3Z,1,REGULAR,turnover,out-of-bounds,[],1630163,,,1610612766,10,7,2025-03-06T00:15:52Z,305000,False,,,0,,L. Ball lost ball out-of-bounds TURNOVER (1 TO),[1630163],1610612766.0,CHA,1830.0,lost ball,,,Ball,L. Ball,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,1.0,,,,,,,,
32,PT09M18.00S,2025-03-06T00:13:46.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612750,10,7,2025-03-06T00:15:52Z,310000,False,,,0,,MIN Timeout,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
