actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,officialId,pointsTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
17,PT10M22.00S,2024-12-07T18:13:04.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630182,30.831143232588698,28.676470588235293,1610612766,3,2,2024-12-07T18:17:42Z,170000,False,107.0,237.0,1,left,J. Green 26' 3PT  (3 PTS) (T. Gibson 1 AST),"[1630182, 201959]",1610612766.0,CHA,,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,26.01,Made,,,3.0,,,,,,T. Gibson,201959.0,1.0,,,,,,,
19,PT10M11.00S,2024-12-07T18:13:16.7Z,1,REGULAR,3pt,Jump Shot,[],1628378,68.15045992115637,19.11764705882353,1610612739,3,5,2024-12-07T18:13:41Z,190000,False,-154.0,247.0,1,right,D. Mitchell 29' 3PT  (3 PTS) (D. Garland 1 AST),"[1628378, 1629636]",1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Left Center,29.12,Made,,,3.0,,,,,,D. Garland,1629636.0,1.0,,,,,,,
21,PT09M58.00S,2024-12-07T18:13:29.2Z,1,REGULAR,turnover,bad pass,[],1628998,,,1610612766,3,5,2024-12-07T18:21:01Z,210000,False,,,0,,C. Martin bad pass TURNOVER (1 TO),"[1628998, 1629731]",1610612766.0,CHA,,,,Martin,C. Martin,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,1.0,,,,Wade,1629731.0,,,,,
22,PT09M58.00S,2024-12-07T18:13:29.2Z,1,REGULAR,steal,,[],1629731,,,1610612739,3,5,2024-12-07T18:13:32Z,220000,False,,,0,,D. Wade STEAL (1 STL),[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
23,PT09M49.00S,2024-12-07T18:13:38.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629636,65.91655716162943,70.83333333333334,1610612739,3,5,2024-12-07T18:20:19Z,230000,False,104.0,268.0,1,right,MISS D. Garland 28' pullup 3PT,[1629636],1610612739.0,CLE,pullup,,,Garland,D. Garland,,,,,Above the Break 3,24+ Right Center,28.75,Missed,,,,,,,,,,,,,,,,,,
24,PT09M46.00S,2024-12-07T18:13:40.8Z,1,REGULAR,rebound,defensive,[],1641706,,,1610612766,3,5,2024-12-07T18:13:40Z,240000,False,,,0,,B. Miller REBOUND (Off:0 Def:1),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Right Center,,,23.0,,,,,,,,,,,,,1.0,1.0,0.0,,
25,PT09M34.00S,2024-12-07T18:13:55.4Z,1,REGULAR,foul,personal,[],1629636,,,1610612766,3,5,2024-12-07T18:13:58Z,250000,False,,,0,,D. Garland personal FOUL (1 PF),"[1629636, 1641706]",1610612739.0,CLE,,,,Garland,D. Garland,,,,,Above the Break 3,24+ Left Center,,,,1627964.0,,1.0,0.0,Miller,1641706.0,,,,,,,,,,,
27,PT09M26.00S,2024-12-07T18:14:18.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201959,9.411957950065702,49.01960784313725,1610612766,3,5,2024-12-07T18:15:23Z,270000,False,5.0,36.0,1,left,MISS T. Gibson Jump Shot - blocked,"[201959, 1628386]",1610612766.0,CHA,,,,Gibson,T. Gibson,,,,,Restricted Area,0-8 Center,3.63,Missed,,,,,,,,,,,,,,,,,Allen,1628386.0
28,PT09M26.00S,2024-12-07T18:14:18.1Z,1,REGULAR,block,,[],1628386,,,1610612766,3,5,2024-12-07T18:14:20Z,280000,False,,,0,,J. Allen BLOCK (1 BLK),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
29,PT09M23.00S,2024-12-07T18:14:21.1Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612739,3,5,2024-12-07T18:15:23Z,290000,False,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,,,27.0,,,,,,,,,,,,,1.0,1.0,0.0,,
30,PT09M13.00S,2024-12-07T18:14:30.9Z,1,REGULAR,3pt,Jump Shot,[],1630596,72.48685939553219,16.42156862745098,1610612739,3,8,2024-12-07T18:15:26Z,300000,False,-168.0,206.0,1,right,E. Mobley 26' 3PT  (5 PTS) (D. Mitchell 1 AST),"[1630596, 1628378]",1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Above the Break 3,24+ Left Center,26.58,Made,,,5.0,,,,,,D. Mitchell,1628378.0,1.0,,,,,,,
32,PT09M03.00S,2024-12-07T18:14:41.4Z,1,REGULAR,3pt,Jump Shot,[],1641706,28.86005256241787,15.686274509803921,1610612766,3,8,2024-12-07T18:15:28Z,320000,False,172.0,219.0,1,left,MISS B. Miller 27' 3PT,[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Right Center,27.81,Missed,,,,,,,,,,,,,,,,,,
33,PT09M03.00S,2024-12-07T18:14:41.4Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,3,8,2024-12-07T18:15:28Z,330000,False,,,0,,E. Mobley REBOUND (Off:0 Def:1),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Above the Break 3,24+ Right Center,,,32.0,,,,,,,,,,,,,1.0,1.0,0.0,,
35,PT08M50.00S,2024-12-07T18:14:54.0Z,1,REGULAR,3pt,Jump Shot,[],1629731,92.85479632063075,3.9215686274509802,1610612739,3,8,2024-12-07T18:15:22Z,340000,False,-230.0,15.0,1,right,MISS D. Wade 3PT,[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,Left Corner 3,24+ Left,23.09,Missed,,,,,,,,,,,,,,,,,,
36,PT08M48.00S,2024-12-07T18:14:56.0Z,1,REGULAR,rebound,offensive,[],1628386,,,1610612739,3,8,2024-12-07T18:15:43Z,350000,False,,,0,,J. Allen REBOUND (Off:1 Def:0),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Left Corner 3,24+ Left,,,35.0,,,,,,,,,,,,,1.0,0.0,1.0,,
37,PT08M48.00S,2024-12-07T18:14:57.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1630596,92.59198423127464,49.26470588235294,1610612739,3,10,2024-12-07T18:15:27Z,360000,False,-4.0,17.0,1,right,E. Mobley DUNK (7 PTS) (J. Allen 1 AST),"[1630596, 1628386]",1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,1.75,Made,,,7.0,,,,,,J. Allen,1628386.0,1.0,,,,,,,
39,PT08M48.00S,2024-12-07T18:15:01.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,3,10,2024-12-07T18:15:01Z,380000,False,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT08M33.00S,2024-12-07T18:18:14.9Z,1,REGULAR,2pt,Jump Shot,[],203995,21.369908015768726,70.83333333333334,1610612766,3,10,2024-12-07T18:23:31Z,390000,False,-104.0,148.0,1,left,MISS V. Micić 18' step back Shot - blocked,"[203995, 1629636]",1610612766.0,CHA,step back,,,Micić,V. Micić,,,,,Mid-Range,16-24 Left Center,18.13,Missed,,,,,,,,,,,,,,,,,Garland,1629636.0
42,PT08M33.00S,2024-12-07T18:18:14.9Z,1,REGULAR,block,,[],1629636,,,1610612766,3,10,2024-12-07T18:18:17Z,400000,False,,,0,,D. Garland BLOCK (1 BLK),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
43,PT08M31.00S,2024-12-07T18:18:16.9Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,3,10,2024-12-07T18:18:18Z,410000,False,,,0,,J. Allen REBOUND (Off:1 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Mid-Range,16-24 Left Center,,,41.0,,,,,,,,,,,,,2.0,1.0,1.0,,
44,PT08M20.00S,2024-12-07T18:18:27.9Z,1,REGULAR,3pt,Jump Shot,[],1630596,95.74572930354796,3.9215686274509802,1610612739,3,13,2024-12-07T18:18:31Z,420000,False,-230.0,-13.0,1,right,E. Mobley 3PT  (10 PTS) (D. Mitchell 2 AST),"[1630596, 1628378]",1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Left Corner 3,24+ Left,23.07,Made,,,10.0,,,,,,D. Mitchell,1628378.0,2.0,,,,,,,
46,PT08M05.00S,2024-12-07T18:18:42.4Z,1,REGULAR,3pt,Jump Shot,[],1630182,6.521024967148489,96.56862745098039,1610612766,6,13,2024-12-07T18:18:46Z,440000,False,-233.0,9.0,1,left,J. Green 3PT  (6 PTS) (T. Gibson 2 AST),"[1630182, 201959]",1610612766.0,CHA,,,,Green,J. Green,,,,,Left Corner 3,24+ Left,23.3,Made,,,6.0,,,,,,T. Gibson,201959.0,2.0,,,,,,,
48,PT07M43.00S,2024-12-07T18:19:05.1Z,1,REGULAR,2pt,Jump Shot,[],1628386,89.17542706964521,20.098039215686274,1610612739,6,15,2024-12-07T18:19:11Z,460000,False,-150.0,49.0,1,right,J. Allen 15' Jump Shot (2 PTS) (D. Wade 1 AST),"[1628386, 1629731]",1610612739.0,CLE,,,,Allen,J. Allen,,,,,Mid-Range,8-16 Left,15.74,Made,,,2.0,,,,,,D. Wade,1629731.0,1.0,,,,,,,
50,PT07M31.00S,2024-12-07T18:19:17.6Z,1,REGULAR,3pt,Jump Shot,[],1641706,31.35676741130092,28.676470588235293,1610612766,6,15,2024-12-07T18:24:36Z,480000,False,107.0,242.0,1,left,MISS B. Miller 26' pullup 3PT,[1641706],1610612766.0,CHA,pullup,,,Miller,B. Miller,,,,,Above the Break 3,24+ Right Center,26.47,Missed,,,,,,,,,,,,,,,,,,
51,PT07M27.00S,2024-12-07T18:19:21.6Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612739,6,15,2024-12-07T18:27:27Z,490000,False,,,0,,D. Mitchell REBOUND (Off:0 Def:2),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Right Center,,,50.0,,,,,,,,,,,,,2.0,2.0,0.0,,
52,PT07M19.00S,2024-12-07T18:19:28.7Z,1,REGULAR,3pt,Jump Shot,[],1629636,94.95729303547962,95.58823529411765,1610612739,6,15,2024-12-07T18:26:50Z,500000,False,228.0,-5.0,1,right,MISS D. Garland pullup 3PT,[1629636],1610612739.0,CLE,pullup,,,Garland,D. Garland,,,,,Right Corner 3,24+ Right,22.8,Missed,,,,,,,,,,,,,,,,,,
53,PT07M16.00S,2024-12-07T18:19:31.7Z,1,REGULAR,rebound,defensive,[],1628998,,,1610612766,6,15,2024-12-07T18:19:33Z,510000,False,,,0,,C. Martin REBOUND (Off:0 Def:1),[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,Right Corner 3,24+ Right,,,52.0,,,,,,,,,,,,,1.0,1.0,0.0,,
54,PT07M09.00S,2024-12-07T18:19:38.9Z,1,REGULAR,3pt,Jump Shot,[],1628998,30.56833114323259,28.431372549019606,1610612766,6,15,2024-12-07T18:19:44Z,520000,False,108.0,235.0,1,left,MISS C. Martin 25' 3PT,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,Above the Break 3,24+ Right Center,25.84,Missed,,,,,,,,,,,,,,,,,,
55,PT07M06.00S,2024-12-07T18:19:41.9Z,1,REGULAR,rebound,defensive,[],1629731,,,1610612739,6,15,2024-12-07T18:19:44Z,530000,False,,,0,,D. Wade REBOUND (Off:0 Def:1),[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,Above the Break 3,24+ Right Center,,,54.0,,,,,,,,,,,,,1.0,1.0,0.0,,
56,PT07M02.00S,2024-12-07T18:19:45.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628378,67.49342969776609,25.245098039215684,1610612739,6,15,2024-12-07T18:27:51Z,540000,False,-124.0,253.0,1,right,MISS D. Mitchell 28' running pullup 3PT,[1628378],1610612739.0,CLE,running pullup,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Left Center,28.18,Missed,,,,,,,,,,,,,,,,,,
57,PT07M00.00S,2024-12-07T18:19:47.7Z,1,REGULAR,rebound,defensive,[],203995,,,1610612766,6,15,2024-12-07T18:19:52Z,550000,False,,,0,,V. Micić REBOUND (Off:0 Def:1),[203995],1610612766.0,CHA,,,,Micić,V. Micić,,,,,Above the Break 3,24+ Left Center,,,56.0,,,,,,,,,,,,,1.0,1.0,0.0,,
58,PT06M46.00S,2024-12-07T18:20:01.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203995,10.068988173455978,49.754901960784316,1610612766,6,15,2024-12-07T21:15:46Z,560000,False,1.0,42.0,1,left,MISS V. Micić fadeaway Shot - blocked,"[203995, 1630596]",1610612766.0,CHA,fadeaway,,,Micić,V. Micić,,,,,Restricted Area,0-8 Center,4.21,Missed,,,,,,,,,,,,,,,,,Mobley,1630596.0
59,PT06M46.00S,2024-12-07T18:20:01.6Z,1,REGULAR,block,,[],1630596,,,1610612766,6,15,2024-12-07T18:20:04Z,570000,False,,,0,,E. Mobley BLOCK (1 BLK),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
60,PT06M43.00S,2024-12-07T18:20:04.6Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,6,15,2024-12-07T18:20:07Z,580000,False,,,0,,E. Mobley REBOUND (Off:0 Def:2),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,,,58.0,,,,,,,,,,,,,2.0,2.0,0.0,,
61,PT06M38.00S,2024-12-07T18:20:09.8Z,1,REGULAR,turnover,bad pass,[],1630596,,,1610612739,6,15,2024-12-07T18:20:16Z,590000,False,,,0,,E. Mobley bad pass TURNOVER (1 TO),"[1630596, 1630182]",1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,1.0,,,,Green,1630182.0,,,,,
62,PT06M38.00S,2024-12-07T18:20:09.8Z,1,REGULAR,steal,,[],1630182,,,1610612766,6,15,2024-12-07T18:20:11Z,600000,False,,,0,,J. Green STEAL (1 STL),[1630182],1610612766.0,CHA,,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
63,PT06M35.00S,2024-12-07T18:20:13.4Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630182,6.258212877792378,50.98039215686274,1610612766,8,15,2024-12-07T18:23:17Z,610000,False,-5.0,6.0,1,left,J. Green running DUNK (8 PTS),[1630182],1610612766.0,CHA,running,,,Green,J. Green,,,,,Restricted Area,0-8 Center,0.8,Made,,,8.0,,,,,,,,,,,,,,,
64,PT06M35.00S,2024-12-07T18:20:17.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612739,8,15,2024-12-07T18:20:17Z,620000,False,,,0,,CLE Timeout,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M35.00S,2024-12-07T18:22:37.9Z,1,REGULAR,substitution,out,[],201959,,,1610612739,8,15,2024-12-07T18:23:09Z,630000,False,,,0,,SUB out: T. Gibson,[201959],1610612766.0,CHA,,,,Gibson,T. Gibson,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M35.00S,2024-12-07T18:22:37.9Z,1,REGULAR,substitution,out,[],203995,,,1610612739,8,15,2024-12-07T18:23:09Z,640000,False,,,0,,SUB out: V. Micić,[203995],1610612766.0,CHA,,,,Micić,V. Micić,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M35.00S,2024-12-07T18:22:37.9Z,1,REGULAR,substitution,out,[],1628378,,,1610612739,8,15,2024-12-07T18:23:09Z,650000,False,,,0,,SUB out: D. Mitchell,[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M35.00S,2024-12-07T18:22:37.9Z,1,REGULAR,substitution,out,[],1630596,,,1610612739,8,15,2024-12-07T18:23:09Z,660000,False,,,0,,SUB out: E. Mobley,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M35.00S,2024-12-07T18:22:37.9Z,1,REGULAR,substitution,in,[],1642354,,,1610612739,8,15,2024-12-07T18:23:09Z,670000,False,,,0,,SUB in: K. Simpson,[1642354],1610612766.0,CHA,,,,Simpson,K. Simpson,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M35.00S,2024-12-07T18:22:37.9Z,1,REGULAR,substitution,in,[],1631109,,,1610612739,8,15,2024-12-07T18:23:09Z,680000,False,,,0,,SUB in: M. Williams,[1631109],1610612766.0,CHA,,,,Williams,M. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M35.00S,2024-12-07T18:22:37.9Z,1,REGULAR,substitution,in,[],1627777,,,1610612739,8,15,2024-12-07T18:23:09Z,690000,False,,,0,,SUB in: G. Niang,[1627777],1610612739.0,CLE,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M35.00S,2024-12-07T18:22:37.9Z,1,REGULAR,substitution,in,[],1627747,,,1610612739,8,15,2024-12-07T18:23:09Z,700000,False,,,0,,SUB in: C. LeVert,[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M19.00S,2024-12-07T18:23:30.9Z,1,REGULAR,2pt,Jump Shot,[],1629636,84.05059132720105,26.47058823529412,1610612739,8,17,2024-12-07T21:15:55Z,710000,False,-118.0,97.0,1,right,D. Garland 15' pullup bank Jump Shot (2 PTS) (D. Wade 2 AST),"[1629636, 1629731]",1610612739.0,CLE,pullup bank,,,Garland,D. Garland,,,,,Mid-Range,8-16 Left,15.27,Made,,,2.0,,,,,,D. Wade,1629731.0,2.0,,,,,,,
75,PT06M11.00S,2024-12-07T18:23:42.4Z,1,REGULAR,foul,personal,[],1629731,,,1610612766,8,17,2024-12-07T18:24:01Z,730000,False,,,0,,D. Wade personal FOUL (1 PF),"[1629731, 1628998]",1610612739.0,CLE,,,,Wade,D. Wade,,,,,Above the Break 3,24+ Left Center,,,,1155.0,,1.0,0.0,Martin,1628998.0,,,,,,,,,,,
77,PT05M57.00S,2024-12-07T18:24:11.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641706,15.456636005256241,47.30392156862745,1610612766,8,17,2024-12-07T18:29:52Z,750000,False,13.0,93.0,1,left,MISS B. Miller 9' turnaround fadeaway Shot,[1641706],1610612766.0,CHA,turnaround fadeaway,,,Miller,B. Miller,,,,,In The Paint (Non-RA),8-16 Center,9.38,Missed,,,,,,,,,,,,,,,,,,
78,PT05M54.00S,2024-12-07T18:24:14.7Z,1,REGULAR,rebound,defensive,[],1629636,,,1610612739,8,17,2024-12-07T18:24:15Z,760000,False,,,0,,D. Garland REBOUND (Off:0 Def:1),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,In The Paint (Non-RA),8-16 Center,,,77.0,,,,,,,,,,,,,1.0,1.0,0.0,,
79,PT05M43.00S,2024-12-07T18:24:26.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628386,87.20433639947439,48.77450980392157,1610612739,8,19,2024-12-07T18:30:20Z,770000,False,-6.0,68.0,1,right,J. Allen 6' floating Jump Shot (4 PTS) (G. Niang 1 AST),"[1628386, 1627777]",1610612739.0,CLE,floating,,,Allen,J. Allen,,,,,In The Paint (Non-RA),0-8 Center,6.81,Made,,,4.0,,,,,,G. Niang,1627777.0,1.0,,,,,,,
81,PT05M18.00S,2024-12-07T18:24:50.5Z,1,REGULAR,2pt,Jump Shot,[],1628998,9.017739816031538,22.794117647058822,1610612766,8,19,2024-12-07T18:30:56Z,790000,False,136.0,32.0,1,left,MISS C. Martin 13' pullup Shot,[1628998],1610612766.0,CHA,pullup,,,Martin,C. Martin,,,,,Mid-Range,8-16 Right,13.98,Missed,,,,,,,,,,,,,,,,,,
82,PT05M15.00S,2024-12-07T18:24:53.6Z,1,REGULAR,rebound,offensive,[],1630182,,,1610612766,8,19,2024-12-07T18:24:53Z,800000,False,,,0,,J. Green REBOUND (Off:1 Def:0),[1630182],1610612766.0,CHA,,,,Green,J. Green,,,,,Mid-Range,8-16 Right,,,81.0,,,,,,,,,,,,,1.0,0.0,1.0,,
83,PT05M14.00S,2024-12-07T18:24:55.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630182,12.565703022339028,48.03921568627451,1610612766,8,19,2024-12-07T18:32:22Z,810000,False,10.0,66.0,1,left,MISS J. Green 6' driving floating bank Shot,[1630182],1610612766.0,CHA,driving floating bank,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,6.63,Missed,,,,,,,,,,,,,,,,,,
84,PT05M12.00S,2024-12-07T18:24:57.1Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,8,19,2024-12-07T18:24:58Z,820000,False,,,0,,J. Allen REBOUND (Off:1 Def:2),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,In The Paint (Non-RA),0-8 Center,,,83.0,,,,,,,,,,,,,3.0,2.0,1.0,,
85,PT05M09.00S,2024-12-07T18:25:02.7Z,1,REGULAR,foul,personal,['2freethrow'],1642354,,,1610612739,8,19,2024-12-07T18:25:12Z,830000,False,,,0,,K. Simpson shooting personal FOUL (1 PF) (Garland 2 FT),"[1642354, 1629636]",1610612766.0,CHA,shooting,,,Simpson,K. Simpson,,,,,In The Paint (Non-RA),0-8 Center,,,,1155.0,,1.0,0.0,Garland,1629636.0,,,,,,,,,,,
87,PT05M09.00S,2024-12-07T18:25:25.2Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1629636,,,1610612739,8,20,2024-12-07T18:25:25Z,850000,False,,,0,,D. Garland Free Throw 1 of 2 (3 PTS),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,Made,,,3.0,,,,,,,,,,,,,,,
88,PT05M09.00S,2024-12-07T18:25:26.0Z,1,REGULAR,substitution,out,[],1630182,,,1610612739,8,20,2024-12-07T18:25:35Z,860000,False,,,0,,SUB out: J. Green,[1630182],1610612766.0,CHA,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
