actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,officialId,pointsTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-12-07T18:10:35.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-07T18:10:35Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-12-07T18:10:38.1Z,1,REGULAR,jumpball,recovered,[],203995,,,1610612766,0,0,2024-12-07T18:10:38Z,40000,False,,,0,,Jump Ball T. Gibson vs. J. Allen: Tip to V. Micić,"[203995, 201959, 1628386]",1610612766.0,CHA,startperiod,V. Micić,203995.0,Micić,V. Micić,Gibson,201959.0,Allen,1628386.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M33.00S,2024-12-07T18:11:01.7Z,1,REGULAR,2pt,Jump Shot,[],1641706,8.623521681997373,13.23529411764706,1610612766,0,0,2024-12-07T18:16:15Z,70000,False,184.0,29.0,1,left,MISS B. Miller 18' step back Shot,[1641706],1610612766.0,CHA,step back,,,Miller,B. Miller,,,,,Mid-Range,16-24 Right,18.6,Missed,,,,,,,,,,,,,,,,,,
8,PT11M33.00S,2024-12-07T18:11:01.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612766,0,0,2024-12-07T18:13:39Z,80000,False,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,Mid-Range,16-24 Right,,,7.0,,,,,,,,,,,,,,,,,
34,PT11M33.00S,2024-12-07T18:11:16.5Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612766,0,0,2024-12-07T18:15:15Z,90000,False,,,0,,CHA shot clock Team TURNOVER,[],1610612766.0,CHA,,,,,,,,,,Restricted Area,0-8 Center,,,,1146.0,,,,,,,,,,,,,,,,
10,PT11M17.00S,2024-12-07T18:11:31.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630596,92.9862023653088,50.245098039215684,1610612739,0,2,2024-12-07T18:17:04Z,100000,False,1.0,13.0,1,right,E. Mobley driving floating Jump Shot (2 PTS),[1630596],1610612739.0,CLE,driving floating,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,1.35,Made,,,2.0,,,,,,,,,,,,,,,
11,PT10M49.00S,2024-12-07T18:11:59.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628998,18.2161629434954,49.754901960784316,1610612766,0,2,2024-12-07T18:17:36Z,110000,False,1.0,119.0,1,left,MISS C. Martin 11' step back Shot,[1628998],1610612766.0,CHA,step back,,,Martin,C. Martin,,,,,In The Paint (Non-RA),8-16 Center,11.87,Missed,,,,,,,,,,,,,,,,,,
12,PT10M49.00S,2024-12-07T18:11:59.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612739,0,2,2024-12-07T18:13:14Z,120000,False,,,0,,TEAM defensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,11.0,,,,,,,,,,,,,,,,,
14,PT10M38.00S,2024-12-07T18:12:18.4Z,1,REGULAR,foul,personal,[],1628998,,,1610612739,0,2,2024-12-07T18:12:24Z,140000,False,,,0,,C. Martin personal FOUL (1 PF),"[1628998, 1628378]",1610612766.0,CHA,,,,Martin,C. Martin,,,,,Mid-Range,16-24 Left,,,,1146.0,,1.0,0.0,Mitchell,1628378.0,,,,,,,,,,,
40,PT10M35.00S,2024-12-07T18:12:53.3Z,1,REGULAR,turnover,out-of-bounds,[],1629636,,,1610612739,0,2,2024-12-07T18:17:42Z,165000,False,,,0,,D. Garland bad pass out-of-bounds TURNOVER (1 TO),[1629636],1610612739.0,CLE,bad pass,,,Garland,D. Garland,,,,,Restricted Area,0-8 Center,,,,1146.0,,,,,,1.0,,,,,,,,,,
