actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
548,PT07M39.00S,2024-11-16T21:59:39.3Z,4,REGULAR,rebound,defensive,[],1631217,,,1610612766,97,99,2024-11-16T22:00:54Z,5300000,False,,,0,,M. Diabaté REBOUND (Off:9 Def:4),[1631217],1610612766.0,CHA,,,,Diabaté,M. Diabaté,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,547.0,13.0,4.0,9.0,,
549,PT07M21.00S,2024-11-16T21:59:56.7Z,4,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628970,11.038107752956634,48.40686274509803,1610612766,97,99,2024-11-16T22:01:48Z,5310000,False,8.0,51.0,1,left,MISS M. Bridges driving floating Shot,[1628970],1610612766.0,CHA,driving floating,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),0-8 Center,5.19,Missed,,,,,,,,,,,,,,,,,,
550,PT07M20.00S,2024-11-16T21:59:57.7Z,4,REGULAR,rebound,defensive,[],201572,,,1610612749,97,99,2024-11-16T22:06:35Z,5320000,False,,,0,,B. Lopez REBOUND (Off:0 Def:3),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,549.0,3.0,3.0,0.0,,
582,PT07M19.00S,2024-11-16T22:00:03.1Z,4,REGULAR,turnover,lost ball,[],201572,,,1610612749,97,99,2024-11-16T22:06:40Z,5325000,False,,,0,,B. Lopez lost ball TURNOVER (1 TO),"[201572, 1628970]",1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,,,,,,,1.0,Bridges,1628970.0,,,,,,,,,,,
583,PT07M19.00S,2024-11-16T22:00:03.1Z,4,REGULAR,steal,,[],1628970,,,1610612766,97,99,2024-11-16T22:05:56Z,5327500,False,,,0,,M. Bridges STEAL (1 STL),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
551,PT07M08.00S,2024-11-16T22:00:09.6Z,4,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630182,7.703679369250986,48.28431372549019,1610612766,97,99,2024-11-16T22:05:56Z,5330000,False,9.0,20.0,1,left,MISS J. Green driving Layup,[1630182],1610612766.0,CHA,driving,,,Green,J. Green,,,,,Restricted Area,0-8 Center,2.17,Missed,,,,,,,,,,,,,,,,,,
552,PT07M06.00S,2024-11-16T22:00:11.6Z,4,REGULAR,rebound,offensive,[],1631217,,,1610612766,97,99,2024-11-16T22:02:31Z,5340000,False,,,0,,M. Diabaté REBOUND (Off:10 Def:4),[1631217],1610612766.0,CHA,,,,Diabaté,M. Diabaté,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,551.0,14.0,4.0,10.0,,
553,PT07M01.00S,2024-11-16T22:00:15.8Z,4,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance', 'fromturnover']",1630163,10.726018396846255,46.81372549019608,1610612766,97,99,2024-11-16T22:05:56Z,5350000,False,16.0,48.0,1,left,MISS L. Ball driving floating Shot,[1630163],1610612766.0,CHA,driving floating,,,Ball,L. Ball,,,,,In The Paint (Non-RA),0-8 Center,5.08,Missed,,,,,,,,,,,,,,,,,,
554,PT07M00.00S,2024-11-16T22:00:16.8Z,4,REGULAR,rebound,offensive,[],1630163,,,1610612766,97,99,2024-11-16T22:03:15Z,5360000,False,,,0,,L. Ball REBOUND (Off:2 Def:4),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,553.0,6.0,4.0,2.0,,
555,PT07M00.00S,2024-11-16T22:00:19.9Z,4,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1630163,5.590000152587891,50.0,1610612766,99,99,2024-11-16T22:05:56Z,5370000,False,0.0,0.0,1,left,L. Ball tip Layup (17 PTS),[1630163],1610612766.0,CHA,tip,,,Ball,L. Ball,,,,,Restricted Area,0-8 Center,0.0,Made,17.0,,,,,,,,,,,,,,,,,
