actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-01-20T17:13:46.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-20T17:13:46Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2025-01-20T17:13:51.4Z,1,REGULAR,jumpball,recovered,[],202681,,,1610612742,0,0,2025-01-20T17:13:51Z,40000,False,,,0,,Jump Ball D. Gafford vs. M. Williams: Tip to K. Irving,"[202681, 1629655, 1631109]",1610612742.0,DAL,startperiod,K. Irving,202681.0,Irving,K. Irving,Gafford,1629655.0,Williams,1631109.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M52.00S,2025-01-20T17:13:52.8Z,1,REGULAR,3pt,Jump Shot,[],202681,31.882391590013142,29.166666666666668,1610612742,0,3,2025-01-20T17:14:37Z,70000,False,104.0,247.0,1,left,K. Irving 26' 3PT pullup (3 PTS),[202681],1610612742.0,DAL,pullup,,,Irving,K. Irving,,,,,Above the Break 3,24+ Right Center,26.83,Made,3.0,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2025-01-20T17:14:11.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631109,87.86136662286465,48.03921568627451,1610612766,0,3,2025-01-20T17:15:01Z,80000,False,-10.0,62.0,1,right,MISS M. Williams 6' floating Shot,[1631109],1610612766.0,CHA,floating,,,Williams,M. Williams,,,,,In The Paint (Non-RA),0-8 Center,6.24,Missed,,,,,,,,,,,,,,,,,,
9,PT11M30.00S,2025-01-20T17:14:14.9Z,1,REGULAR,rebound,offensive,[],1631109,,,1610612766,0,3,2025-01-20T17:14:14Z,90000,False,,,0,,M. Williams REBOUND (Off:1 Def:0),[1631109],1610612766.0,CHA,,,,Williams,M. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,8.0,1.0,0.0,1.0,,,,,,,,,,,,,
10,PT11M30.00S,2025-01-20T17:14:14.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631109,94.40999984741211,50.0,1610612766,0,3,2025-01-20T17:14:14Z,100000,False,0.0,0.0,1,right,MISS M. Williams tip Layup,[1631109],1610612766.0,CHA,tip,,,Williams,M. Williams,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
11,PT11M28.00S,2025-01-20T17:14:17.0Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612742,0,3,2025-01-20T17:14:17Z,110000,False,,,0,,D. Gafford REBOUND (Off:0 Def:1),[1629655],1610612742.0,DAL,,,,Gafford,D. Gafford,,,,,Mid-Range,8-16 Left,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,
12,PT11M18.00S,2025-01-20T17:14:29.5Z,1,REGULAR,foul,personal,['2freethrow'],1631109,,,1610612742,0,3,2025-01-20T17:14:56Z,120000,False,,,0,,M. Williams shooting personal FOUL (1 PF) (Gafford 2 FT),"[1631109, 1629655]",1610612766.0,CHA,shooting,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,1628951.0,1.0,0.0,Gafford,1629655.0,,,,,,,,
14,PT11M18.00S,2025-01-20T17:14:57.8Z,1,REGULAR,freethrow,1 of 2,[],1629655,,,1610612742,0,4,2025-01-20T17:14:57Z,140000,False,,,0,,D. Gafford Free Throw 1 of 2 (1 PTS),[1629655],1610612742.0,DAL,,,,Gafford,D. Gafford,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
15,PT11M18.00S,2025-01-20T17:15:16.6Z,1,REGULAR,freethrow,2 of 2,[],1629655,,,1610612742,0,5,2025-01-20T17:15:16Z,150000,False,,,0,,D. Gafford Free Throw 2 of 2 (2 PTS),[1629655],1610612742.0,DAL,,,,Gafford,D. Gafford,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
