actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-12-17T00:10:29.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-17T00:10:29Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-12-17T00:10:32.3Z,1,REGULAR,jumpball,recovered,[],1626162,,,1610612755,0,0,2024-12-17T00:10:32Z,40000,False,,,0,,Jump Ball A. Drummond vs. M. Williams: Tip to K. Oubre Jr.,"[1626162, 203083, 1631109]",1610612755.0,PHI,startperiod,K. Oubre Jr.,1626162.0,Oubre Jr.,K. Oubre Jr.,Drummond,203083.0,Williams,1631109.0,,,,,,,,,,,,,,,,,,,,,,
11,PT11M56.00S,2024-12-17T00:10:52.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626162,11.777266754270697,62.5,1610612755,0,2,2024-12-17T00:16:03Z,75000,False,-62.0,58.0,1,left,K. Oubre Jr. 8' pullup Jump Shot (2 PTS),[1626162],1610612755.0,PHI,pullup,,,Oubre Jr.,K. Oubre Jr.,,,,,In The Paint (Non-RA),8-16 Left,8.54,Made,2.0,,,,,,,,,,,,,,,,,
9,PT11M35.00S,2024-12-17T00:11:12.0Z,1,REGULAR,3pt,Jump Shot,[],1641706,90.3580814717477,2.696078431372549,1610612766,0,2,2024-12-17T00:11:30Z,90000,False,-237.0,38.0,1,right,MISS B. Miller 3PT,[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Left Corner 3,24+ Left,23.95,Missed,,,,,,,,,,,,,,,,,,
10,PT11M32.00S,2024-12-17T00:11:14.8Z,1,REGULAR,rebound,defensive,[],203083,,,1610612755,0,2,2024-12-17T00:11:14Z,100000,False,,,0,,A. Drummond REBOUND (Off:0 Def:1),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,Left Corner 3,24+ Left,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,
13,PT11M25.00S,2024-12-17T00:11:21.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202331,15.588042049934298,50.0,1610612755,0,4,2024-12-17T00:11:33Z,110000,False,0.0,94.0,1,left,P. George 9' pullup Jump Shot (2 PTS),[202331],1610612755.0,PHI,pullup,,,George,P. George,,,,,In The Paint (Non-RA),8-16 Center,9.4,Made,2.0,,,,,,,,,,,,,,,,,
14,PT11M03.00S,2024-12-17T00:11:43.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628970,92.85479632063075,52.94117647058824,1610612766,0,4,2024-12-17T00:11:47Z,120000,False,15.0,15.0,1,right,MISS M. Bridges driving finger roll Layup,[1628970],1610612766.0,CHA,driving finger roll,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,2.08,Missed,,,,,,,,,,,,,,,,,,
15,PT11M01.00S,2024-12-17T00:11:45.5Z,1,REGULAR,rebound,defensive,[],203083,,,1610612755,0,4,2024-12-17T00:11:45Z,130000,False,,,0,,A. Drummond REBOUND (Off:0 Def:2),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,Restricted Area,0-8 Center,,,,14.0,2.0,2.0,0.0,,,,,,,,,,,,,
16,PT10M53.00S,2024-12-17T00:11:53.7Z,1,REGULAR,3pt,Jump Shot,[],1630178,37.40144546649146,53.67647058823529,1610612755,0,7,2024-12-17T00:11:57Z,140000,False,-18.0,299.0,1,left,T. Maxey 29' 3PT  (3 PTS) (P. George 1 AST),"[1630178, 202331]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Center,29.97,Made,3.0,,,,,P. George,202331.0,1.0,,,,,,,,,,
18,PT10M34.00S,2024-12-17T00:12:12.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631109,93.11760840998686,49.01960784313725,1610612766,2,7,2024-12-17T00:12:17Z,160000,False,-5.0,12.0,1,right,M. Williams alley-oop Layup (2 PTS) (L. Ball 1 AST),"[1631109, 1630163]",1610612766.0,CHA,alley-oop,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,1.31,Made,2.0,,,,,L. Ball,1630163.0,1.0,,,,,,,,,,
