actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2024-11-07T00:10:37.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-07T00:10:37Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2024-11-07T00:10:42.0Z,1,REGULAR,jumpball,recovered,[],1630182,,,1610612766,0,0,2024-11-07T00:10:42Z,40000,False,,,0,,Jump Ball T. Gibson vs. J. Duren: Tip to J. Green,"[1630182, 201959, 1631105]",1610612766.0,CHA,startperiod,J. Green,1630182.0,Green,J. Green,Gibson,201959.0,Duren,1631105.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2024-11-07T00:11:03.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201959,90.75229960578186,51.225490196078425,1610612766,0,0,2024-11-07T00:12:43Z,70000,False,6.0,34.0,1,right,MISS T. Gibson cutting Layup - blocked,"[201959, 202699]",1610612766.0,CHA,cutting,,,Gibson,T. Gibson,,,,,Restricted Area,0-8 Center,3.49,Missed,Harris,202699.0,,,,,,,,,,,,,,,,
8,PT11M38.00S,2024-11-07T00:11:03.6Z,1,REGULAR,block,,[],202699,,,1610612766,0,0,2024-11-07T00:11:07Z,80000,False,,,0,,T. Harris BLOCK (1 BLK),[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M35.00S,2024-11-07T00:11:06.6Z,1,REGULAR,rebound,offensive,[],1630163,,,1610612766,0,0,2024-11-07T00:12:43Z,90000,False,,,0,,L. Ball REBOUND (Off:1 Def:0),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Restricted Area,0-8 Center,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,
10,PT11M32.00S,2024-11-07T00:11:09.6Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1630163,95.6143232588699,75.49019607843137,1610612766,2,0,2024-11-07T00:13:03Z,100000,False,127.0,-11.0,1,right,L. Ball 12' floating Jump Shot (2 PTS),[1630163],1610612766.0,CHA,floating,,,Ball,L. Ball,,,,,Mid-Range,8-16 Right,12.8,Made,,,,,,,2.0,,,,,,,,,,,
11,PT11M11.00S,2024-11-07T00:11:25.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630595,17.296320630749015,64.2156862745098,1610612765,2,0,2024-11-07T00:11:29Z,110000,False,-71.0,110.0,1,left,MISS C. Cunningham 13' pullup Shot,[1630595],1610612765.0,DET,pullup,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),8-16 Left,13.11,Missed,,,,,,,,,,,,,,,,,,
12,PT11M08.00S,2024-11-07T00:11:28.0Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,2,0,2024-11-07T00:11:29Z,120000,False,,,0,,L. Ball REBOUND (Off:1 Def:1),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,In The Paint (Non-RA),8-16 Left,,,,,11.0,2.0,1.0,1.0,,,,,,,,,,,,
13,PT11M03.00S,2024-11-07T00:11:32.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1641706,72.88107752956637,16.911764705882355,1610612766,2,0,2024-11-07T00:13:53Z,130000,False,-165.0,202.0,1,right,MISS B. Miller 26' running 3PT,[1641706],1610612766.0,CHA,running,,,Miller,B. Miller,,,,,Above the Break 3,24+ Left Center,26.14,Missed,,,,,,,,,,,,,,,,,,
14,PT10M58.00S,2024-11-07T00:11:37.8Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,2,0,2024-11-07T00:11:41Z,140000,False,,,0,,J. Duren REBOUND (Off:0 Def:1),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Above the Break 3,24+ Left Center,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,
