actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-12-31T00:10:31.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-31T00:10:31Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2024-12-31T00:10:32.0Z,1,REGULAR,jumpball,recovered,[],203995,,,1610612766,0,0,2024-12-31T00:10:32Z,40000,False,,,0,,Jump Ball M. Williams vs. N. Vučević: Tip to V. Micić,"[203995, 1631109, 202696]",1610612766.0,CHA,startperiod,V. Micić,203995.0,Micić,V. Micić,Williams,1631109.0,Vučević,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2024-12-31T00:10:37.3Z,1,REGULAR,turnover,lost ball,[],1628970,,,1610612766,0,0,2024-12-31T00:10:43Z,70000,False,,,0,,M. Bridges lost ball TURNOVER (1 TO),"[1628970, 1630581]",1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),0-8 Center,1.0,Giddey,1630581.0,,,,,,,,,,,,,,,,,
8,PT11M47.00S,2024-12-31T00:10:37.3Z,1,REGULAR,steal,,[],1630581,,,1610612741,0,0,2024-12-31T00:10:39Z,80000,False,,,0,,J. Giddey STEAL (1 STL),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M44.00S,2024-12-31T00:10:42.6Z,1,REGULAR,foul,personal,['2freethrow'],1631109,,,1610612741,0,0,2024-12-31T00:11:04Z,90000,False,,,0,,M. Williams shooting personal FOUL (1 PF) (Phillips 2 FT),"[1631109, 1641763]",1610612766.0,CHA,shooting,,,Williams,M. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,1627962.0,1.0,0.0,Phillips,1641763.0,,,,,,,,,,,,
11,PT11M44.00S,2024-12-31T00:11:08.3Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1641763,,,1610612741,0,1,2024-12-31T00:11:08Z,110000,False,,,0,,J. Phillips Free Throw 1 of 2 (1 PTS),[1641763],1610612741.0,CHI,,,,Phillips,J. Phillips,,,,,,,,,,,,,,,Made,1.0,,,,,,,,,,
12,PT11M44.00S,2024-12-31T00:11:21.5Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1641763,,,1610612741,0,2,2024-12-31T00:11:21Z,120000,False,,,0,,J. Phillips Free Throw 2 of 2 (2 PTS),[1641763],1610612741.0,CHI,,,,Phillips,J. Phillips,,,,,,,,,,,,,,,Made,2.0,,,,,,,,,,
13,PT11M31.00S,2024-12-31T00:11:35.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628970,7.440867279894875,48.77450980392157,1610612766,0,2,2024-12-31T00:11:41Z,130000,False,6.0,17.0,1,left,MISS M. Bridges driving Layup,[1628970],1610612766.0,CHA,driving,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,,,,,,,,,Missed,,1.84,,,,,,,,,
14,PT11M26.00S,2024-12-31T00:11:40.9Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,0,2,2024-12-31T00:15:45Z,140000,False,,,0,,N. Vučević REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,
15,PT11M22.00S,2024-12-31T00:11:49.3Z,1,REGULAR,violation,kicked ball,[],1631109,,,1610612741,0,2,2024-12-31T00:11:53Z,150000,False,,,0,,M. Williams kicked ball VIOLATION,[1631109],1610612766.0,CHA,,,,Williams,M. Williams,,,,,,,,,,1627962.0,,,,,,,,,,,,,,,,
16,PT11M10.00S,2024-12-31T00:12:12.9Z,1,REGULAR,3pt,Jump Shot,[],1629632,64.73390275952694,57.84313725490197,1610612741,0,2,2024-12-31T00:12:18Z,160000,False,39.0,279.0,1,right,MISS C. White 28' 3PT,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,Above the Break 3,24+ Center,,,,,,,,,Missed,,28.17,,,,,,,,,
17,PT11M07.00S,2024-12-31T00:12:15.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612766,0,2,2024-12-31T00:12:18Z,170000,False,,,0,,TEAM defensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,16.0,,,,,,,,
19,PT10M56.00S,2024-12-31T00:12:38.9Z,1,REGULAR,2pt,Jump Shot,[],203995,20.97568988173456,44.6078431372549,1610612766,0,2,2024-12-31T00:12:44Z,190000,False,27.0,145.0,1,left,MISS V. Micić 14' driving floating Shot,[203995],1610612766.0,CHA,driving floating,,,Micić,V. Micić,,,,,Mid-Range,8-16 Center,,,,,,,,,Missed,,14.72,,,,,,,,,
20,PT10M54.00S,2024-12-31T00:12:41.2Z,1,REGULAR,rebound,offensive,[],1630182,,,1610612766,0,2,2024-12-31T00:12:41Z,200000,False,,,0,,J. Green REBOUND (Off:1 Def:0),[1630182],1610612766.0,CHA,,,,Green,J. Green,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,19.0,1.0,0.0,1.0,,,,,
21,PT10M52.00S,2024-12-31T00:12:43.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203552,29.6484888304862,77.45098039215686,1610612766,3,2,2024-12-31T00:12:48Z,210000,False,-137.0,226.0,1,left,S. Curry 26' 3PT  (3 PTS) (M. Bridges 1 AST),"[203552, 1628970]",1610612766.0,CHA,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Left Center,,,,,,,,,Made,3.0,26.46,,,,,M. Bridges,1628970.0,1.0,,
23,PT10M38.00S,2024-12-31T00:12:56.2Z,1,REGULAR,3pt,Jump Shot,[],1630172,71.69842312746385,18.137254901960784,1610612741,3,5,2024-12-31T00:13:43Z,230000,False,-159.0,214.0,1,right,P. Williams 26' 3PT pullup (3 PTS) (N. Vučević 1 AST),"[1630172, 202696]",1610612741.0,CHI,pullup,,,Williams,P. Williams,,,,,Above the Break 3,24+ Left Center,,,,,,,,,Made,3.0,26.64,,,,,N. Vučević,202696.0,1.0,,
24,PT10M32.00S,2024-12-31T00:13:14.2Z,1,REGULAR,foul,personal,[],1629632,,,1610612766,3,5,2024-12-31T00:13:30Z,240000,False,,,0,,C. White personal FOUL (1 PF),"[1629632, 203552]",1610612741.0,CHI,,,,White,C. White,,,,,Above the Break 3,24+ Right Center,,,,1628168.0,1.0,0.0,Curry,203552.0,,,,,,,,,,,,
27,PT10M14.00S,2024-12-31T00:13:52.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628970,16.376478318002626,64.2156862745098,1610612766,3,5,2024-12-31T00:13:58Z,270000,False,-71.0,101.0,1,left,MISS M. Bridges 12' driving floating Shot,[1628970],1610612766.0,CHA,driving floating,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,Missed,,12.38,,,,,,,,,
28,PT10M08.00S,2024-12-31T00:13:58.0Z,1,REGULAR,rebound,defensive,[],1629632,,,1610612741,3,5,2024-12-31T00:13:58Z,280000,False,,,0,,C. White REBOUND (Off:0 Def:1),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,27.0,1.0,1.0,0.0,,,,,
29,PT10M05.00S,2024-12-31T00:13:59.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629632,93.11760840998686,53.431372549019606,1610612741,3,7,2024-12-31T00:14:04Z,290000,False,17.0,12.0,1,right,C. White running Layup (2 PTS),[1629632],1610612741.0,CHI,running,,,White,C. White,,,,,Restricted Area,0-8 Center,,,,,,,,,Made,2.0,2.11,,,,,,,,,
30,PT09M53.00S,2024-12-31T00:14:12.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203552,16.376478318002626,43.38235294117647,1610612766,3,7,2024-12-31T00:14:17Z,300000,False,33.0,101.0,1,left,MISS S. Curry 10' driving floating Shot,[203552],1610612766.0,CHA,driving floating,,,Curry,S. Curry,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,Missed,,10.67,,,,,,,,,
31,PT09M51.00S,2024-12-31T00:14:14.8Z,1,REGULAR,rebound,offensive,[],203552,,,1610612766,3,7,2024-12-31T00:14:14Z,310000,False,,,0,,S. Curry REBOUND (Off:1 Def:0),[203552],1610612766.0,CHA,,,,Curry,S. Curry,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,30.0,1.0,0.0,1.0,,,,,
32,PT09M49.00S,2024-12-31T00:14:15.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203552,7.966491458607096,47.794117647058826,1610612766,5,7,2024-12-31T00:15:36Z,320000,False,11.0,22.0,1,left,S. Curry tip Layup (5 PTS),[203552],1610612766.0,CHA,tip,,,Curry,S. Curry,,,,,Restricted Area,0-8 Center,,,,,,,,,Made,5.0,2.5,,,,,,,,,
33,PT09M42.00S,2024-12-31T00:14:23.4Z,1,REGULAR,3pt,Jump Shot,[],1630172,68.15045992115637,20.098039215686274,1610612741,5,7,2024-12-31T00:14:28Z,330000,False,-150.0,247.0,1,right,MISS P. Williams 28' 3PT,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Left Center,,,,,,,,,Missed,,28.86,,,,,,,,,
34,PT09M39.00S,2024-12-31T00:14:26.4Z,1,REGULAR,rebound,defensive,[],203995,,,1610612766,5,7,2024-12-31T00:14:28Z,340000,False,,,0,,V. Micić REBOUND (Off:0 Def:1),[203995],1610612766.0,CHA,,,,Micić,V. Micić,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,33.0,1.0,1.0,0.0,,,,,
35,PT09M30.00S,2024-12-31T00:14:35.5Z,1,REGULAR,3pt,Jump Shot,[],203552,30.042706964520367,20.833333333333336,1610612766,8,7,2024-12-31T00:14:39Z,350000,False,146.0,230.0,1,left,S. Curry 27' 3PT pullup (8 PTS),[203552],1610612766.0,CHA,pullup,,,Curry,S. Curry,,,,,Above the Break 3,24+ Right Center,,,,,,,,,Made,8.0,27.22,,,,,,,,,
36,PT09M22.00S,2024-12-31T00:14:44.1Z,1,REGULAR,3pt,Jump Shot,[],1630581,68.15045992115637,64.2156862745098,1610612741,8,7,2024-12-31T00:14:48Z,360000,False,71.0,247.0,1,right,MISS J. Giddey 25' pullup 3PT,[1630581],1610612741.0,CHI,pullup,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Center,,,,,,,,,Missed,,25.69,,,,,,,,,
37,PT09M19.00S,2024-12-31T00:14:46.4Z,1,REGULAR,rebound,defensive,[],1631109,,,1610612766,8,7,2024-12-31T00:14:46Z,370000,False,,,0,,M. Williams REBOUND (Off:0 Def:1),[1631109],1610612766.0,CHA,,,,Williams,M. Williams,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,36.0,1.0,1.0,0.0,,,,,
38,PT09M10.00S,2024-12-31T00:14:55.7Z,1,REGULAR,2pt,Jump Shot,[],203552,19.004599211563733,73.77450980392157,1610612766,10,7,2024-12-31T00:14:59Z,380000,False,-119.0,126.0,1,left,S. Curry 17' driving floating Jump Shot (10 PTS),[203552],1610612766.0,CHA,driving floating,,,Curry,S. Curry,,,,,Mid-Range,16-24 Left Center,,,,,,,,,Made,10.0,17.33,,,,,,,,,
39,PT08M52.00S,2024-12-31T00:15:13.4Z,1,REGULAR,3pt,Jump Shot,[],1629632,69.07030223390277,25.0,1610612741,10,7,2024-12-31T00:15:18Z,390000,False,-125.0,238.0,1,right,MISS C. White 26' 3PT,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,Above the Break 3,24+ Left Center,,,,,,,,,Missed,,26.9,,,,,,,,,
40,PT08M49.00S,2024-12-31T00:15:16.4Z,1,REGULAR,rebound,defensive,[],203995,,,1610612766,10,7,2024-12-31T00:15:18Z,400000,False,,,0,,V. Micić REBOUND (Off:0 Def:2),[203995],1610612766.0,CHA,,,,Micić,V. Micić,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,39.0,2.0,2.0,0.0,,,,,
41,PT08M40.00S,2024-12-31T00:15:27.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203552,6.258212877792378,53.92156862745098,1610612766,12,7,2024-12-31T00:15:30Z,410000,False,-20.0,6.0,1,left,S. Curry driving Layup (12 PTS) (M. Bridges 2 AST),"[203552, 1628970]",1610612766.0,CHA,driving,,,Curry,S. Curry,,,,,Restricted Area,0-8 Center,,,,,,,,,Made,12.0,2.06,,,,,M. Bridges,1628970.0,2.0,,
42,PT08M40.00S,2024-12-31T00:15:38.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,12,7,2024-12-31T00:15:38Z,420000,False,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT08M16.00S,2024-12-31T00:18:45.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630172,90.62089356110381,55.88235294117647,1610612741,12,7,2024-12-31T00:19:10Z,430000,False,29.0,36.0,1,right,MISS P. Williams driving floating Shot - blocked,"[1630172, 1631109]",1610612741.0,CHI,driving floating,,,Williams,P. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,Missed,,4.62,,,,,,,,Williams,1631109.0
46,PT08M16.00S,2024-12-31T00:18:45.8Z,1,REGULAR,block,,[],1631109,,,1610612741,12,7,2024-12-31T00:18:48Z,440000,False,,,0,,M. Williams BLOCK (1 BLK),[1631109],1610612766.0,CHA,,,,Williams,M. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
47,PT08M16.00S,2024-12-31T00:18:45.8Z,1,REGULAR,rebound,offensive,[],1630172,,,1610612741,12,7,2024-12-31T00:19:01Z,450000,False,,,0,,P. Williams REBOUND (Off:1 Def:0),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,45.0,1.0,0.0,1.0,,,,,
48,PT08M16.00S,2024-12-31T00:18:50.7Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612741,12,7,2024-12-31T00:18:57Z,460000,False,,,0,,CHI shot clock Team TURNOVER,[],1610612741.0,CHI,,,,,,,,,,Restricted Area,0-8 Center,,,,203593.0,,,,,,,,,,,,,,,,
