actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-11-23T01:11:08.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-23T01:11:08Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-11-23T01:11:11.0Z,1,REGULAR,jumpball,recovered,[],1631101,,,1610612757,0,0,2024-11-23T01:11:11Z,40000,False,,,0,,Jump Ball D. Clingan vs. A. Sengun: Tip to S. Sharpe,"[1631101, 1642270, 1630578]",1610612757.0,POR,startperiod,S. Sharpe,1631101.0,Sharpe,S. Sharpe,Clingan,1642270.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2024-11-23T01:11:24.6Z,1,REGULAR,3pt,Jump Shot,[],1641739,23.603810775295663,12.5,1610612757,0,0,2024-11-23T01:11:29Z,70000,False,188.0,169.0,1,left,MISS T. Camara 25' 3PT,[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Above the Break 3,24+ Right Center,25.27,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2024-11-23T01:11:26.6Z,1,REGULAR,rebound,defensive,[],1628415,,,1610612745,0,0,2024-11-23T01:11:29Z,80000,False,,,0,,D. Brooks REBOUND (Off:0 Def:1),[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M30.00S,2024-11-23T01:11:37.9Z,1,REGULAR,turnover,out-of-bounds,[],1630578,,,1610612745,0,0,2024-11-23T01:11:54Z,90000,False,,,0,,A. Sengun bad pass out-of-bounds TURNOVER (1 TO),[1630578],1610612745.0,HOU,bad pass,,,Sengun,A. Sengun,,,,,Above the Break 3,24+ Left Center,,,,,,,202901.0,1.0,,,,,,,,,,,,
10,PT11M11.00S,2024-11-23T01:12:10.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1642270,7.835085413929041,53.92156862745098,1610612757,0,0,2024-11-23T01:12:43Z,100000,False,-20.0,21.0,1,left,MISS D. Clingan Layup,[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Restricted Area,0-8 Center,2.88,Missed,,,,,,,,,,,,,,,,,,
11,PT11M09.00S,2024-11-23T01:12:12.0Z,1,REGULAR,rebound,offensive,[],1642270,,,1610612757,0,0,2024-11-23T01:12:15Z,110000,False,,,0,,D. Clingan REBOUND (Off:1 Def:0),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Restricted Area,0-8 Center,,,10.0,1.0,0.0,1.0,,,,,,,,,,,,,,
12,PT11M04.00S,2024-11-23T01:12:17.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1631101,32.40801576872536,73.2843137254902,1610612757,0,3,2024-11-23T01:12:23Z,120000,False,-116.0,252.0,1,left,S. Sharpe 27' 3PT step back (3 PTS),[1631101],1610612757.0,POR,step back,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Left Center,27.77,Made,,,,,,,3.0,,,,,,,,,,,
13,PT10M44.00S,2024-11-23T01:12:36.7Z,1,REGULAR,turnover,bad pass,[],1630578,,,1610612745,0,3,2024-11-23T01:12:40Z,130000,False,,,0,,A. Sengun bad pass TURNOVER (2 TO),"[1630578, 1629014]",1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,2.0,,Simons,1629014.0,,,,,,,,,
14,PT10M44.00S,2024-11-23T01:12:36.7Z,1,REGULAR,steal,,[],1629014,,,1610612757,0,3,2024-11-23T01:12:38Z,140000,False,,,0,,A. Simons STEAL (1 STL),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
