actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
19,PT10M48.00S,2025-02-22T02:46:14.3Z,1,REGULAR,turnover,offensive foul,[],1630578,,,1610612745,5,5,2025-02-22T02:46:14Z,190000,False,,,0,,A. Sengun offensive foul TURNOVER (1 TO),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Mid-Range,16-24 Right Center,,,,202007.0,,,,,,,,1.0,,,,,,,,
21,PT10M28.00S,2025-02-22T02:46:48.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630162,73.40670170827858,15.686274509803921,1610612750,5,5,2025-02-22T02:46:55Z,200000,False,-172.0,197.0,1,right,MISS A. Edwards 26' step back 3PT,[1630162],1610612750.0,MIN,step back,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Left Center,26.16,Missed,,,,,,,,,,,,,,,,,,
22,PT10M28.00S,2025-02-22T02:46:48.2Z,1,REGULAR,rebound,defensive,[],1628415,,,1610612745,5,5,2025-02-22T02:46:55Z,210000,False,,,0,,D. Brooks REBOUND (Off:0 Def:1),[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,21.0,1.0,1.0,0.0,,,,
23,PT10M10.00S,2025-02-22T02:47:08.9Z,1,REGULAR,foul,personal,['2freethrow'],1629675,,,1610612745,5,5,2025-02-22T02:47:20Z,220000,False,,,0,,N. Reid shooting personal FOUL (1 PF) (Sengun 2 FT),"[1629675, 1630578]",1610612750.0,MIN,shooting,,,Reid,N. Reid,,,,,Restricted Area,0-8 Center,,,,1627534.0,1.0,0.0,Sengun,1630578.0,,,,,,,,,,,,
25,PT10M10.00S,2025-02-22T02:47:40.2Z,1,REGULAR,freethrow,1 of 2,[],1630578,,,1610612745,6,5,2025-02-22T02:47:40Z,240000,False,,,0,,A. Sengun Free Throw 1 of 2 (3 PTS),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
26,PT10M10.00S,2025-02-22T02:47:55.6Z,1,REGULAR,freethrow,2 of 2,[],1630578,,,1610612745,7,5,2025-02-22T02:47:55Z,250000,False,,,0,,A. Sengun Free Throw 2 of 2 (4 PTS),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
27,PT09M57.00S,2025-02-22T02:48:10.0Z,1,REGULAR,3pt,Jump Shot,[],1629638,68.54467805519053,66.17647058823529,1610612750,7,8,2025-02-22T02:48:14Z,260000,False,81.0,243.0,1,right,N. Alexander-Walker 25' 3PT  (3 PTS) (J. McDaniels 1 AST),"[1629638, 1630183]",1610612750.0,MIN,,,,Alexander-Walker,N. Alexander-Walker,,,,,Above the Break 3,24+ Right Center,25.63,Made,3.0,,,,,,J. McDaniels,1630183.0,1.0,,,,,,,,,
29,PT09M43.00S,2025-02-22T02:48:23.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630578,19.530223390275953,49.01960784313725,1610612745,7,8,2025-02-22T02:48:36Z,280000,False,5.0,131.0,1,left,MISS A. Sengun 13' Jump Shot,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),8-16 Center,13.12,Missed,,,,,,,,,,,,,,,,,,
30,PT09M42.00S,2025-02-22T02:48:24.9Z,1,REGULAR,rebound,defensive,[],1630183,,,1610612750,7,8,2025-02-22T02:48:36Z,290000,False,,,0,,J. McDaniels REBOUND (Off:0 Def:1),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,29.0,1.0,1.0,0.0,,,,
31,PT09M30.00S,2025-02-22T02:48:36.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629675,87.72996057818659,37.00980392156863,1610612750,7,8,2025-02-22T02:48:42Z,300000,False,-65.0,63.0,1,right,MISS N. Reid 9' driving floating Shot - blocked,"[1629675, 1631106]",1610612750.0,MIN,driving floating,,,Reid,N. Reid,,,,,In The Paint (Non-RA),8-16 Left,9.04,Missed,,,,,,,,,,,,,,,Eason,1631106.0,,
