actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-01-14T01:11:30.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-14T01:11:30Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-01-14T01:11:33.7Z,1,REGULAR,jumpball,recovered,[],1628991,,,1610612763,0,0,2025-01-14T01:11:33Z,40000,False,,,0,,Jump Ball Z. Edey vs. A. Sengun: Tip to J. Jackson Jr.,"[1628991, 1641744, 1630578]",1610612763.0,MEM,startperiod,J. Jackson Jr.,1628991.0,Jackson Jr.,J. Jackson Jr.,Edey,1641744.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2025-01-14T01:11:45.0Z,1,REGULAR,3pt,Jump Shot,[],1629630,66.96780551905388,37.00980392156863,1610612763,0,3,2025-01-14T01:11:49Z,70000,False,-65.0,258.0,1,right,J. Morant 26' 3PT pullup (3 PTS),[1629630],1610612763.0,MEM,pullup,,,Morant,J. Morant,,,,,Above the Break 3,24+ Center,26.61,Made,3.0,,,,,,,,,,,,,,,,,
8,PT11M23.00S,2025-01-14T01:12:08.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641708,5.863994743758213,53.18627450980392,1610612745,0,3,2025-01-14T01:12:23Z,80000,False,-16.0,3.0,1,left,MISS A. Thompson driving reverse Layup,[1641708],1610612745.0,HOU,driving reverse,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,1.61,Missed,,,,,,,,,,,,,,,,,,
9,PT11M23.00S,2025-01-14T01:12:08.5Z,1,REGULAR,rebound,defensive,[],1641744,,,1610612763,0,3,2025-01-14T01:12:23Z,90000,False,,,0,,Z. Edey REBOUND (Off:0 Def:1),[1641744],1610612763.0,MEM,,,,Edey,Z. Edey,,,,,Restricted Area,0-8 Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M17.00S,2025-01-14T01:12:12.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630217,93.64323258869908,5.392156862745098,1610612763,0,6,2025-01-14T01:12:33Z,100000,False,-223.0,7.0,1,right,D. Bane 3PT running (3 PTS) (J. Morant 1 AST),"[1630217, 1629630]",1610612763.0,MEM,running,,,Bane,D. Bane,,,,,Left Corner 3,24+ Left,22.31,Made,3.0,,,,,J. Morant,1629630.0,1.0,,,,,,,,,,
12,PT11M02.00S,2025-01-14T01:12:31.6Z,1,REGULAR,foul,personal,[],1641744,,,1610612745,0,6,2025-01-14T01:12:42Z,120000,False,,,0,,Z. Edey personal FOUL (1 PF),"[1641744, 1630578]",1610612763.0,MEM,,,,Edey,Z. Edey,,,,,Mid-Range,16-24 Center,,,,,,,,,,,1146.0,1.0,0.0,Sengun,1630578.0,,,,,
14,PT10M52.00S,2025-01-14T01:12:55.3Z,1,REGULAR,3pt,Jump Shot,[],1641708,3.7614980289093296,94.36274509803921,1610612745,3,6,2025-01-14T01:13:00Z,140000,False,-222.0,-17.0,1,left,A. Thompson 3PT  (3 PTS) (F. VanVleet 1 AST),"[1641708, 1627832]",1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,Left Corner 3,24+ Left,22.25,Made,3.0,,,,,F. VanVleet,1627832.0,1.0,,,,,,,,,,
16,PT10M32.00S,2025-01-14T01:13:14.8Z,1,REGULAR,3pt,Jump Shot,[],1641744,94.03745072273325,95.09803921568627,1610612763,3,6,2025-01-14T01:13:20Z,160000,False,225.0,4.0,1,right,MISS Z. Edey 3PT,[1641744],1610612763.0,MEM,,,,Edey,Z. Edey,,,,,Right Corner 3,24+ Right,22.55,Missed,,,,,,,,,,,,,,,,,,
17,PT10M32.00S,2025-01-14T01:13:14.8Z,1,REGULAR,rebound,defensive,[],1641708,,,1610612745,3,6,2025-01-14T01:13:20Z,170000,False,,,0,,A. Thompson REBOUND (Off:0 Def:1),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,Right Corner 3,24+ Right,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,
18,PT10M20.00S,2025-01-14T01:13:32.5Z,1,REGULAR,turnover,out-of-bounds,[],1641708,,,1610612745,3,6,2025-01-14T01:13:42Z,180000,False,,,0,,A. Thompson bad pass out-of-bounds TURNOVER (1 TO),[1641708],1610612745.0,HOU,bad pass,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1628487.0,,,,,1.0,,,,
19,PT10M11.00S,2025-01-14T01:13:43.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629630,73.14388961892247,19.11764705882353,1610612763,3,6,2025-01-14T01:14:18Z,190000,False,-154.0,200.0,1,right,MISS J. Morant 25' pullup 3PT,[1629630],1610612763.0,MEM,pullup,,,Morant,J. Morant,,,,,Above the Break 3,24+ Left Center,25.26,Missed,,,,,,,,,,,,,,,,,,
20,PT10M10.00S,2025-01-14T01:13:44.3Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,3,6,2025-01-14T01:14:26Z,200000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,
