actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-12-12T02:53:42.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-12T02:53:42Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2024-12-12T02:53:44.5Z,1,REGULAR,jumpball,recovered,[],1631095,,,1610612745,0,0,2024-12-12T02:53:44Z,40000,False,,,0,,Jump Ball A. Sengun vs. D. Green: Tip to J. Smith Jr.,"[1631095, 1630578, 203110]",1610612745.0,HOU,startperiod,J. Smith Jr.,1631095.0,Smith Jr.,J. Smith Jr.,Sengun,1630578.0,Green,203110.0,,,,,,,,,,,,,,,,,,,,,,
67,PT11M40.00S,2024-12-12T02:53:56.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630578,7.835085413929041,53.92156862745098,1610612745,0,0,2024-12-12T03:06:30Z,65000,False,-20.0,21.0,1,left,MISS A. Sengun driving Layup - blocked,"[1630578, 1627741]",1610612745.0,HOU,driving,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,2.88,Missed,Hield,1627741.0,,,,,,,,,,,,,,,,
68,PT11M40.00S,2024-12-12T02:53:56.2Z,1,REGULAR,block,,[],1627741,,,1610612745,0,0,2024-12-12T03:03:00Z,67500,False,,,0,,B. Hield BLOCK (1 BLK),[1627741],1610612744.0,GSW,,,,Hield,B. Hield,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
69,PT11M39.00S,2024-12-12T02:53:57.2Z,1,REGULAR,rebound,defensive,[],1627741,,,1610612744,0,0,2024-12-12T03:06:30Z,68750,False,,,0,,B. Hield REBOUND (Off:0 Def:1),[1627741],1610612744.0,GSW,,,,Hield,B. Hield,,,,,Restricted Area,0-8 Center,,,,,67.0,1.0,1.0,0.0,,,,,,,,,,,,
70,PT11M38.00S,2024-12-12T02:54:02.1Z,1,REGULAR,turnover,bad pass,[],1627741,,,1610612744,0,0,2024-12-12T03:06:44Z,69375,False,,,0,,B. Hield bad pass TURNOVER (1 TO),"[1627741, 1630578]",1610612744.0,GSW,,,,Hield,B. Hield,,,,,Restricted Area,0-8 Center,,,,,,,,,1.0,Sengun,1630578.0,,,,,,,,,
71,PT11M38.00S,2024-12-12T02:54:02.1Z,1,REGULAR,steal,,[],1630578,,,1610612745,0,0,2024-12-12T03:03:27Z,69687,False,,,0,,A. Sengun STEAL (1 STL),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2024-12-12T02:54:08.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630224,28.991458607095925,23.52941176470588,1610612745,0,0,2024-12-12T03:03:27Z,70000,False,132.0,220.0,1,left,MISS J. Green 25' 3PT,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,25.68,Missed,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2024-12-12T02:54:10.0Z,1,REGULAR,rebound,offensive,[],1630578,,,1610612745,0,0,2024-12-12T02:57:01Z,80000,False,,,0,,A. Sengun REBOUND (Off:1 Def:0),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Above the Break 3,24+ Right Center,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,
9,PT11M28.00S,2024-12-12T02:54:13.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance', 'fromturnover']",1630578,6.915243101182654,53.431372549019606,1610612745,2,0,2024-12-12T03:03:27Z,90000,False,-17.0,13.0,1,left,A. Sengun putback Layup (2 PTS),[1630578],1610612745.0,HOU,putback,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,2.13,Made,,,,,,,,,,2.0,,,,,,,,
10,PT11M12.00S,2024-12-12T02:54:32.6Z,1,REGULAR,turnover,out-of-bounds,[],203110,,,1610612744,2,0,2024-12-12T02:54:39Z,100000,False,,,0,,D. Green bad pass out-of-bounds TURNOVER (1 TO),[203110],1610612744.0,GSW,bad pass,,,Green,D. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1.0,,,,1662.0,,,,,,,
11,PT11M06.00S,2024-12-12T02:54:44.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631095,27.808804204993432,79.41176470588235,1610612745,2,0,2024-12-12T02:54:52Z,110000,False,-147.0,209.0,1,left,MISS J. Smith Jr. 25' 3PT,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Left Center,25.55,Missed,,,,,,,,,,,,,,,,,,
12,PT11M04.00S,2024-12-12T02:54:46.6Z,1,REGULAR,rebound,defensive,[],1627780,,,1610612744,2,0,2024-12-12T02:54:52Z,120000,False,,,0,,G. Payton II REBOUND (Off:0 Def:1),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,Above the Break 3,24+ Left Center,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,
13,PT10M52.00S,2024-12-12T02:55:00.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630228,93.24901445466492,55.14705882352941,1610612744,2,2,2024-12-12T02:55:06Z,130000,False,26.0,11.0,1,right,J. Kuminga cutting Layup (2 PTS) (D. Green 1 AST),"[1630228, 203110]",1610612744.0,GSW,cutting,,,Kuminga,J. Kuminga,,,,,Restricted Area,0-8 Center,2.8,Made,,,,,,,,,,2.0,,D. Green,203110.0,1.0,,,,
15,PT10M52.00S,2024-12-12T02:55:06.2Z,1,REGULAR,foul,personal,['1freethrow'],1627832,,,1610612744,2,2,2024-12-12T02:55:14Z,150000,False,,,0,,F. VanVleet shooting personal FOUL (1 PF) (Kuminga 1 FT),"[1627832, 1630228]",1610612745.0,HOU,shooting,,,VanVleet,F. VanVleet,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1662.0,,,,1.0,0.0,Kuminga,1630228.0
17,PT10M52.00S,2024-12-12T02:55:26.2Z,1,REGULAR,freethrow,1 of 1,[],1630228,,,1610612744,2,2,2024-12-12T02:55:29Z,170000,False,,,0,,MISS J. Kuminga Free Throw 1 of 1,[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
18,PT10M52.00S,2024-12-12T02:55:26.2Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,2,2,2024-12-12T02:55:29Z,180000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:1),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,
19,PT10M30.00S,2024-12-12T02:55:46.5Z,1,REGULAR,2pt,Jump Shot,[],1627832,17.0335085413929,71.07843137254902,1610612745,4,2,2024-12-12T02:55:50Z,190000,False,-105.0,108.0,1,left,F. VanVleet 15' pullup Jump Shot (2 PTS),[1627832],1610612745.0,HOU,pullup,,,VanVleet,F. VanVleet,,,,,Mid-Range,8-16 Left,15.06,Made,,,,,,,,,,2.0,,,,,,,,
20,PT10M18.00S,2024-12-12T02:56:00.8Z,1,REGULAR,turnover,out-of-bounds,[],203110,,,1610612744,4,2,2024-12-12T02:56:06Z,200000,False,,,0,,D. Green lost ball out-of-bounds TURNOVER (2 TO),[203110],1610612744.0,GSW,lost ball,,,Green,D. Green,,,,,Above the Break 3,24+ Right Center,,,,,,,,,2.0,,,,1662.0,,,,,,,
21,PT10M00.00S,2024-12-12T02:56:23.3Z,1,REGULAR,turnover,out-of-bounds,[],1630224,,,1610612745,4,2,2024-12-12T02:56:30Z,210000,False,,,0,,J. Green step out-of-bounds TURNOVER (1 TO),[1630224],1610612745.0,HOU,step,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,,,,,,,,,1.0,,,,1628159.0,,,,,,,
22,PT09M50.00S,2024-12-12T02:56:42.5Z,1,REGULAR,turnover,out-of-bounds,[],203110,,,1610612744,4,2,2024-12-12T02:56:46Z,220000,False,,,0,,D. Green bad pass out-of-bounds TURNOVER (3 TO),[203110],1610612744.0,GSW,bad pass,,,Green,D. Green,,,,,Mid-Range,16-24 Right,,,,,,,,,3.0,,,,1628159.0,,,,,,,
23,PT09M36.00S,2024-12-12T02:57:05.0Z,1,REGULAR,turnover,bad pass,[],1630224,,,1610612745,4,2,2024-12-12T02:59:47Z,230000,False,,,0,,J. Green bad pass TURNOVER (2 TO),"[1630224, 201939]",1610612745.0,HOU,,,,Green,J. Green,,,,,Mid-Range,16-24 Right Center,,,,,,,,,2.0,Curry,201939.0,,,,,,,,,
