actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,playerName,playerNameI,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-11-24T01:10:44.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-24T01:10:44Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-11-24T01:10:49.0Z,1,REGULAR,jumpball,recovered,[],0,,,1610612745,0,0,2024-11-24T01:10:49Z,40000,False,,,0,,Jump Ball A. Sengun vs. D. Clingan: Tip to Team (HOU),"[1630578, 1642270]",1610612745.0,HOU,startperiod,Team (HOU),Sengun,1630578.0,Clingan,1642270.0,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M49.00S,2024-11-24T01:11:16.0Z,1,REGULAR,foul,personal,[],1629014,,,1610612745,0,0,2024-11-24T01:11:25Z,80000,False,,,0,,A. Simons personal FOUL (1 PF),"[1629014, 1631095]",1610612757.0,POR,,,,,,,In The Paint (Non-RA),0-8 Center,1627519.0,1.0,0.0,Simons,A. Simons,Smith Jr.,1631095.0,,,,,,,,,,,,,,,
10,PT11M42.00S,2024-11-24T01:11:33.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630578,91.67214191852825,48.77450980392157,1610612745,0,0,2024-11-24T01:11:43Z,100000,False,-6.0,26.0,1,right,MISS A. Sengun driving Layup,[1630578],1610612745.0,HOU,driving,,,,,,Restricted Area,0-8 Center,,,,Sengun,A. Sengun,,,2.65,Missed,,,,,,,,,,,,,
11,PT11M41.00S,2024-11-24T01:11:34.2Z,1,REGULAR,rebound,offensive,[],1631095,,,1610612745,0,0,2024-11-24T01:11:43Z,110000,False,,,0,,J. Smith Jr. REBOUND (Off:1 Def:0),[1631095],1610612745.0,HOU,,,,,,,Restricted Area,0-8 Center,,,,Smith Jr.,J. Smith Jr.,,,,,10.0,1.0,0.0,1.0,,,,,,,,,
12,PT11M41.00S,2024-11-24T01:11:38.5Z,1,REGULAR,foul,personal,['2freethrow'],203924,,,1610612745,0,0,2024-11-24T01:11:47Z,120000,False,,,0,,J. Grant shooting personal FOUL (1 PF) (Smith Jr. 2 FT),"[203924, 1631095]",1610612757.0,POR,shooting,,,,,,Restricted Area,0-8 Center,1628951.0,1.0,0.0,Grant,J. Grant,Smith Jr.,1631095.0,,,,,,,,,,,,,,,
15,PT11M41.00S,2024-11-24T01:12:07.6Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1631095,,,1610612745,0,0,2024-11-24T01:12:07Z,140000,False,,,0,,MISS J. Smith Jr. Free Throw 1 of 2,[1631095],1610612745.0,HOU,,,,,,,,,,,,Smith Jr.,J. Smith Jr.,,,,Missed,,,,,,,,,,,,,
16,PT11M41.00S,2024-11-24T01:12:07.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612745,0,0,2024-11-24T01:12:07Z,150000,False,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,
17,PT11M41.00S,2024-11-24T01:12:23.8Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1631095,,,1610612745,1,0,2024-11-24T01:12:23Z,160000,False,,,0,,J. Smith Jr. Free Throw 2 of 2 (1 PTS),[1631095],1610612745.0,HOU,,,,,,,,,,,,Smith Jr.,J. Smith Jr.,,,,Made,,,,,1.0,,,,,,,,
18,PT11M25.00S,2024-11-24T01:12:44.4Z,1,REGULAR,turnover,out-of-bounds,[],203924,,,1610612757,1,0,2024-11-24T01:12:51Z,170000,False,,,0,,J. Grant lost ball out-of-bounds TURNOVER (1 TO),[203924],1610612757.0,POR,lost ball,,,,,,In The Paint (Non-RA),0-8 Center,1628951.0,,,Grant,J. Grant,,,,,,,,,,1.0,,,,,,,
