actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-12-30T00:11:07.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-30T00:11:07Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-12-30T00:11:10.3Z,1,REGULAR,jumpball,recovered,[],201567,,,1610612748,0,0,2024-12-30T00:11:10Z,40000,False,,,0,,Jump Ball B. Adebayo vs. A. Sengun: Tip to K. Love,"[201567, 1628389, 1630578]",1610612748.0,MIA,startperiod,K. Love,201567.0,Love,K. Love,Adebayo,1628389.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2024-12-30T00:11:21.0Z,1,REGULAR,turnover,lost ball,[],201567,,,1610612748,0,0,2024-12-30T00:11:37Z,70000,False,,,0,,K. Love lost ball TURNOVER (1 TO),"[201567, 1630578]",1610612748.0,MIA,,,,Love,K. Love,,,,,In The Paint (Non-RA),0-8 Center,1.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2024-12-30T00:11:21.0Z,1,REGULAR,steal,,[],1630578,,,1610612745,0,0,2024-12-30T00:11:22Z,80000,False,,,0,,A. Sengun STEAL (1 STL),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M42.00S,2024-12-30T00:11:25.0Z,1,REGULAR,turnover,bad pass,[],1631095,,,1610612745,0,0,2024-12-30T00:11:39Z,90000,False,,,0,,J. Smith Jr. bad pass TURNOVER (1 TO),"[1631095, 1629312]",1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Mid-Range,16-24 Left,1.0,Highsmith,1629312.0,,,,,,,,,,,,,,,,,
10,PT11M42.00S,2024-12-30T00:11:25.0Z,1,REGULAR,steal,,[],1629312,,,1610612748,0,0,2024-12-30T00:11:27Z,100000,False,,,0,,H. Highsmith STEAL (1 STL),[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,,
11,PT11M31.00S,2024-12-30T00:11:35.9Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],201567,13.87976346911958,89.4607843137255,1610612748,0,0,2024-12-30T00:11:51Z,110000,False,-197.0,78.0,1,left,MISS K. Love 21' Jump Shot,[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,Mid-Range,16-24 Left,,,,21.22,Missed,,,,,,,,,,,,,,,
12,PT11M31.00S,2024-12-30T00:11:35.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612745,0,0,2024-12-30T00:11:51Z,120000,False,,,0,,TEAM defensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,Mid-Range,16-24 Left,,,,,,11.0,,,,,,,,,,,,,,
14,PT11M17.00S,2024-12-30T00:12:01.9Z,1,REGULAR,3pt,Jump Shot,[],1631095,70.38436268068331,23.03921568627451,1610612745,3,0,2024-12-30T00:12:07Z,140000,False,-135.0,226.0,1,right,J. Smith Jr. 26' 3PT  (3 PTS) (F. VanVleet 1 AST),"[1631095, 1627832]",1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Left Center,,,,26.31,Made,,3.0,F. VanVleet,1627832.0,1.0,,,,,,,,,,
16,PT11M17.00S,2024-12-30T00:12:06.0Z,1,REGULAR,foul,personal,['1freethrow'],201567,,,1610612745,3,0,2024-12-30T00:22:51Z,160000,False,,,0,,K. Love shooting personal FOUL (1 PF) (Smith Jr. 1 FT),"[201567, 1631095]",1610612748.0,MIA,shooting,,,Love,K. Love,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,1628482.0,1.0,0.0,Smith Jr.,1631095.0,,,,,
