actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-03-09T00:11:44.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-09T00:11:44Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-03-09T00:11:47.4Z,1,REGULAR,jumpball,recovered,[],203468,,,1610612740,0,0,2025-03-09T00:11:47Z,40000,False,,,0,,Jump Ball Y. Missi vs. A. Sengun: Tip to C. McCollum,"[203468, 1642274, 1630578]",1610612740.0,NOP,startperiod,C. McCollum,203468.0,McCollum,C. McCollum,Missi,1642274.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2025-03-09T00:12:12.6Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612740,0,0,2025-03-09T00:12:35Z,70000,False,,,0,,NOP shot clock Team TURNOVER,[],1610612740.0,NOP,,,,,,,,,,Restricted Area,0-8 Center,1628481.0,,,,,,,,,,,,,,,,,,,
8,PT11M19.00S,2025-03-09T00:12:40.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631106,26.01839684625493,87.72212009803921,1610612745,0,0,2025-03-09T00:13:04Z,80000,False,-189.0,192.0,1,left,MISS T. Eason 26' 3PT,[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,Above the Break 3,24+ Left Center,,26.92,Missed,,,,,,,,,,,,,,,,,
9,PT11M18.00S,2025-03-09T00:12:41.0Z,1,REGULAR,rebound,defensive,[],1642274,,,1610612740,0,0,2025-03-09T00:13:04Z,90000,False,,,0,,Y. Missi REBOUND (Off:0 Def:1),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,Above the Break 3,24+ Left Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M07.00S,2025-03-09T00:12:53.0Z,1,REGULAR,3pt,Jump Shot,[],203468,87.77923784494087,96.79074754901961,1610612740,0,0,2025-03-09T00:13:26Z,100000,False,234.0,62.0,1,right,MISS C. McCollum 24' 3PT,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Right Corner 3,24+ Right,,24.22,Missed,,,,,,,,,,,,,,,,,
11,PT11M06.00S,2025-03-09T00:12:54.0Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,0,0,2025-03-09T00:13:26Z,110000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Right Corner 3,24+ Right,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,
12,PT10M50.00S,2025-03-09T00:13:09.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631106,11.95795006570303,56.3265931372549,1610612745,2,0,2025-03-09T00:13:50Z,120000,False,-32.0,60.0,1,left,T. Eason 6' driving finger roll Layup (2 PTS) (A. Sengun 1 AST),"[1631106, 1630578]",1610612745.0,HOU,driving finger roll,,,Eason,T. Eason,,,,,In The Paint (Non-RA),0-8 Center,,6.77,Made,,,,,2.0,A. Sengun,1630578.0,1.0,,,,,,,,,
14,PT10M31.00S,2025-03-09T00:13:29.1Z,1,REGULAR,3pt,Jump Shot,[],203482,73.06176084099869,82.5750612745098,1610612740,2,0,2025-03-09T00:14:06Z,140000,False,163.0,201.0,1,right,MISS K. Olynyk 25' 3PT,[203482],1610612740.0,NOP,,,,Olynyk,K. Olynyk,,,,,Above the Break 3,24+ Right Center,,25.85,Missed,,,,,,,,,,,,,,,,,
15,PT10M29.00S,2025-03-09T00:13:31.1Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,2,0,2025-03-09T00:14:06Z,150000,False,,,0,,J. Green REBOUND (Off:0 Def:2),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,,,,14.0,2.0,2.0,0.0,,,,,,,,,,,,,
17,PT10M20.00S,2025-03-09T00:13:52.2Z,1,REGULAR,2pt,Jump Shot,[],1630224,7.88436268068331,81.10447303921569,1610612745,2,0,2025-03-09T00:14:47Z,170000,False,-156.0,22.0,1,left,MISS J. Green 15' Jump Shot,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Mid-Range,8-16 Left,,15.7,Missed,,,,,,,,,,,,,,,,,
18,PT10M18.00S,2025-03-09T00:13:54.2Z,1,REGULAR,rebound,defensive,[],1630530,,,1610612740,2,0,2025-03-09T00:14:31Z,180000,False,,,0,,T. Murphy III REBOUND (Off:0 Def:1),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Mid-Range,8-16 Left,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,
