actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-03-16T00:11:31.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-16T00:11:31Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-03-16T00:11:33.9Z,1,REGULAR,jumpball,recovered,[],1630200,,,1610612741,0,0,2025-03-16T00:11:34Z,40000,False,,,0,,Jump Ball N. Vučević vs. A. Sengun: Tip to T. Jones,"[1630200, 202696, 1630578]",1610612741.0,CHI,startperiod,T. Jones,1630200.0,Jones,T. Jones,Vučević,202696.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2025-03-16T00:11:51.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641824,92.85479632063075,45.83333333333333,1610612741,0,0,2025-03-16T00:11:57Z,70000,False,-21.0,15.0,1,right,MISS M. Buzelis driving Layup,[1641824],1610612741.0,CHI,driving,,,Buzelis,M. Buzelis,,,,,Restricted Area,0-8 Center,2.55,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2025-03-16T00:11:52.9Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,0,0,2025-03-16T00:11:57Z,80000,False,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M30.00S,2025-03-16T00:12:01.2Z,1,REGULAR,3pt,Jump Shot,[],1627832,32.276609724047304,57.107843137254896,1610612745,0,0,2025-03-16T00:12:20Z,90000,False,-36.0,251.0,1,left,MISS F. VanVleet 25' pullup 3PT,[1627832],1610612745.0,HOU,pullup,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Center,25.34,Missed,,,,,,,,,,,,,,,,,,
10,PT11M28.00S,2025-03-16T00:12:03.2Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,0,0,2025-03-16T00:14:36Z,100000,False,,,0,,N. Vučević REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,Above the Break 3,24+ Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M07.00S,2025-03-16T00:12:24.1Z,1,REGULAR,2pt,Jump Shot,[],1628989,79.05716162943496,74.01960784313727,1610612741,0,0,2025-03-16T00:12:30Z,110000,False,120.0,144.0,1,right,MISS K. Huerter 18' pullup Shot,[1628989],1610612741.0,CHI,pullup,,,Huerter,K. Huerter,,,,,Mid-Range,16-24 Right Center,18.78,Missed,,,,,,,,,,,,,,,,,,
12,PT11M07.00S,2025-03-16T00:12:24.1Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,0,0,2025-03-16T00:12:30Z,120000,False,,,0,,A. Sengun REBOUND (Off:0 Def:2),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Mid-Range,16-24 Right Center,,,11.0,2.0,2.0,0.0,,,,,,,,,,,,,,
13,PT10M57.00S,2025-03-16T00:12:33.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628415,6.783837056504599,48.28431372549019,1610612745,2,0,2025-03-16T00:12:38Z,130000,False,9.0,11.0,1,left,D. Brooks driving reverse Layup (2 PTS),[1628415],1610612745.0,HOU,driving reverse,,,Brooks,D. Brooks,,,,,Restricted Area,0-8 Center,1.42,Made,,,,,2.0,,,,,,,,,,,,,
14,PT10M46.00S,2025-03-16T00:12:45.4Z,1,REGULAR,turnover,out-of-bounds,[],1628989,,,1610612741,2,0,2025-03-16T00:12:52Z,140000,False,,,0,,K. Huerter lost ball out-of-bounds TURNOVER (1 TO),[1628989],1610612741.0,CHI,lost ball,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Left Center,,,,,,,,1628172.0,1.0,,,,,,,,,,,
