actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-02-27T02:50:21.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-27T02:50:21Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-02-27T02:50:23.8Z,1,REGULAR,jumpball,recovered,[],101108,,,1610612759,0,0,2025-02-27T02:50:23Z,40000,False,,,0,,Jump Ball B. Biyombo vs. A. Sengun: Tip to C. Paul,"[101108, 202687, 1630578]",1610612759.0,SAS,startperiod,C. Paul,101108.0,Paul,C. Paul,Biyombo,202687.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2025-02-27T02:50:39.9Z,1,REGULAR,2pt,Jump Shot,[],1628368,77.21747700394218,37.99019607843137,1610612759,0,0,2025-02-27T02:50:48Z,70000,False,-60.0,162.0,1,right,MISS D. Fox 17' step back Shot,[1628368],1610612759.0,SAS,step back,,,Fox,D. Fox,,,,,Mid-Range,16-24 Left Center,17.25,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2025-02-27T02:50:40.9Z,1,REGULAR,rebound,defensive,[],1641708,,,1610612745,0,0,2025-02-27T02:50:48Z,80000,False,,,0,,A. Thompson REBOUND (Off:0 Def:1),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,Mid-Range,16-24 Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M27.00S,2025-02-27T02:50:53.5Z,1,REGULAR,2pt,Jump Shot,[],1631095,7.440867279894875,73.52941176470588,1610612745,2,0,2025-02-27T02:50:58Z,90000,False,-118.0,17.0,1,left,J. Smith Jr. 11' turnaround fadeaway Jump Shot (2 PTS),[1631095],1610612745.0,HOU,turnaround fadeaway,,,Smith Jr.,J. Smith Jr.,,,,,Mid-Range,8-16 Left,11.89,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M04.00S,2025-02-27T02:51:16.2Z,1,REGULAR,2pt,Jump Shot,[],202687,95.22010512483574,28.921568627450984,1610612759,2,0,2025-02-27T02:51:23Z,100000,False,-105.0,-8.0,1,right,MISS B. Biyombo 10' floating Shot,[202687],1610612759.0,SAS,floating,,,Biyombo,B. Biyombo,,,,,Mid-Range,8-16 Left,10.57,Missed,,,,,,,,,,,,,,,,,,
11,PT11M03.00S,2025-02-27T02:51:17.2Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,2,0,2025-02-27T02:51:23Z,110000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:1),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Mid-Range,8-16 Left,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT10M55.00S,2025-02-27T02:51:25.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631095,6.258212877792378,49.26470588235294,1610612745,4,0,2025-02-27T02:51:30Z,120000,False,4.0,6.0,1,left,J. Smith Jr. cutting DUNK (4 PTS) (A. Thompson 1 AST),"[1631095, 1641708]",1610612745.0,HOU,cutting,,,Smith Jr.,J. Smith Jr.,,,,,Restricted Area,0-8 Center,0.73,Made,,,,,4.0,A. Thompson,1641708.0,1.0,,,,,,,,,,
14,PT10M44.00S,2025-02-27T02:51:37.7Z,1,REGULAR,turnover,out-of-bounds,[],101108,,,1610612759,4,0,2025-02-27T02:51:43Z,140000,False,,,0,,C. Paul bad pass out-of-bounds TURNOVER (1 TO),[101108],1610612759.0,SAS,bad pass,,,Paul,C. Paul,,,,,Right Corner 3,24+ Right,,,,,,,,,,,202041.0,1.0,,,,,,,,
15,PT10M28.00S,2025-02-27T02:51:58.8Z,1,REGULAR,foul,personal,['2freethrow'],203084,,,1610612745,4,0,2025-02-27T02:52:04Z,150000,False,,,0,,H. Barnes shooting personal FOUL (1 PF) (Sengun 2 FT),"[203084, 1630578]",1610612759.0,SAS,shooting,,,Barnes,H. Barnes,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,202041.0,,1.0,0.0,Sengun,1630578.0,,,,
17,PT10M28.00S,2025-02-27T02:52:22.6Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1630578,,,1610612745,5,0,2025-02-27T02:52:22Z,170000,False,,,0,,A. Sengun Free Throw 1 of 2 (1 PTS),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
18,PT10M28.00S,2025-02-27T02:52:39.4Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1630578,,,1610612745,6,0,2025-02-27T02:52:39Z,180000,False,,,0,,A. Sengun Free Throw 2 of 2 (2 PTS),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
19,PT10M18.00S,2025-02-27T02:52:51.8Z,1,REGULAR,2pt,Jump Shot,[],101108,80.1084099868594,70.83333333333334,1610612759,6,2,2025-02-27T02:52:56Z,190000,False,104.0,134.0,1,right,C. Paul 17' pullup Jump Shot (2 PTS) (D. Fox 1 AST),"[101108, 1628368]",1610612759.0,SAS,pullup,,,Paul,C. Paul,,,,,Mid-Range,16-24 Right Center,17.01,Made,,,,,2.0,D. Fox,1628368.0,1.0,,,,,,,,,,
