actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-01-02T01:11:39.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-02T01:11:39Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-01-02T01:11:42.9Z,1,REGULAR,jumpball,recovered,[],203915,,,1610612742,0,0,2025-01-02T01:11:43Z,40000,False,,,0,,Jump Ball D. Lively II vs. A. Sengun: Tip to S. Dinwiddie,"[203915, 1641726, 1630578]",1610612742.0,DAL,startperiod,S. Dinwiddie,203915.0,Dinwiddie,S. Dinwiddie,Lively II,1641726.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2025-01-02T01:11:58.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629023,5.338370565045992,38.48039215686275,1610612742,0,0,2025-01-02T01:12:11Z,70000,False,58.0,-2.0,1,left,MISS P. Washington turnaround Shot,[1629023],1610612742.0,DAL,turnaround,,,Washington,P. Washington,,,,,In The Paint (Non-RA),0-8 Center,5.76,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2025-01-02T01:11:59.1Z,1,REGULAR,rebound,offensive,[],1641726,,,1610612742,0,0,2025-01-02T01:12:11Z,80000,False,,,0,,D. Lively II REBOUND (Off:1 Def:0),[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M40.00S,2025-01-02T01:12:03.1Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1641726,5.590000152587891,50.0,1610612742,0,2,2025-01-02T01:12:17Z,90000,False,0.0,0.0,1,left,D. Lively II tip Layup (2 PTS),[1641726],1610612742.0,DAL,tip,,,Lively II,D. Lively II,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M18.00S,2025-01-02T01:12:19.5Z,1,REGULAR,3pt,Jump Shot,[],1628415,66.5735873850197,37.745098039215684,1610612745,0,2,2025-01-02T01:12:31Z,100000,False,-61.0,262.0,1,right,MISS D. Brooks 26' 3PT,[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Center,26.88,Missed,,,,,,,,,,,,,,,,,,
11,PT11M17.00S,2025-01-02T01:12:20.5Z,1,REGULAR,rebound,defensive,[],1629023,,,1610612742,0,2,2025-01-02T01:12:31Z,110000,False,,,0,,P. Washington REBOUND (Off:0 Def:1),[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Center,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M03.00S,2025-01-02T01:12:36.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202681,12.565703022339028,42.40196078431372,1610612742,0,2,2025-01-02T01:12:44Z,120000,False,38.0,66.0,1,left,MISS K. Irving 7' turnaround Shot,[202681],1610612742.0,DAL,turnaround,,,Irving,K. Irving,,,,,In The Paint (Non-RA),0-8 Center,7.58,Missed,,,,,,,,,,,,,,,,,,
13,PT11M02.00S,2025-01-02T01:12:37.0Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,0,2,2025-01-02T01:12:44Z,130000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT10M54.00S,2025-01-02T01:12:47.0Z,1,REGULAR,foul,personal,[],202681,,,1610612745,0,2,2025-01-02T01:13:07Z,140000,False,,,0,,K. Irving personal FOUL (1 PF),"[202681, 1630224]",1610612742.0,DAL,,,,Irving,K. Irving,,,,,Above the Break 3,24+ Right Center,,,,,,,,1627964.0,1.0,0.0,Green,1630224.0,,,,,,,,
16,PT10M47.00S,2025-01-02T01:13:08.1Z,1,REGULAR,3pt,Jump Shot,[],1627832,68.80749014454665,37.5,1610612745,0,2,2025-01-02T01:13:14Z,160000,False,-62.0,241.0,1,right,MISS F. VanVleet 24' pullup 3PT,[1627832],1610612745.0,HOU,pullup,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Center,24.87,Missed,,,,,,,,,,,,,,,,,,
17,PT10M47.00S,2025-01-02T01:13:08.1Z,1,REGULAR,rebound,defensive,[],202691,,,1610612742,0,2,2025-01-02T01:13:14Z,170000,False,,,0,,K. Thompson REBOUND (Off:0 Def:1),[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Center,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT10M39.00S,2025-01-02T01:13:17.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1641726,6.783837056504599,43.627450980392155,1610612742,0,4,2025-01-02T01:13:22Z,180000,False,32.0,11.0,1,left,D. Lively II turnaround Hook (4 PTS) (K. Thompson 1 AST),"[1641726, 202691]",1610612742.0,DAL,turnaround,,,Lively II,D. Lively II,,,,,Restricted Area,0-8 Center,3.38,Made,,,,,4.0,,,,,,K. Thompson,202691.0,1.0,,,,,
