actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,officialId,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-01-20T19:11:21.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-20T19:11:21Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-01-20T19:11:23.3Z,1,REGULAR,jumpball,recovered,[],1630595,,,1610612765,0,0,2025-01-20T19:11:23Z,40000,False,,,0,,Jump Ball J. Duren vs. A. Sengun: Tip to C. Cunningham,"[1630595, 1631105, 1630578]",1610612765.0,DET,startperiod,C. Cunningham,1630595.0,Cunningham,C. Cunningham,Duren,1631105.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2025-01-20T19:11:46.2Z,1,REGULAR,2pt,Jump Shot,[],202699,25.57490144546649,72.79411764705883,1610612765,0,0,2025-01-20T19:12:15Z,70000,False,-114.0,188.0,1,left,MISS T. Harris 21' step back Shot,[202699],1610612765.0,DET,step back,,,Harris,T. Harris,,,,,Mid-Range,16-24 Left Center,21.98,Missed,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2025-01-20T19:11:46.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612765,0,0,2025-01-20T19:12:15Z,80000,False,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,,,,Mid-Range,16-24 Left Center,,,7.0,,,,,,,,,,,,,,,,,
9,PT11M35.00S,2025-01-20T19:11:50.7Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612765,0,0,2025-01-20T19:12:08Z,90000,False,,,0,,DET shot clock Team TURNOVER,[],1610612765.0,DET,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,1627534.0,,,,,,,,,,,,,,,,
10,PT11M19.00S,2025-01-20T19:12:11.4Z,1,REGULAR,turnover,bad pass,[],1628415,,,1610612745,0,0,2025-01-20T19:12:19Z,100000,False,,,0,,D. Brooks bad pass TURNOVER (1 TO),"[1628415, 1631105]",1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Mid-Range,16-24 Left,,,,,1.0,Duren,1631105.0,,,,,,,,,,,,,
11,PT11M19.00S,2025-01-20T19:12:11.4Z,1,REGULAR,steal,,[],1631105,,,1610612765,0,0,2025-01-20T19:12:13Z,110000,False,,,0,,J. Duren STEAL (1 STL),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,,
12,PT11M15.00S,2025-01-20T19:12:16.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak', 'defensivegoaltending']",1641709,6.652431011826544,47.30392156862745,1610612765,0,2,2025-01-20T19:12:38Z,120000,False,13.0,10.0,1,left,A. Thompson running Layup (2 PTS) (C. Cunningham 1 AST),"[1641709, 1630595]",1610612765.0,DET,running,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,1.68,Made,,,,,,2.0,C. Cunningham,1630595.0,1.0,,,,,,,,,
13,PT11M15.00S,2025-01-20T19:12:21.6Z,1,REGULAR,violation,defensive goaltending,[],1641708,,,1610612765,0,2,2025-01-20T19:12:38Z,130000,False,,,0,,A. Thompson defensive goaltending VIOLATION,[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,,,,,,1627534.0,,,,,,,,,,,,,,,,
15,PT10M50.00S,2025-01-20T19:13:09.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641708,92.85479632063075,54.166666666666664,1610612745,2,2,2025-01-20T19:13:15Z,150000,False,21.0,15.0,1,right,A. Thompson driving Layup (2 PTS) (J. Green 1 AST),"[1641708, 1630224]",1610612745.0,HOU,driving,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,2.55,Made,,,,,,2.0,J. Green,1630224.0,1.0,,,,,,,,,
