actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal
2,PT12M00.00S,2025-02-13T01:41:16.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-13T01:41:16Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2025-02-13T01:41:18.0Z,1,REGULAR,jumpball,recovered,[],1628415,,,1610612745,0,0,2025-02-13T01:41:18Z,40000,False,,,0,,Jump Ball T. Eason vs. B. Bol: Tip to D. Brooks,"[1628415, 1631106, 1629626]",1610612745.0,HOU,startperiod,D. Brooks,1628415.0,Brooks,D. Brooks,Eason,1631106.0,Bol,1629626.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2025-02-13T01:41:27.8Z,1,REGULAR,turnover,bad pass,[],1628415,,,1610612745,0,0,2025-02-13T01:41:32Z,70000,False,,,0,,D. Brooks bad pass TURNOVER (1 TO),"[1628415, 1626220]",1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Mid-Range,16-24 Right Center,1.0,O'Neale,1626220.0,,,,,,,,,,,,,,,,,
8,PT11M47.00S,2025-02-13T01:41:27.8Z,1,REGULAR,steal,,[],1626220,,,1610612756,0,0,2025-02-13T01:41:29Z,80000,False,,,0,,R. O'Neale STEAL (1 STL),[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
9,PT11M45.00S,2025-02-13T01:41:31.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1626220,92.46057818659659,50.49019607843137,1610612756,0,0,2025-02-13T01:41:40Z,90000,False,2.0,18.0,1,right,MISS R. O'Neale running finger roll Layup - blocked,"[1626220, 1641708]",1610612756.0,PHX,running finger roll,,,O'Neale,R. O'Neale,,,,,Restricted Area,0-8 Center,,,,1.86,Missed,Thompson,1641708.0,,,,,,,,,,,,,
10,PT11M45.00S,2025-02-13T01:41:31.5Z,1,REGULAR,block,,[],1641708,,,1610612756,0,0,2025-02-13T01:41:34Z,100000,False,,,0,,A. Thompson BLOCK (1 BLK),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M45.00S,2025-02-13T01:41:31.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612756,0,0,2025-02-13T01:41:40Z,110000,False,,,0,,TEAM offensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,9.0,,,,,,,,,,,,
13,PT11M30.00S,2025-02-13T01:42:03.9Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",201142,86.02168199737189,75.98039215686273,1610612756,0,2,2025-02-13T01:42:08Z,130000,False,130.0,79.0,1,right,K. Durant 15' fadeaway Jump Shot (2 PTS),[201142],1610612756.0,PHX,fadeaway,,,Durant,K. Durant,,,,,Mid-Range,8-16 Right,,,,15.2,Made,,,,2.0,,,,,,,,,,,
14,PT11M11.00S,2025-02-13T01:42:23.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631106,7.703679369250986,50.245098039215684,1610612745,2,2,2025-02-13T01:42:29Z,140000,False,-1.0,20.0,1,left,T. Eason cutting Layup (2 PTS) (D. Brooks 1 AST),"[1631106, 1628415]",1610612745.0,HOU,cutting,,,Eason,T. Eason,,,,,Restricted Area,0-8 Center,,,,1.99,Made,,,,2.0,D. Brooks,1628415.0,1.0,,,,,,,,
16,PT11M11.00S,2025-02-13T01:42:27.2Z,1,REGULAR,foul,personal,['1freethrow'],1626220,,,1610612745,2,2,2025-02-13T01:42:49Z,160000,False,,,0,,R. O'Neale shooting personal FOUL (1 PF) (Eason 1 FT),"[1626220, 1631106]",1610612756.0,PHX,shooting,,,O'Neale,R. O'Neale,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1628951.0,1.0,0.0,Eason,1631106.0,,,
