actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-04-03T00:11:29.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-04-03T00:11:29Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-04-03T00:11:32.4Z,1,REGULAR,jumpball,recovered,[],1642268,,,1610612762,0,0,2025-04-03T00:11:32Z,40000,False,,,0,,Jump Ball W. Kessler vs. A. Sengun: Tip to I. Collier,"[1642268, 1631117, 1630578]",1610612762.0,UTA,startperiod,I. Collier,1642268.0,Collier,I. Collier,Kessler,1631117.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2025-04-03T00:11:43.5Z,1,REGULAR,3pt,Jump Shot,[],1631117,67.49342969776609,50.98039215686274,1610612762,0,0,2025-04-03T00:11:48Z,70000,False,5.0,253.0,1,right,MISS W. Kessler 25' 3PT,[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Above the Break 3,24+ Center,25.31,Missed,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2025-04-03T00:11:46.5Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,0,0,2025-04-03T00:11:48Z,80000,False,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Above the Break 3,24+ Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M35.00S,2025-04-03T00:11:53.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1630578,7.5722733245729295,51.9607843137255,1610612745,0,0,2025-04-03T00:12:02Z,90000,False,-10.0,19.0,1,left,MISS A. Sengun running DUNK,[1630578],1610612745.0,HOU,running,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,2.11,Missed,,,,,,,,,,,,,,,,,,
10,PT11M33.00S,2025-04-03T00:11:55.1Z,1,REGULAR,rebound,defensive,[],1642271,,,1610612762,0,0,2025-04-03T00:12:02Z,100000,False,,,0,,K. Filipowski REBOUND (Off:0 Def:1),[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,Restricted Area,0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M12.00S,2025-04-03T00:12:18.8Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612762,0,0,2025-04-03T00:12:25Z,110000,False,,,0,,UTA shot clock Team TURNOVER,[],1610612762.0,UTA,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1199.0,,,,,,,,,,,,,
12,PT10M56.00S,2025-04-03T00:12:45.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628415,26.49474375821288,20.098039215686274,1610612745,0,0,2025-04-03T00:12:50Z,120000,False,150.0,197.0,1,left,MISS D. Brooks 24' 3PT,[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Right Center,24.7,Missed,,,,,,,,,,,,,,,,,,
13,PT10M55.00S,2025-04-03T00:12:46.4Z,1,REGULAR,rebound,defensive,[],1642271,,,1610612762,0,0,2025-04-03T00:12:50Z,130000,False,,,0,,K. Filipowski REBOUND (Off:0 Def:2),[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,Above the Break 3,24+ Right Center,,,12.0,2.0,2.0,0.0,,,,,,,,,,,,,,
14,PT10M48.00S,2025-04-03T00:12:53.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1642271,93.51182654402102,44.85294117647059,1610612762,0,0,2025-04-03T00:13:05Z,140000,False,-26.0,8.0,1,right,MISS K. Filipowski running reverse Layup,[1642271],1610612762.0,UTA,running reverse,,,Filipowski,K. Filipowski,,,,,Restricted Area,0-8 Center,2.71,Missed,,,,,,,,,,,,,,,,,,
15,PT10M47.00S,2025-04-03T00:12:54.9Z,1,REGULAR,rebound,offensive,[],1631117,,,1610612762,0,0,2025-04-03T00:13:05Z,150000,False,,,0,,W. Kessler REBOUND (Off:1 Def:0),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,,,14.0,1.0,0.0,1.0,,,,,,,,,,,,,,
16,PT10M46.00S,2025-04-03T00:12:56.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631117,93.11760840998686,54.166666666666664,1610612762,0,0,2025-04-03T00:14:42Z,160000,False,21.0,12.0,1,right,MISS W. Kessler putback Layup,[1631117],1610612762.0,UTA,putback,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,2.41,Missed,,,,,,,,,,,,,,,,,,
17,PT10M45.00S,2025-04-03T00:12:57.7Z,1,REGULAR,rebound,defensive,[],1631106,,,1610612745,0,0,2025-04-03T00:14:42Z,170000,False,,,0,,T. Eason REBOUND (Off:0 Def:1),[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,Restricted Area,0-8 Center,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT10M38.00S,2025-04-03T00:13:04.1Z,1,REGULAR,3pt,Jump Shot,[],1628415,28.728646517739815,74.01960784313727,1610612745,3,0,2025-04-03T00:13:14Z,180000,False,-120.0,218.0,1,left,D. Brooks 24' 3PT  (3 PTS) (T. Eason 1 AST),"[1628415, 1631106]",1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Left Center,24.85,Made,,,,,,3.0,T. Eason,1631106.0,1.0,,,,,,,,,
20,PT10M21.00S,2025-04-03T00:13:20.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631117,92.85479632063075,47.549019607843135,1610612762,3,0,2025-04-03T00:13:28Z,200000,False,-12.0,15.0,1,right,MISS W. Kessler cutting DUNK - blocked,"[1631117, 1641708]",1610612762.0,UTA,cutting,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,1.92,Missed,,,,,,,,,,Thompson,1641708.0,,,,,,,
21,PT10M21.00S,2025-04-03T00:13:20.6Z,1,REGULAR,block,,[],1641708,,,1610612762,3,0,2025-04-03T00:13:22Z,210000,False,,,0,,A. Thompson BLOCK (1 BLK),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
22,PT10M20.00S,2025-04-03T00:13:21.6Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,3,0,2025-04-03T00:13:28Z,220000,False,,,0,,A. Sengun REBOUND (Off:0 Def:2),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,,,20.0,2.0,2.0,0.0,,,,,,,,,,,,,,
23,PT10M15.00S,2025-04-03T00:13:27.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630224,30.042706964520367,79.16666666666666,1610612745,6,0,2025-04-03T00:13:35Z,230000,False,-146.0,230.0,1,left,J. Green 27' 3PT running (3 PTS) (A. Sengun 1 AST),"[1630224, 1630578]",1610612745.0,HOU,running,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,27.22,Made,,,,,,3.0,A. Sengun,1630578.0,1.0,,,,,,,,,
25,PT09M58.00S,2025-04-03T00:13:43.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629012,93.51182654402102,53.67647058823529,1610612762,6,2,2025-04-03T00:13:51Z,250000,False,18.0,8.0,1,right,C. Sexton driving reverse Layup (2 PTS),[1629012],1610612762.0,UTA,driving reverse,,,Sexton,C. Sexton,,,,,Restricted Area,0-8 Center,2.03,Made,,,,,,2.0,,,,,,,,,,,,
