actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-12-20T01:11:12.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-20T01:11:12Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-12-20T01:11:14.6Z,1,REGULAR,jumpball,recovered,[],1630224,,,1610612745,0,0,2024-12-20T01:11:14Z,40000,False,,,0,,Jump Ball A. Sengun vs. Y. Missi: Tip to J. Green,"[1630224, 1630578, 1642274]",1610612745.0,HOU,startperiod,J. Green,1630224.0,Green,J. Green,Sengun,1630578.0,Missi,1642274.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2024-12-20T01:11:34.7Z,1,REGULAR,turnover,out-of-bounds,[],1630224,,,1610612745,0,0,2024-12-20T01:11:46Z,70000,False,,,0,,J. Green lost ball out-of-bounds TURNOVER (1 TO),[1630224],1610612745.0,HOU,lost ball,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,1162.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M22.00S,2024-12-20T01:11:56.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1642274,89.43823915900131,51.470588235294116,1610612740,0,2,2024-12-20T01:12:09Z,80000,False,7.0,47.0,1,right,Y. Missi finger roll Layup (2 PTS),[1642274],1610612740.0,NOP,finger roll,,,Missi,Y. Missi,,,,,In The Paint (Non-RA),0-8 Center,,,4.74,Made,2.0,,,,,,,,,,,,,,,
9,PT11M00.00S,2024-12-20T01:12:18.3Z,1,REGULAR,2pt,Jump Shot,[],1630224,5.781865965834428,90.70925245098039,1610612745,0,2,2024-12-20T01:12:32Z,90000,False,-204.0,2.0,1,left,MISS J. Green 20' Jump Shot,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Mid-Range,16-24 Left,,,20.35,Missed,,,,,,,,,,,,,,,,
10,PT10M56.00S,2024-12-20T01:12:22.3Z,1,REGULAR,rebound,offensive,[],1627832,,,1610612745,0,2,2024-12-20T01:12:32Z,100000,False,,,0,,F. VanVleet REBOUND (Off:1 Def:0),[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,Mid-Range,16-24 Left,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,
11,PT10M52.00S,2024-12-20T01:12:26.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630578,4.5499342969776615,53.92156862745098,1610612745,2,2,2024-12-20T01:12:43Z,110000,False,-20.0,-10.0,1,left,A. Sengun driving reverse Layup (2 PTS) (D. Brooks 1 AST),"[1630578, 1628415]",1610612745.0,HOU,driving reverse,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,,,2.19,Made,2.0,,,,,D. Brooks,1628415.0,1.0,,,,,,,,
13,PT10M38.00S,2024-12-20T01:12:41.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630530,92.19776609724047,40.931372549019606,1610612740,2,4,2024-12-20T01:12:50Z,130000,False,-45.0,21.0,1,right,T. Murphy III driving Layup (2 PTS) (C. McCollum 1 AST),"[1630530, 203468]",1610612740.0,NOP,driving,,,Murphy III,T. Murphy III,,,,,In The Paint (Non-RA),0-8 Center,,,4.98,Made,2.0,,,,,C. McCollum,203468.0,1.0,,,,,,,,
14,PT10M23.00S,2024-12-20T01:12:54.6Z,1,REGULAR,3pt,Jump Shot,[],1631095,23.340998685939553,89.4607843137255,1610612745,2,4,2024-12-20T01:12:59Z,140000,False,-197.0,167.0,1,left,MISS J. Smith Jr. 25' 3PT,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Left Center,,,25.84,Missed,,,,,,,,,,,,,,,,
15,PT10M20.00S,2024-12-20T01:12:57.6Z,1,REGULAR,rebound,defensive,[],1642274,,,1610612740,2,4,2024-12-20T01:12:59Z,150000,False,,,0,,Y. Missi REBOUND (Off:0 Def:1),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,Above the Break 3,24+ Left Center,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,
