actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-12-02T00:11:31.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-02T00:11:31Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-12-02T00:11:33.5Z,1,REGULAR,jumpball,recovered,[],1641717,,,1610612760,0,0,2024-12-02T00:11:33Z,40000,False,,,0,,Jump Ball I. Hartenstein vs. A. Sengun: Tip to C. Wallace,"[1641717, 1628392, 1630578]",1610612760.0,OKC,startperiod,C. Wallace,1641717.0,Wallace,C. Wallace,Hartenstein,1628392.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2024-12-02T00:11:44.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628392,92.46057818659659,52.20588235294118,1610612760,0,2,2024-12-02T00:12:10Z,70000,False,11.0,18.0,1,right,I. Hartenstein alley-oop DUNK (2 PTS) (J. Williams 1 AST),"[1628392, 1631114]",1610612760.0,OKC,alley-oop,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,2.14,Made,2.0,J. Williams,1631114.0,1.0,,,,,,,,,,,,,,
9,PT11M26.00S,2024-12-02T00:12:04.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630578,14.011169513797633,48.28431372549019,1610612745,0,2,2024-12-02T00:12:14Z,90000,False,9.0,79.0,1,left,MISS A. Sengun 7' turnaround Hook,[1630578],1610612745.0,HOU,turnaround,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,7.97,Missed,,,,,,,,,,,,,,,,,,
10,PT11M21.00S,2024-12-02T00:12:09.6Z,1,REGULAR,rebound,offensive,[],1628415,,,1610612745,0,2,2024-12-02T00:12:14Z,100000,False,,,0,,D. Brooks REBOUND (Off:1 Def:0),[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,
11,PT11M21.00S,2024-12-02T00:12:09.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628415,5.590000152587891,50.0,1610612745,0,2,2024-12-02T00:12:09Z,110000,False,0.0,0.0,1,left,MISS D. Brooks tip Layup,[1628415],1610612745.0,HOU,tip,,,Brooks,D. Brooks,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
12,PT11M20.00S,2024-12-02T00:12:09.8Z,1,REGULAR,rebound,defensive,[],1628983,,,1610612760,0,2,2024-12-02T00:12:09Z,120000,False,,,0,,S. Gilgeous-Alexander REBOUND (Off:0 Def:1),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,8-16 Left,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
14,PT11M17.00S,2024-12-02T00:12:28.6Z,1,REGULAR,foul,personal,['2freethrow'],1631095,,,1610612760,0,2,2024-12-02T00:12:41Z,140000,False,,,0,,J. Smith Jr. shooting personal FOUL (1 PF) (Gilgeous-Alexander 2 FT),"[1631095, 1628983]",1610612745.0,HOU,shooting,,,Smith Jr.,J. Smith Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,202056.0,1.0,0.0,Gilgeous-Alexander,1628983.0,,,,,
16,PT11M17.00S,2024-12-02T00:12:42.7Z,1,REGULAR,freethrow,1 of 2,[],1628983,,,1610612760,0,2,2024-12-02T00:12:42Z,160000,False,,,0,,MISS S. Gilgeous-Alexander Free Throw 1 of 2,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
17,PT11M17.00S,2024-12-02T00:12:42.7Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612760,0,2,2024-12-02T00:12:42Z,170000,False,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,
