actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-11-05T01:46:20.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-05T01:46:20Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-11-05T01:46:23.2Z,1,REGULAR,jumpball,recovered,[],1628404,,,1610612752,0,0,2024-11-05T01:46:23Z,40000,False,,,0,,Jump Ball K. Towns vs. A. Sengun: Tip to J. Hart,"[1628404, 1626157, 1630578]",1610612752.0,NYK,startperiod,J. Hart,1628404.0,Hart,J. Hart,Towns,1626157.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2024-11-05T01:46:36.1Z,1,REGULAR,turnover,out-of-bounds,[],1628969,,,1610612752,0,0,2024-11-05T01:46:44Z,70000,False,,,0,,M. Bridges bad pass out-of-bounds TURNOVER (1 TO),[1628969],1610612752.0,NYK,bad pass,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Right Center,204059.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M24.00S,2024-11-05T01:47:01.8Z,1,REGULAR,foul,personal,['2freethrow'],1628404,,,1610612745,0,0,2024-11-05T01:47:09Z,80000,False,,,0,,J. Hart shooting personal FOUL (1 PF) (Green 2 FT),"[1628404, 1630224]",1610612752.0,NYK,shooting,,,Hart,J. Hart,,,,,Mid-Range,8-16 Left,204059.0,,1.0,0.0,Green,1630224.0,,,,,,,,,,,,,,
10,PT11M24.00S,2024-11-05T01:47:30.8Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1630224,,,1610612745,1,0,2024-11-05T01:47:30Z,100000,False,,,0,,J. Green Free Throw 1 of 2 (1 PTS),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,
11,PT11M24.00S,2024-11-05T01:47:44.6Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1630224,,,1610612745,2,0,2024-11-05T01:47:44Z,110000,False,,,0,,J. Green Free Throw 2 of 2 (2 PTS),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,
12,PT11M11.00S,2024-11-05T01:48:00.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628973,9.017739816031538,59.31372549019608,1610612752,2,2,2024-11-05T01:48:10Z,120000,False,-47.0,32.0,1,left,J. Brunson driving Layup (2 PTS),[1628973],1610612752.0,NYK,driving,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,Made,2.0,5.67,,,,,,,,,,,
13,PT11M00.00S,2024-11-05T01:48:11.5Z,1,REGULAR,2pt,Jump Shot,[],1628415,79.45137976346912,34.80392156862745,1610612745,2,2,2024-11-05T01:48:25Z,130000,False,-76.0,141.0,1,right,MISS D. Brooks 15' pullup Shot,[1628415],1610612745.0,HOU,pullup,,,Brooks,D. Brooks,,,,,Mid-Range,8-16 Center,,,,,,,Missed,,15.99,,,,,,,,,,,
14,PT10M58.00S,2024-11-05T01:48:13.5Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612752,2,2,2024-11-05T01:48:25Z,140000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628969],1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,Mid-Range,8-16 Center,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,
15,PT10M51.00S,2024-11-05T01:48:22.2Z,1,REGULAR,foul,personal,['2freethrow'],1631095,,,1610612752,2,2,2024-11-05T01:48:31Z,150000,False,,,0,,J. Smith Jr. shooting personal FOUL (1 PF) (Towns 2 FT),"[1631095, 1626157]",1610612745.0,HOU,shooting,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),0-8 Center,204059.0,,1.0,0.0,Towns,1626157.0,,,,,,,,,,,,,,
17,PT10M51.00S,2024-11-05T01:48:52.1Z,1,REGULAR,freethrow,1 of 2,[],1626157,,,1610612752,2,3,2024-11-05T01:49:12Z,170000,False,,,0,,K. Towns Free Throw 1 of 2 (1 PTS),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,
18,PT10M51.00S,2024-11-05T01:48:52.1Z,1,REGULAR,freethrow,2 of 2,[],1626157,,,1610612752,2,3,2024-11-05T01:49:12Z,180000,False,,,0,,MISS K. Towns Free Throw 2 of 2,[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,,,,,,,,,Missed,,,,,,,,,,,,,
19,PT10M49.00S,2024-11-05T01:48:54.1Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,2,3,2024-11-05T01:49:12Z,190000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,,,,,,18.0,1.0,1.0,0.0,,,,,,,
20,PT10M36.00S,2024-11-05T01:49:24.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630578,91.67214191852825,54.166666666666664,1610612745,4,3,2024-11-05T01:49:28Z,200000,False,21.0,26.0,1,right,A. Sengun driving Layup (2 PTS) (F. VanVleet 1 AST),"[1630578, 1627832]",1610612745.0,HOU,driving,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,,,,,,,Made,2.0,3.31,,,,,F. VanVleet,1627832.0,1.0,,,,
22,PT10M12.00S,2024-11-05T01:49:48.6Z,1,REGULAR,2pt,Jump Shot,[],1628973,7.178055190538765,24.264705882352942,1610612752,4,3,2024-11-05T01:49:59Z,220000,False,129.0,15.0,1,left,MISS J. Brunson 12' turnaround fadeaway Shot,[1628973],1610612752.0,NYK,turnaround fadeaway,,,Brunson,J. Brunson,,,,,Mid-Range,8-16 Right,,,,,,,Missed,,12.96,,,,,,,,,,,
23,PT10M11.00S,2024-11-05T01:49:49.6Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,4,3,2024-11-05T01:49:59Z,230000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:1),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Mid-Range,8-16 Right,,,,,,,,,,22.0,1.0,1.0,0.0,,,,,,,
24,PT10M00.00S,2024-11-05T01:50:00.4Z,1,REGULAR,3pt,Jump Shot,[],1631095,70.38436268068331,75.0,1610612745,4,3,2024-11-05T01:50:09Z,240000,False,125.0,226.0,1,right,MISS J. Smith Jr. 25' 3PT,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,Missed,,25.82,,,,,,,,,,,
25,PT09M58.00S,2024-11-05T01:50:02.4Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,4,3,2024-11-05T01:50:09Z,250000,False,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,24.0,1.0,1.0,0.0,,,,,,,
26,PT09M50.00S,2024-11-05T01:50:13.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,16.507884362680684,52.20588235294118,1610612752,4,5,2024-11-05T01:50:19Z,260000,False,-11.0,103.0,1,left,J. Brunson 10' driving floating Jump Shot (4 PTS),[1628973],1610612752.0,NYK,driving floating,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,Made,4.0,10.33,,,,,,,,,,,
27,PT09M50.00S,2024-11-05T01:50:18.5Z,1,REGULAR,foul,personal,['1freethrow'],1630224,,,1610612752,4,5,2024-11-05T01:50:25Z,270000,False,,,0,,J. Green shooting personal FOUL (1 PF) (Brunson 1 FT),"[1630224, 1628973]",1610612745.0,HOU,shooting,,,Green,J. Green,,,,,In The Paint (Non-RA),8-16 Center,204059.0,,1.0,0.0,Brunson,1628973.0,,,,,,,,,,,,,,
29,PT09M50.00S,2024-11-05T01:50:49.7Z,1,REGULAR,freethrow,1 of 1,[],1628973,,,1610612752,4,6,2024-11-05T01:50:49Z,290000,False,,,0,,J. Brunson Free Throw 1 of 1 (5 PTS),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,,,,,,,,,Made,5.0,,,,,,,,,,,,
30,PT09M32.00S,2024-11-05T01:51:12.5Z,1,REGULAR,3pt,Jump Shot,[],1630224,92.19776609724047,97.54901960784314,1610612745,4,6,2024-11-05T01:51:21Z,300000,False,238.0,21.0,1,right,MISS J. Green 3PT,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Right Corner 3,24+ Right,,,,,,,Missed,,23.86,,,,,,,,,,,
31,PT09M29.00S,2024-11-05T01:51:15.5Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,4,6,2024-11-05T01:51:21Z,310000,False,,,0,,K. Towns REBOUND (Off:0 Def:2),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Right Corner 3,24+ Right,,,,,,,,,,30.0,2.0,2.0,0.0,,,,,,,
32,PT09M21.00S,2024-11-05T01:51:23.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628384,11.777266754270697,53.18627450980392,1610612752,4,6,2024-11-05T01:51:31Z,320000,False,-16.0,58.0,1,left,MISS O. Anunoby 6' Layup - blocked,"[1628384, 1630578]",1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,Missed,,6.03,,,,,,,,Sengun,1630578.0,,
33,PT09M21.00S,2024-11-05T01:51:23.6Z,1,REGULAR,block,,[],1630578,,,1610612752,4,6,2024-11-05T01:51:25Z,330000,False,,,0,,A. Sengun BLOCK (1 BLK),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
34,PT09M21.00S,2024-11-05T01:51:23.6Z,1,REGULAR,rebound,offensive,[],1628384,,,1610612752,4,6,2024-11-05T01:51:31Z,340000,False,,,0,,O. Anunoby REBOUND (Off:1 Def:0),[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,32.0,1.0,0.0,1.0,,,,,,,
35,PT09M17.00S,2024-11-05T01:51:28.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628969,8.886333771353483,3.1862745098039214,1610612752,4,9,2024-11-05T01:52:22Z,350000,False,234.0,31.0,1,left,M. Bridges 3PT  (3 PTS) (O. Anunoby 1 AST),"[1628969, 1628384]",1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,Right Corner 3,24+ Right,,,,,,,Made,3.0,23.61,,,,,O. Anunoby,1628384.0,1.0,,,,
37,PT09M05.00S,2024-11-05T01:51:39.8Z,1,REGULAR,2pt,Jump Shot,[],1627832,73.66951379763469,59.31372549019608,1610612745,6,9,2024-11-05T01:51:45Z,370000,False,47.0,195.0,1,right,F. VanVleet 20' pullup Jump Shot (2 PTS),[1627832],1610612745.0,HOU,pullup,,,VanVleet,F. VanVleet,,,,,Mid-Range,16-24 Center,,,,,,,Made,2.0,20.05,,,,,,,,,,,
38,PT08M51.00S,2024-11-05T01:51:53.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,15.456636005256241,50.49019607843137,1610612752,6,9,2024-11-05T01:52:01Z,380000,False,-2.0,93.0,1,left,MISS J. Brunson 9' driving floating Shot,[1628973],1610612752.0,NYK,driving floating,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,Missed,,9.28,,,,,,,,,,,
39,PT08M50.00S,2024-11-05T01:51:54.1Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,6,9,2024-11-05T01:52:01Z,390000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:2),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,38.0,2.0,2.0,0.0,,,,,,,
40,PT08M40.00S,2024-11-05T01:52:04.9Z,1,REGULAR,2pt,Jump Shot,[],1627832,88.78120893561103,7.352941176470589,1610612745,8,9,2024-11-05T01:52:11Z,400000,False,-213.0,53.0,1,right,F. VanVleet 21' step back Jump Shot (4 PTS),[1627832],1610612745.0,HOU,step back,,,VanVleet,F. VanVleet,,,,,Mid-Range,16-24 Left,,,,,,,Made,4.0,21.97,,,,,,,,,,,
