actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-11-16T01:11:12.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-16T01:11:12Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-11-16T01:11:16.5Z,1,REGULAR,jumpball,recovered,[],1631095,,,1610612745,0,0,2024-11-16T01:11:16Z,40000,False,,,0,,Jump Ball A. Sengun vs. I. Zubac: Tip to J. Smith Jr.,"[1631095, 1630578, 1627826]",1610612745.0,HOU,startperiod,J. Smith Jr.,1631095.0,Smith Jr.,J. Smith Jr.,Sengun,1630578.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2024-11-16T01:11:33.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628415,12.302890932982917,52.20588235294118,1610612745,0,0,2024-11-16T01:11:43Z,70000,False,-11.0,63.0,1,left,MISS D. Brooks 6' fadeaway Shot,[1628415],1610612745.0,HOU,fadeaway,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),0-8 Center,6.41,Missed,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2024-11-16T01:11:36.6Z,1,REGULAR,rebound,defensive,[],201935,,,1610612746,0,0,2024-11-16T01:11:43Z,80000,False,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M32.00S,2024-11-16T01:11:39.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626181,68.9388961892247,22.058823529411764,1610612746,0,0,2024-11-16T01:11:50Z,90000,False,-140.0,239.0,1,right,MISS N. Powell 27' running 3PT,[1626181],1610612746.0,LAC,running,,,Powell,N. Powell,,,,,Above the Break 3,24+ Left Center,27.73,Missed,,,,,,,,,,,,,,,,,,
10,PT11M30.00S,2024-11-16T01:11:41.2Z,1,REGULAR,rebound,defensive,[],1627832,,,1610612745,0,0,2024-11-16T01:11:50Z,100000,False,,,0,,F. VanVleet REBOUND (Off:0 Def:1),[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Left Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M23.00S,2024-11-16T01:11:49.5Z,1,REGULAR,3pt,Jump Shot,[],1630224,31.750985545335087,45.83333333333333,1610612745,0,0,2024-11-16T01:11:54Z,110000,False,21.0,246.0,1,left,MISS J. Green 24' 3PT,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Center,24.69,Missed,,,,,,,,,,,,,,,,,,
12,PT11M19.00S,2024-11-16T01:11:53.5Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,0,0,2024-11-16T01:11:54Z,120000,False,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Above the Break 3,24+ Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M10.00S,2024-11-16T01:12:04.6Z,1,REGULAR,foul,personal,[],1630224,,,1610612746,0,0,2024-11-16T01:12:15Z,130000,False,,,0,,J. Green personal FOUL (1 PF),"[1630224, 201935]",1610612745.0,HOU,,,,Green,J. Green,,,,,Mid-Range,16-24 Left Center,,,,,,,1148.0,1.0,0.0,Harden,201935.0,,,,,,,,,
15,PT11M09.00S,2024-11-16T01:12:27.6Z,1,REGULAR,foul,offensive,[],1627826,,,1610612746,0,0,2024-11-16T01:12:40Z,150000,False,,,0,,I. Zubac offensive FOUL (1 PF),"[1627826, 1628415]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Mid-Range,16-24 Left Center,,,,,,,1193.0,1.0,0.0,Brooks,1628415.0,,,,,,,,,
