actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-04-13T19:41:27.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-04-13T19:41:27Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-04-13T19:41:31.9Z,1,REGULAR,jumpball,recovered,[],1627750,,,1610612743,0,0,2025-04-13T19:41:31Z,40000,False,,,0,,Jump Ball N. Jokić vs. A. Sengun: Tip to J. Murray,"[1627750, 203999, 1630578]",1610612743.0,DEN,startperiod,J. Murray,1627750.0,Murray,J. Murray,Jokić,203999.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2025-04-13T19:41:43.4Z,1,REGULAR,turnover,lost ball,[],203999,,,1610612743,0,0,2025-04-13T19:41:49Z,70000,False,,,0,,N. Jokić lost ball TURNOVER (1 TO),"[203999, 1641708]",1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,In The Paint (Non-RA),8-16 Center,1.0,Thompson,1641708.0,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2025-04-13T19:41:43.4Z,1,REGULAR,steal,,[],1641708,,,1610612745,0,0,2025-04-13T19:41:46Z,80000,False,,,0,,A. Thompson STEAL (1 STL),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M39.00S,2025-04-13T19:41:48.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630224,90.62089356110381,44.11764705882353,1610612745,0,0,2025-04-13T19:42:00Z,90000,False,-29.0,36.0,1,right,MISS J. Green running finger roll Layup,[1630224],1610612745.0,HOU,running finger roll,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,4.62,Missed,,,,,,,,,,,,,,,
10,PT11M37.00S,2025-04-13T19:41:50.2Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,0,0,2025-04-13T19:42:00Z,100000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:1),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M32.00S,2025-04-13T19:41:54.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627750,22.28975032851511,91.17647058823529,1610612743,0,0,2025-04-13T19:42:07Z,110000,False,-206.0,157.0,1,left,MISS J. Murray 25' running 3PT,[1627750],1610612743.0,DEN,running,,,Murray,J. Murray,,,,,Above the Break 3,24+ Left Center,,,,25.89,Missed,,,,,,,,,,,,,,,
12,PT11M32.00S,2025-04-13T19:41:54.0Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,0,0,2025-04-13T19:42:07Z,120000,False,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Above the Break 3,24+ Left Center,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,
13,PT11M07.00S,2025-04-13T19:42:18.9Z,1,REGULAR,2pt,Jump Shot,[],1628415,86.81011826544021,20.34313725490196,1610612745,0,0,2025-04-13T19:42:25Z,130000,False,-148.0,71.0,1,right,MISS D. Brooks 16' step back Shot,[1628415],1610612745.0,HOU,step back,,,Brooks,D. Brooks,,,,,Mid-Range,16-24 Left,,,,16.46,Missed,,,,,,,,,,,,,,,
14,PT11M06.00S,2025-04-13T19:42:19.9Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,0,0,2025-04-13T19:42:25Z,140000,False,,,0,,N. Jokić REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Mid-Range,16-24 Left,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,
