actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-12-28T01:11:00.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-28T01:11:00Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-12-28T01:11:03.0Z,1,REGULAR,jumpball,recovered,[],203944,,,1610612750,0,0,2024-12-28T01:11:03Z,40000,False,,,0,,Jump Ball R. Gobert vs. A. Sengun: Tip to J. Randle,"[203944, 203497, 1630578]",1610612750.0,MIN,startperiod,J. Randle,203944.0,Randle,J. Randle,Gobert,203497.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2024-12-28T01:11:18.3Z,1,REGULAR,2pt,Jump Shot,[],1630162,79.31997371879106,26.225490196078432,1610612750,0,0,2024-12-28T01:11:48Z,70000,False,-119.0,142.0,1,right,MISS A. Edwards 18' pullup Shot,[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,Mid-Range,16-24 Left Center,18.51,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2024-12-28T01:11:20.3Z,1,REGULAR,rebound,offensive,[],203497,,,1610612750,0,0,2024-12-28T01:11:30Z,80000,False,,,0,,R. Gobert REBOUND (Off:1 Def:0),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Mid-Range,16-24 Left Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M38.00S,2024-12-28T01:11:22.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203497,89.17542706964521,51.71568627450981,1610612750,0,0,2024-12-28T01:11:39Z,90000,False,9.0,49.0,1,right,MISS R. Gobert putback Layup,[203497],1610612750.0,MIN,putback,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),0-8 Center,5.0,Missed,,,,,,,,,,,,,,,,,,
10,PT11M37.00S,2024-12-28T01:11:23.9Z,1,REGULAR,rebound,offensive,[],1630183,,,1610612750,0,0,2024-12-28T01:11:39Z,100000,False,,,0,,J. McDaniels REBOUND (Off:1 Def:0),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),0-8 Center,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
11,PT11M32.00S,2024-12-28T01:11:27.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203944,65.91655716162943,52.20588235294118,1610612750,0,3,2024-12-28T01:11:41Z,110000,False,11.0,268.0,1,right,J. Randle 26' 3PT  (3 PTS) (M. Conley 1 AST),"[203944, 201144]",1610612750.0,MIN,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Center,26.81,Made,,,,,3.0,M. Conley,201144.0,1.0,,,,,,,,,,
13,PT11M12.00S,2024-12-28T01:11:49.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630578,7.440867279894875,47.30392156862745,1610612745,2,3,2024-12-28T01:11:55Z,130000,False,13.0,17.0,1,left,A. Sengun driving DUNK (2 PTS),[1630578],1610612745.0,HOU,driving,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,2.2,Made,,,,,2.0,,,,,,,,,,,,,
14,PT10M53.00S,2024-12-28T01:12:07.9Z,1,REGULAR,3pt,Jump Shot,[],201144,75.90341655716163,10.049019607843137,1610612750,2,3,2024-12-28T01:12:15Z,140000,False,-200.0,174.0,1,right,MISS M. Conley 26' 3PT,[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,Above the Break 3,24+ Left Center,26.49,Missed,,,,,,,,,,,,,,,,,,
15,PT10M52.00S,2024-12-28T01:12:08.9Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,2,3,2024-12-28T01:12:15Z,150000,False,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Above the Break 3,24+ Left Center,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT10M31.00S,2024-12-28T01:12:28.1Z,1,REGULAR,3pt,Jump Shot,[],1631095,22.683968462549277,92.15686274509804,1610612745,2,3,2024-12-28T01:12:34Z,160000,False,-211.0,161.0,1,left,MISS J. Smith Jr. 26' 3PT,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Left Center,26.51,Missed,,,,,,,,,,,,,,,,,,
