actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-03-15T00:11:25.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-15T00:11:25Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-03-15T00:11:28.2Z,1,REGULAR,jumpball,recovered,[],1628415,,,1610612745,0,0,2025-03-15T00:11:28Z,40000,False,,,0,,Jump Ball A. Sengun vs. D. Powell: Tip to D. Brooks,"[1628415, 1630578, 203939]",1610612745.0,HOU,startperiod,D. Brooks,1628415.0,Brooks,D. Brooks,Sengun,1630578.0,Powell,203939.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2025-03-15T00:11:39.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630578,88.78120893561103,52.20588235294118,1610612745,0,0,2025-03-15T00:13:22Z,70000,False,11.0,53.0,1,right,MISS A. Sengun turnaround Hook - blocked,"[1630578, 203939]",1610612745.0,HOU,turnaround,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,5.41,Missed,Powell,203939.0,,,,,,,,,,,,,,,,
8,PT11M45.00S,2025-03-15T00:11:39.8Z,1,REGULAR,block,,[],203939,,,1610612745,0,0,2025-03-15T00:11:42Z,80000,False,,,0,,D. Powell BLOCK (1 BLK),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M45.00S,2025-03-15T00:11:39.8Z,1,REGULAR,rebound,offensive,[],1630578,,,1610612745,0,0,2025-03-15T00:24:10Z,90000,False,,,0,,A. Sengun REBOUND (Off:1 Def:0),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,
88,PT11M45.00S,2025-03-15T00:11:42.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630578,93.77463863337714,53.431372549019606,1610612745,0,0,2025-03-15T00:25:15Z,95000,False,17.0,6.0,1,right,MISS A. Sengun tip Layup,[1630578],1610612745.0,HOU,tip,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,1.82,Missed,,,,,,,,,,,,,,,,,,
89,PT11M44.00S,2025-03-15T00:11:43.9Z,1,REGULAR,rebound,offensive,[],1630578,,,1610612745,0,0,2025-03-15T00:25:15Z,97500,False,,,0,,A. Sengun REBOUND (Off:2 Def:0),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,,,,,88.0,2.0,0.0,2.0,,,,,,,,,,,,
10,PT11M43.00S,2025-03-15T00:11:46.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630578,93.64323258869908,51.71568627450981,1610612745,2,0,2025-03-15T00:25:28Z,100000,False,9.0,7.0,1,right,A. Sengun tip Layup (2 PTS),[1630578],1610612745.0,HOU,tip,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,1.13,Made,,,,,,,2.0,,,,,,,,,,,
11,PT11M26.00S,2025-03-15T00:11:57.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203957,5.995400788436268,47.549019607843135,1610612742,2,2,2025-03-15T00:12:03Z,110000,False,12.0,4.0,1,left,D. Exum driving finger roll Layup (2 PTS),[203957],1610612742.0,DAL,driving finger roll,,,Exum,D. Exum,,,,,Restricted Area,0-8 Center,1.29,Made,,,,,,,2.0,,,,,,,,,,,
12,PT11M10.00S,2025-03-15T00:12:13.8Z,1,REGULAR,3pt,Jump Shot,[],1631106,94.1688567674113,5.147058823529411,1610612745,2,2,2025-03-15T00:12:19Z,120000,False,-224.0,2.0,1,right,MISS T. Eason 3PT,[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,Left Corner 3,24+ Left,22.43,Missed,,,,,,,,,,,,,,,,,,
13,PT11M09.00S,2025-03-15T00:12:14.8Z,1,REGULAR,rebound,defensive,[],202691,,,1610612742,2,2,2025-03-15T00:12:19Z,130000,False,,,0,,K. Thompson REBOUND (Off:0 Def:1),[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,Left Corner 3,24+ Left,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,
14,PT11M01.00S,2025-03-15T00:12:23.2Z,1,REGULAR,2pt,Jump Shot,[],202691,24.52365308804205,74.75490196078431,1610612742,2,4,2025-03-15T00:12:28Z,140000,False,-124.0,178.0,1,left,K. Thompson 21' pullup Jump Shot (2 PTS),[202691],1610612742.0,DAL,pullup,,,Thompson,K. Thompson,,,,,Mid-Range,16-24 Left Center,21.68,Made,,,,,,,2.0,,,,,,,,,,,
15,PT10M43.00S,2025-03-15T00:12:40.8Z,1,REGULAR,3pt,Jump Shot,[],1630224,64.20827858081472,52.450980392156865,1610612745,5,4,2025-03-15T00:14:31Z,150000,False,12.0,284.0,1,right,J. Green 28' 3PT pullup (3 PTS),[1630224],1610612745.0,HOU,pullup,,,Green,J. Green,,,,,Above the Break 3,24+ Center,28.42,Made,,,,,,,3.0,,,,,,,,,,,
16,PT10M28.00S,2025-03-15T00:12:55.1Z,1,REGULAR,3pt,Jump Shot,[],202691,23.866622864651774,14.215686274509803,1610612742,5,4,2025-03-15T00:13:01Z,160000,False,179.0,172.0,1,left,MISS K. Thompson 24' 3PT,[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Right Center,24.8,Missed,,,,,,,,,,,,,,,,,,
17,PT10M27.00S,2025-03-15T00:12:56.1Z,1,REGULAR,rebound,defensive,[],1627832,,,1610612745,5,4,2025-03-15T00:13:01Z,170000,False,,,0,,F. VanVleet REBOUND (Off:0 Def:1),[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Right Center,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,
18,PT10M19.00S,2025-03-15T00:13:04.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628415,93.64323258869908,55.14705882352941,1610612745,7,4,2025-03-15T00:13:11Z,180000,False,26.0,7.0,1,right,D. Brooks pullup bank Jump Shot (2 PTS) (F. VanVleet 1 AST),"[1628415, 1627832]",1610612745.0,HOU,pullup bank,,,Brooks,D. Brooks,,,,,Restricted Area,0-8 Center,2.67,Made,,,,,,,2.0,F. VanVleet,1627832.0,1.0,,,,,,,,
20,PT10M04.00S,2025-03-15T00:13:19.6Z,1,REGULAR,3pt,Jump Shot,[],202691,27.414586070959263,15.931372549019606,1610612742,7,4,2025-03-15T00:13:26Z,200000,False,170.0,205.0,1,left,MISS K. Thompson 26' 3PT,[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Right Center,26.67,Missed,,,,,,,,,,,,,,,,,,
21,PT10M02.00S,2025-03-15T00:13:21.6Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,7,4,2025-03-15T00:13:26Z,210000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,
22,PT09M57.00S,2025-03-15T00:13:27.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630224,92.06636005256242,48.03921568627451,1610612745,7,4,2025-03-15T00:13:36Z,220000,False,-10.0,22.0,1,right,MISS J. Green running finger roll Layup - blocked,"[1630224, 1630556]",1610612745.0,HOU,running finger roll,,,Green,J. Green,,,,,Restricted Area,0-8 Center,2.42,Missed,Edwards,1630556.0,,,,,,,,,,,,,,,,
23,PT09M57.00S,2025-03-15T00:13:27.8Z,1,REGULAR,block,,[],1630556,,,1610612745,7,4,2025-03-15T00:13:30Z,230000,False,,,0,,K. Edwards BLOCK (1 BLK),[1630556],1610612742.0,DAL,,,,Edwards,K. Edwards,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
24,PT09M57.00S,2025-03-15T00:13:27.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612745,7,4,2025-03-15T00:13:36Z,240000,False,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,Restricted Area,0-8 Center,,,,,22.0,,,,,,,,,,,,,,,
26,PT09M50.00S,2025-03-15T00:13:49.7Z,1,REGULAR,turnover,palming,[],1630578,,,1610612745,7,4,2025-03-15T00:14:18Z,260000,False,,,0,,A. Sengun palming TURNOVER (1 TO),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,203593.0,1.0,,,,,,
27,PT09M41.00S,2025-03-15T00:14:10.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203957,7.30946123521682,45.83333333333333,1610612742,7,4,2025-03-15T00:14:28Z,270000,False,21.0,16.0,1,left,MISS D. Exum driving Layup - blocked,"[203957, 1631106]",1610612742.0,DAL,driving,,,Exum,D. Exum,,,,,Restricted Area,0-8 Center,2.64,Missed,Eason,1631106.0,,,,,,,,,,,,,,,,
28,PT09M41.00S,2025-03-15T00:14:10.6Z,1,REGULAR,block,,[],1631106,,,1610612742,7,4,2025-03-15T00:14:12Z,280000,False,,,0,,T. Eason BLOCK (1 BLK),[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
29,PT09M41.00S,2025-03-15T00:14:10.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612745,7,4,2025-03-15T00:14:28Z,290000,False,,,0,,TEAM defensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,Restricted Area,0-8 Center,,,,,27.0,,,,,,,,,,,,,,,
